university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
University of Oxford,97.4,98.2,87.6,99.4,100
University of Cambridge,96.5,100,75.6,100,89.7
UCL (University College London),94.1,97,81.1,85.4,95.3
Durham University,91.8,93.5,82.7,80.8,100
Harvard University,91.3,91.1,85.6,98.3,91.7
"University of California, Berkeley (UCB)",90,92.5,81.7,85.3,85.4
Stanford University,86.1,86.8,81,91.9,80.4
"University of California, Los Angeles (UCLA)",84.3,85.1,79.9,84.5,83
Leiden University,84.1,89.3,86.6,51.2,77.6
Freie Universitaet Berlin,83.9,87.6,73.7,74,77.6
University of York,83.6,84.9,79.9,69.9,91.7
University of Michigan,83.1,86,73.9,71.7,83
The Australian National University,82.7,82,82.5,79.1,91.7
Sapienza University of Rome,81.7,87.6,67.3,64.9,71.1
University of Texas at Austin,81.5,85.5,80,69,67.3
The University of Auckland,81,81.2,80,80.7,80.4
University of Bordeaux,81,83.1,88.3,50.2,89.7
Eberhard Karls Universität Tübingen,80.8,83.6,77.6,61.8,83
University of Pennsylvania,80.5,80.5,79.1,76.5,85.4
The University of Sydney,80.4,82.3,71.9,81.1,74.5
University of Chicago,80.2,84.7,75.8,70.7,63
The University of Sheffield,80.1,79.5,97,62.4,85.4
Université Paris 1 Panthéon-Sorbonne,79.9,83.5,69.1,73.9,71.1
The University of Arizona,79.7,80.2,91,61.9,83
Aarhus University,79.4,78.9,85.6,70.7,85.4
Yale University,79,80.2,74.7,86.5,67.3
University of Toronto,78.5,77.3,79.9,76.7,87.6
University of Reading,78.3,81,75.5,59.9,80.4
University of Southampton,78.1,78.6,80.1,62.8,87.6
University of Copenhagen,78,76.1,84.9,72.9,89.7
The University of Tokyo,77.8,80.8,68.5,85.9,58
Ruprecht-Karls-Universität Heidelberg,76.5,81.3,69.3,55.7,71.1
Alma Mater Studiorum - University of Bologna,76.5,79.8,66.6,72.1,67.3
Boston University,76.2,76,82,67.3,80.4
University of British Columbia,76.1,75.6,77.9,76.1,77.6
University of Groningen,75.8,77.6,98.1,58.8,58
Universitat de Barcelona,75.6,75.6,75.7,65.8,85.4
Universität Frankfurt am Main,75.2,77.6,74.8,59.5,74.5
The University of Edinburgh,74.8,73.5,74.5,81.2,77.6
Arizona State University,74.7,74.8,81.4,61.5,80.4
University of Otago,74.7,75.9,79.2,62.4,74.5
The University of Queensland,74.4,73.1,79.1,70.1,83
Peking University,74.2,71.8,81.9,86.8,71.1
Simon Fraser University,74.1,72.9,85.3,56.1,89.7
Pennsylvania State University,73.7,75,80.9,64.2,67.3
University of Alberta,73.7,73.8,80.4,65.6,74.5
Universidad Nacional Autónoma de México (UNAM),73.6,78.2,62.3,67.9,58
Columbia University,73.5,68.5,87.5,76.1,91.7
Brown University,73.3,72.5,75.4,75.6,74.5
Vrije Universiteit Amsterdam,73.2,71.7,83,69,77.6
Aristotle University of Thessaloniki,,70.4,62.3,66.2,52.1
Christian-Albrechts-University zu Kiel,,68.4,95.3,37.6,87.6
Cornell University,,63.5,97.5,74.8,58
Humboldt-Universität zu Berlin,,76.3,51.4,68.8,67.3
La Trobe University,,72.7,77.1,58.9,77.6
Lomonosov Moscow State University,,69.2,58.3,92,52.1
Ludwig-Maximilians-Universität München,,73.8,66.6,67.5,58
Lund University,,72.3,78.4,69.4,71.1
