university,overall,ACADEMIC REPUTATION,EMPLOYER REPUTATION
Royal College of Art,98.4,100,84.1
Massachusetts Institute of Technology (MIT),92.1,91.5,97.5
Parsons School of Design at The New School,91.9,95,64.4
Rhode Island School of Design (RISD),90.7,94.6,56
Pratt Institute,88.1,90.9,62.5
University of the Arts London,85.5,88.7,56.9
Politecnico di Milano,85.3,85.8,80.5
School of the Art Institute of Chicago (SAIC),85.3,91,34.4
California Institute of the Arts,83.2,85.3,64.2
Stanford University,83.1,81.8,94.6
University of Oxford,81.8,79.8,100
Yale University,81.6,80.6,90.2
Aalto University,81.4,83.7,60.5
Carnegie Mellon University,81.1,81.4,78.1
"Goldsmiths, University of London",80.8,81,78.9
Art Center College of Design,80.4,83.4,52.9
RMIT University,79.5,80.1,73.9
"University of California, Los Angeles (UCLA)",79.3,78.3,87.9
The Glasgow School of Art,78.8,83.7,34.3
Columbia University,78.1,77.4,84
School of Visual Arts (SVA),77.9,78.5,72.4
California College of the Arts,77.8,80.1,57.5
New York University (NYU),77.4,76.8,82.5
Universidad Nacional Autónoma de México (UNAM),76.4,74.9,89.9
Tsinghua University,75.5,74.1,88.3
Tongji University,75.4,76.4,66
The Hong Kong Polytechnic University,75,75.6,70
The University of Melbourne,74.8,73.8,83.5
Seoul National University,74.6,73.1,87.8
University of Technology Sydney,74.6,74.4,75.9
Design Academy Eindhoven,74.3,78.8,33.8
Universidad de Buenos Aires (UBA),74.3,73.2,84.1
The University of New South Wales (UNSW Sydney),74.2,73.8,77.7
Monash University,73.1,72,82.5
National University of Singapore (NUS),72.5,71.2,84.4
Loughborough University,72.1,73.2,62.4
Peking University,72,69.9,90.9
Pontificia Universidad Católica de Chile (UC),71.9,71.2,77.8
Universidad de Palermo (UP),71.7,72.5,64.3
"Nanyang Technological University, Singapore (NTU)",71.6,70.9,77.8
Queensland University of Technology (QUT),71.2,71.2,70.7
Cornell University,71.1,70.4,77.4
The University of Sydney,71.1,70.1,79.7
Universidade de São Paulo,71.1,69.1,88.6
Princeton University,70.2,69.3,78.1
Instituto Tecnológico y de Estudios Superiores de Monterrey,70.1,68.7,83
"Konstfack University College of Arts, Crafts and Design",69.8,72.2,48.2
The Australian National University,69.3,68,80.7
Ravensbourne,69,70.9,51.5
Savannah College of Art and Design,69,71,51
Auckland University of Technology (AUT),,67.1,58
Bandung Institute of Technology (ITB),,63.1,64.2
China Central Academy of Fine Arts,,72.6,19.4
Cranbrook Academy of Art,,70.7,34.4
Curtin University,,64.9,60.9
Griffith University,,64.3,62.1
Hong Kong Baptist University,,64.8,53.7
Indian Institute of Technology Bombay (IITB),,65.4,70.4
"Kingston University, London",,66,78
Design School Kolding,,68.3,16.1
Lancaster University,,65.8,58.3
Maryland Institute College of Art,,67.8,34.1
Massey University,,64.2,59
National Taiwan University (NTU),,66.8,79.9
National Taiwan University of Science and Technology (Taiwan Tech),,66.3,68.7
The Ohio State University,,63.7,66.9
Pontificia Universidad Javeriana,,65,60.9
Pontifícia Universidade Católica do Rio de Janeiro,,64.4,70.5
Royal University College of Fine Arts,,68.5,34.1
Shanghai Jiao Tong University,,64.9,87.5
Sungkyunkwan University (SKKU),,62.8,86
Swinburne University of Technology,,65.8,64.2
The Chinese University of Hong Kong (CUHK),,64.7,78.5
The Royal Danish Academy of Fine Arts (KADK),,71.8,38.9
The University of Auckland,,67.8,77.5
The University of Queensland,,64.5,67.6
UCL (University College London),,68.1,71.8
Umea University,,69.9,47.4
Universidad Autónoma Metropolitana (UAM),,62.7,66.3
University Complutense Madrid,,64.5,75.2
Universidad de Chile,,65.6,77.2
Universidad de los Andes,,64.9,70.3
Universidad Iberoamericana IBERO,,64.1,80.7
Universidad Nacional de Colombia,,68.2,69.6
Universitat de Barcelona,,66.4,60.4
University of Applied Arts Vienna,,63.6,65.8
University of Brighton,,68.7,51
University of British Columbia,,66.2,79
"University of California, San Diego (UCSD)",,68.6,61.8
University of Chicago,,66.8,71.3
The University of Edinburgh,,64.5,77.1
University of Lisbon,,66.3,59.5
University of Michigan,,64.4,72.2
University of Pennsylvania,,63.5,82.4
University of South Australia,,66.7,65.9
University of Southern California,,64.9,74.4
University of Toronto,,66.4,77.9
Utrecht School of the Arts,,67.4,34.1
Virginia Commonwealth University,,66.7,62
Zhejiang University,,63.2,76.6
Aarhus School of Architecture,,63.9,20.3
Academy of Fine Arts Vienna,,65.4,34.1
Arizona State University,,59.7,57.7
Bauhaus-Universität Weimar,,62.9,30.1
Beijing Normal University,,61.1,67.6
Brown University,,61.7,71
"École Nationale Supérieure de Création Industrielle, ENSCI Les Ateliers",,63.8,48.8
Edinburgh College of Art (ECA),,64.5,34.1
Emily Carr University of Art + Design,,60.2,52.4
Fudan University,,60.1,83
Hongik University,,62,61.9
Indian Institute of Science (IISc) Bangalore,,59.6,52.2
IT University of Copenhagen,,58.6,73
KU Leuven,,60.2,66.7
Kyushu University,,60.5,67.1
Manchester Metropolitan University,,59.6,71.4
Middlesex University,,62.5,48.9
National Cheng Kung University (NCKU),,61.9,72.8
National Taiwan Normal University,,61.1,52.5
Northumbria University at Newcastle,,62.8,51.4
Nottingham Trent University,,58.8,61.4
Oslo National Academy of the Arts,,64.6,34.1
Politecnico di Torino,,58.3,73.7
"Royal Academy of Art, The Hague (KABK)",,61.5,56.3
Sheffield Hallam University,,61.6,48.3
Technische Universität Berlin (TU Berlin),,60.1,72.2
The University of Adelaide,,60.2,66
The University of Western Australia,,59.3,71.9
Universidad de Monterrey (UDEM),,59.7,63.6
Universitat Politècnica de València,,59.9,59.6
Universidade Estadual de Campinas (Unicamp),,60.8,77.7
Universität der Künste Berlin,,65.5,
Universitat Politècnica de Catalunya,,59.4,63.5
Universitat Pompeu Fabra,,59.3,63.8
Université de Montréal,,59.2,65.8
Université Paris 1 Panthéon-Sorbonne,,61.8,71.3
Universiti Sains Malaysia (USM),,60.6,71
University of Alberta,,60.1,65.1
University of Dundee,,62.1,36.7
University of Illinois at Urbana-Champaign,,61,60.6
"University of Illinois, Chicago (UIC)",,63,62.5
University of Leeds,,60.9,70.9
University of Reading,,59,62
University of Tasmania,,61.5,49.3
University of Texas at Austin,,61.3,68.8
University of Tsukuba,,59.5,55.5
University of Washington,,62.4,61
University of Wisconsin-Madison,,61.9,62.8
University of Wollongong,,61.6,63.7
Waseda University,,58.2,80.3
Accademia Belle Arti Roma,,58.7,45.7
Boston University,,56.6,73.2
Brunel University London,,58.7,58.4
Case Western Reserve University,,60.4,28.7
Chulalongkorn University,,57.5,60.1
Concordia University,,57.4,58.8
Dongguk University,,55.9,56.1
Duke University,,56.3,68.4
Estonian Academy of Arts,,56.5,48.9
Ewha Womans University,,56.8,65.4
Falmouth College of Arts University College Falmouth,,57.7,55.2
Hochschule für Gestaltung und Kunst Zürich,,62.1,
Indian Institute of Technology Kanpur (IITK),,56.4,67.4
Kookmin University,,56.9,52
Korea National University of Arts,,59,50
Musashino University,,57.8,48.2
Nanjing University,,56,65.7
National Chengchi University,,56,72.4
National Chiao Tung University,,55.2,71.2
National College of Art and Design,,59.7,48.2
"National Institute of Design, India",,64.7,
North Carolina State University,,57.7,46.8
Northwestern University,,56.8,66
Oxford Brookes University,,54.7,64.3
Pontificia Universidad Católica de Valparaíso,,58.4,60.4
Sapienza University of Rome,,56.9,58.5
Taylor's University,,57.7,62.7
Tohoku University,,57.6,69.8
Universidad Anahuac,,56.5,74.3
Universidad Autónoma del Estado de México (UAEMex),,55.4,66.6
Universidad de las Américas Puebla (UDLAP),,54.9,65.2
Universidad de Santiago de Chile (USACH),,55.3,66.1
UNESP,,55.8,72.8
Universidade Federal de Minas Gerais,,56.1,59.3
Universidade Federal do Rio de Janeiro,,56.4,65.4
Universidade Federal do Rio Grande Do Sul,,58.9,51.8
Universitat Autònoma de Barcelona,,57,60.9
Universiti Teknologi MARA - UiTM,,54.6,66.7
University for the Creative Arts,,56.1,52.1
"University of California, Irvine",,58.7,57.2
"University of California, Santa Barbara (UCSB)",,54.6,69.4
University of Canberra,,56.7,56.1
University of Cape Town,,57.1,63.1
University of Cincinnati,,60.6,37.2
University of Otago,,55,69.4
University of Porto,,55.2,60.2
University of Southern Denmark,,56.5,56.4
University of Waikato,,56.8,60.2
Victoria University of Wellington,,56.4,65.5
York University,,56.4,54.7
