university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Harvard University,98.7,99.4,93.7,100,100
University of Oxford,97.5,100,86.3,96.8,98.9
University of Cambridge,97,99.7,85.4,99,96.7
Stanford University,93.6,90.9,100,91.8,98.9
"University of California, Berkeley (UCB)",93.5,94.6,93.5,87,93.1
Yale University,92.3,95.5,87.3,89.6,86.2
London School of Economics and Political Science (LSE),91.6,96.1,85.2,89.2,81.3
Princeton University,91.1,95,88.4,81.5,84.6
Columbia University,90.6,92.1,91.4,80.6,90.5
University of Chicago,89.5,90.4,92.1,79,90.5
"University of California, Los Angeles (UCLA)",88.9,88.3,92.4,84.4,90.5
University of Toronto,85.7,84.4,87.5,83.7,90.5
University of Wisconsin-Madison,85.5,87.1,93.1,61.5,87.7
The Australian National University,85.1,90.3,79.7,79.1,73.4
UCL (University College London),84.5,80.9,90.8,81.3,94.4
University of Michigan,83.9,83.1,91.7,70.9,87.7
Leiden University,83.7,87.8,82.5,70.4,77.6
University of Pennsylvania,83.1,79.1,93.6,76.6,93.1
King's College London,82.8,82.5,83.1,81.3,84.6
The University of Tokyo,82.4,88,73.1,83,68.7
The University of Sydney,82,82.9,82.3,79.5,79.5
Johns Hopkins University,81.7,80.3,91.2,69,86.2
University of British Columbia,81.5,77.4,95.3,78.8,86.2
The University of Edinburgh,81.5,79.3,85.5,81.7,86.2
Humboldt-Universität zu Berlin,81.4,83.7,81.4,76.5,75.5
Duke University,81.3,79.6,91.5,68.9,86.2
University of Texas at Austin,81.2,81,87,70.6,83
The University of Melbourne,81.1,80,83.8,83,81.3
Cornell University,80.7,81.1,86,74.7,77.6
The University of Manchester,80.7,77.1,87.5,84,86.2
The University of Warwick,80.1,79.6,84.8,77.2,79.5
National University of Singapore (NUS),79.8,84.2,73.4,79.3,68.7
Kyoto University,79.7,88.1,68.9,80.3,56.8
New York University (NYU),79.6,76,87.9,79.2,86.2
McGill University,78.9,76.4,87.5,76.9,81.3
Université Paris 1 Panthéon-Sorbonne,78.3,86.2,67.5,79.2,56.8
Durham University,78.1,74.1,87.3,78.2,84.6
University of Amsterdam,78,73.8,87.1,72.9,89.1
SOAS University of London,77.9,86.2,66.7,71.6,60.2
Monash University,77.4,75.8,81.9,77.2,79.5
Freie Universitaet Berlin,77,82.4,69.9,76.4,63.2
Peking University,76.9,84.8,63.6,85.5,53.1
"University of North Carolina, Chapel Hill",76.9,76.1,88.6,62.8,77.6
Massachusetts Institute of Technology (MIT),76.8,70.2,88.4,89.2,83
Northwestern University,76.5,70.4,94.8,68.6,87.7
Utrecht University,76.2,75.6,84.7,65.3,77.6
Seoul National University,75.8,81.4,67.5,78.1,60.2
Queen Mary University of London,75.6,74.2,78.5,76.2,77.6
Brown University,75.5,72.8,87.3,68.4,79.5
Ludwig-Maximilians-Universität München,75.2,75.4,84.1,56.9,77.6
Aarhus University,,64.7,89.1,65.1,81.3
Eberhard Karls Universität Tübingen,,68.7,80.5,53.9,75.5
Erasmus University Rotterdam,,68.1,83.1,70.3,73.4
Fudan University,,79.2,44.9,79.2,53.1
Georgetown University,,73.4,72.1,57.7,68.7
Indiana University Bloomington,,70.8,91.4,64.7,79.5
KU Leuven,,71.9,82.1,73.4,81.3
Lomonosov Moscow State University,,76,50.6,85.7,48.9
Michigan State University,,65.8,80.6,66.8,79.5
The Ohio State University,,66.7,84.1,61.9,83
Pennsylvania State University,,65.3,90.2,59.3,86.2
Royal Holloway University of London,,69.3,78.6,45.6,75.5
Ruprecht-Karls-Universität Heidelberg,,75.3,64.2,77.1,66.1
Sapienza University of Rome,,74.6,73.6,61.8,66.1
Sciences Po,,74.5,58.4,60.5,63.2
The University of Auckland,,73.6,75.2,75.6,68.7
The University of New South Wales (UNSW Sydney),,72.8,78.8,76.1,71.1
The University of Queensland,,69.4,82.3,74.9,73.4
The University of Sheffield,,68.5,85.5,65.6,75.5
The University of Western Australia,,71.2,71.9,68.9,68.7
Tsinghua University,,74.9,66.6,83.6,48.9
University Complutense Madrid,,73.8,67.1,67.9,63.2
Universidad de Buenos Aires (UBA),,78,66.8,78.2,56.8
Universidad Nacional Autónoma de México (UNAM),,81.9,62.2,73.6,56.8
Universidade de São Paulo,,76.7,62.7,75.4,53.1
