university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Massachusetts Institute of Technology (MIT),99.3,100,98.1,94.7,98.1
Harvard University,88.2,85.6,95.1,100,100
University of Massachusetts Amherst,87.1,90.5,89.8,55.6,93.7
University of Cambridge,86.9,86.1,79,98.3,85.7
The University of Edinburgh,86.2,86.5,85,82.2,90
University of Oxford,85.9,84.8,83,96.8,84.2
Stanford University,85.8,83.9,92.6,92.9,94.9
"University of California, Berkeley (UCB)",85.1,84.1,88.7,88.4,90
"University of California, Los Angeles (UCLA)",83.7,83.4,89.1,79.7,91.3
Peking University,81.5,81.7,77.3,92,60.6
The University of Hong Kong,81.5,82.4,75.9,77.9,78.9
University of Pennsylvania,81.4,80.9,90.8,77.1,88.7
Lomonosov Moscow State University,80.2,82.5,50.4,93.4,46.9
"University of Maryland, College Park",80.1,83,87.4,46.7,93.7
UCL (University College London),79.3,77.5,85.5,81.4,97
National University of Singapore (NUS),79.1,79.1,79.4,79.4,78.9
University of Amsterdam,79,77.1,83.9,86.5,90
The University of Tokyo,78,77.7,77.5,82.2,74.7
Lancaster University,77.4,80.1,83.1,52.3,78.9
The Ohio State University,77.1,79.6,83.1,48.9,87.2
University of Chicago,76.9,76.5,81.8,75.4,80.7
University of Toronto,76.7,74.9,86.6,80.6,88.7
New York University (NYU),76.5,74.8,84.9,81.1,85.7
The University of Melbourne,75.7,74.7,80,78.3,82.5
The Chinese University of Hong Kong (CUHK),75.5,75.8,72,76.8,72.4
City University of Hong Kong,75.3,76.8,77.7,61.3,76.9
The University of Sydney,74.9,73.9,80.3,79.4,76.9
University of Illinois at Urbana-Champaign,74.7,75.2,85.7,57.9,90
The Australian National University,74.4,74.8,73.4,73,72.4
McGill University,74.4,73.7,86.2,67.9,87.2
University of British Columbia,74.3,72.8,87.8,74.4,84.2
University of Michigan,74.1,72.3,85.5,77.4,84.2
Humboldt-Universität zu Berlin,73.9,73.9,75.5,77.9,64
Seoul National University,73.8,73.6,65.5,85.8,60.6
The Hong Kong Polytechnic University,73.8,73.9,71.6,75.7,69.8
University of Texas at Austin,73.3,71.5,85.2,73.3,90
"University of California, San Diego (UCSD)",73,72,95.8,58.5,94.9
The University of Manchester,72.7,70.2,83.2,81.1,85.7
Georgetown University,72.4,72.4,87,57.6,87.2
National Taiwan University (NTU),72,72.8,64.3,81.5,46.9
"University of California, Santa Barbara (UCSB)",71.9,72.5,84.2,54.5,85.7
Macquarie University,71.5,71.4,78.6,65.1,78.9
Yale University,71.5,67.3,91.7,88.8,84.2
"Nanyang Technological University, Singapore (NTU)",71.2,70.7,75.2,74.9,67.1
