university,overall,ACADEMIC REPUTATION,EMPLOYER REPUTATION
Harvard University,100,100,100
University of Cambridge,98.2,98.6,97.3
University of Oxford,98,98.1,97.8
"University of California, Berkeley (UCB)",93.1,95.3,87.9
Stanford University,92.3,93.4,89.6
The University of Tokyo,91,91.3,90.2
Peking University,90.9,91.4,89.8
Yale University,89.8,91.1,86.7
"University of California, Los Angeles (UCLA)",88.7,91.7,81.8
Columbia University,86.8,90.3,78.7
Seoul National University,86.7,87.5,84.9
Massachusetts Institute of Technology (MIT),86.6,83.4,94
The University of Hong Kong,85.8,85.9,85.6
Kyoto University,85.6,86.6,83.4
Princeton University,85.3,88,79.1
UCL (University College London),84.9,87.4,79.1
National University of Singapore (NUS),84.7,83.8,86.7
Université Paris-Sorbonne (Paris IV),84.2,88.7,73.7
University of Chicago,84.2,86.7,78.3
New York University (NYU),83.7,84.6,81.7
The University of Edinburgh,83.6,84.7,81
Humboldt-Universität zu Berlin,83.4,87.2,74.6
University of Toronto,83.4,85.3,78.8
Korea University,83,84.9,78.5
The University of Manchester,82.9,82.3,84.2
Universidad Nacional Autónoma de México (UNAM),82.9,86.6,74.4
Fudan University,82.4,82.5,82
The Australian National University,82.3,82.7,81.2
Sungkyunkwan University (SKKU),82.2,82,82.8
The University of Sydney,82.2,81.6,83.5
Freie Universitaet Berlin,82,85.9,72.8
National Taiwan University (NTU),82,83.7,78.1
Tsinghua University,81.8,80.5,84.8
HUFS - Hankuk (Korea) University of Foreign Studies,81.7,82.4,80.2
University of Amsterdam,81.2,82.5,78.2
The Chinese University of Hong Kong (CUHK),80.7,83.1,75.1
The University of Melbourne,80.7,80.6,80.8
Universidad de Buenos Aires (UBA),80.6,81.9,77.6
Cornell University,80.5,82.6,75.7
University of British Columbia,80.5,82.2,76.5
Waseda University,80.4,81.5,77.9
The University of Auckland,79.7,81.7,74.9
Yonsei University,79.7,79.9,79.2
Lomonosov Moscow State University,79.3,78.5,81.3
McGill University,78.9,80.1,76.1
Ruprecht-Karls-Universität Heidelberg,78.9,82.3,71.1
University of Pennsylvania,78.9,79.2,78.3
Université Sorbonne Nouvelle Paris 3,78.8,83.4,68
King's College London,78.7,79.7,76.5
The University of Warwick,78.6,78.5,78.9
Beijing Foreign Studies University,,76,70.1
Beijing Normal University,,77.1,69.2
Brown University,,78.6,75.6
Chulalongkorn University,,72.4,70.2
City University of Hong Kong,,75.2,70.8
Duke University,,79.1,63.3
Durham University,,69.7,79.2
"Ecole normale supérieure, Paris",,74.7,65.6
Hanyang University,,70.3,77.7
Indiana University Bloomington,,78.8,62.1
KU Leuven,,76.2,67.1
Leiden University,,80.5,66.8
Ludwig-Maximilians-Universität München,,82.3,68.4
Monash University,,73.8,81.6
Nanjing University,,72.6,70.7
"Nanyang Technological University, Singapore (NTU)",,75.4,77.1
National Taiwan Normal University,,77.6,64.4
Osaka University,,77.6,69.9
Pennsylvania State University,,72.6,73.5
Pontificia Universidad Católica de Chile (UC),,80,71.7
Sapienza University of Rome,,80.8,69
SOAS University of London,,80.2,57
Sogang University,,73,70.4
The University of New South Wales (UNSW Sydney),,76.3,80.6
The University of Nottingham,,71.6,71.9
Tohoku University,,73.3,68.7
Universidad Autónoma de Madrid,,71.4,71.7
University Complutense Madrid,,81.2,72.2
Universidad de los Andes,,74.6,64.1
Universidad Nacional de Colombia,,74,68.5
Universidade de São Paulo,,79.2,75.6
Universidade Estadual de Campinas (Unicamp),,72.8,69.6
Università Cattolica del Sacro Cuore,,67.9,81.5
University of Milan,,73.3,71.9
Alma Mater Studiorum - University of Bologna,,81.9,70.2
Universitat Autònoma de Barcelona,,79.6,66.9
Universitat de Barcelona,,77.6,69.9
