university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
University of Pittsburgh,95.9,100,91.5,60.8,86.8
University of Oxford,91.4,90.2,89.2,96.6,100
New York University (NYU),91.3,92.5,91.2,71.9,91.8
Rutgers University - New Brunswick,90.1,92.4,94.6,46.9,90.2
Harvard University,89.7,88.7,90.3,100,91.8
University of Cambridge,88.4,89,83.5,96.9,85
Princeton University,86.9,85.8,95.4,86.1,86.8
"University of California, Berkeley (UCB)",86,86.2,87.3,86.1,83.1
London School of Economics and Political Science (LSE),85.1,85.4,88.4,89.6,76.8
Yale University,84.9,82.8,93.8,87.1,90.2
Stanford University,84,83.4,86,90.4,83.1
Ludwig-Maximilians-Universität München,81.9,84.9,79.1,57.4,74.4
University of Notre Dame,81.1,84,78.2,61,71.9
Columbia University,81,79.6,88.4,86,81.1
Humboldt-Universität zu Berlin,81,83.8,78.4,72.8,66.2
Massachusetts Institute of Technology (MIT),80.4,77.8,93.5,92.3,81.1
University of Michigan,80.4,79.1,90.9,72.8,83.1
University of Toronto,79.8,78.9,83.8,72.1,86.8
University of St Andrews,79.4,77.9,88.8,72,85
"University of California, Los Angeles (UCLA)",78.9,77.9,85.8,84.5,76.8
The Australian National University,78.5,74.8,94.9,81.5,88.5
University of Chicago,77.7,79.7,74.9,82.2,63
King's College London,76.7,74,87.7,90.9,79
"University of North Carolina, Chapel Hill",76.5,76.1,91.7,43.7,81.1
University of Helsinki,75.1,74.2,84.5,58.4,81.1
Université Paris-Sorbonne (Paris IV),74.1,80.9,51.3,72.5,46.3
City University of New York,73.9,71.6,81.8,62.4,88.5
Universität Frankfurt am Main,73.9,73.2,82.4,77.8,69.1
University of Copenhagen,73.7,70.8,85.5,79.6,81.1
KU Leuven,73,71.9,74.8,69,81.1
The Chinese University of Hong Kong (CUHK),73,77.2,60.3,69.4,55.5
University of British Columbia,73,72,81.5,73.9,71.9
Université catholique de Louvain (UCL),72.8,76.4,64.4,79.2,51.2
The University of Sydney,72.3,68.8,85.8,75.7,83.1
McGill University,72.2,70.4,88.6,66,71.9
Ruprecht-Karls-Universität Heidelberg,72.2,71.8,80.3,74.6,66.2
Boston University,72.1,70.6,83.6,76.8,69.1
University of Geneva,72.1,71.8,85.1,51.1,71.9
Peking University,71.9,75.5,57.4,88.6,51.2
The University of Edinburgh,71.7,66.3,90.1,79.1,90.2
University of Amsterdam,71.5,67.3,85,73.6,88.5
Universitat de Barcelona,71.1,72.9,71.2,67.6,59.4
Université Paris 1 Panthéon-Sorbonne,71.1,75.3,63.3,72.6,46.3
Freie Universitaet Berlin,70.8,73.2,65,69.7,59.4
Cornell University,70.7,66.5,88.3,81.5,79
Universidad Nacional Autónoma de México (UNAM),70.4,73.2,64.1,78.5,51.2
"Ecole normale supérieure, Paris",69.7,73.5,60.7,58.7,55.5
"University of California, San Diego (UCSD)",69.7,64.9,94,65.3,83.1
The University of Western Ontario,69.7,68.9,81.9,63.8,66.2
Renmin (People's) University of China,69.5,75.8,49.1,62.3,46.3
"Birkbeck, University of London",,65.3,86,28.6,71.9
Boston College,,69.2,64.4,57.7,51.2
Brown University,,58.4,88.5,82.7,79
Central European University,,70.4,62.2,56.6,46.3
Duke University,,63.7,85,72,71.9
Emory University,,64.1,75.7,61,55.5
Georgetown University,,63.5,83.8,56.9,71.9
Indiana University Bloomington,,59.8,77.8,75.4,74.4
Johns Hopkins University,,62.1,85.1,65,69.1
Kyoto University,,66.3,53.8,79.4,46.3
Lomonosov Moscow State University,,72.3,52.6,89,46.3
Macquarie University,,60.3,86.1,58.9,69.1
McMaster University,,62.1,73.7,59.8,69.1
Monash University,,66.1,81.5,79.2,76.8
National Taiwan University (NTU),,68.9,64.4,71.2,51.2
National University of Singapore (NUS),,62.4,83.4,77.7,69.1
Pontificia Universidad Católica de Chile (UC),,70.9,56.9,76.2,46.3
Seoul National University,,73,57.8,76.6,46.3
Stockholm University,,63.9,81.3,59.6,66.2
The University of Adelaide,,64.9,68.1,78.6,51.2
The University of Auckland,,62.9,81.5,84.6,71.9
The University of New South Wales (UNSW Sydney),,62.1,81.5,73.4,74.4
The University of Sheffield,,65.1,83.4,53.1,81.1
The University of Tokyo,,65.2,66.6,85.6,51.2
The University of Warwick,,60,84.7,86.4,74.4
UCL (University College London),,59.9,85,82.9,74.4
University Complutense Madrid,,67.2,52.6,68.2,51.2
Universidad de Buenos Aires (UBA),,71.3,50.8,82.7,51.2
University of Navarra,,66.7,76.7,61.8,63
Universidade de São Paulo,,69,73.3,84.9,59.4
Universidade Estadual de Campinas (Unicamp),,66.9,58.3,68,46.3
University of Milan,,67.1,75.4,76,55.5
Alma Mater Studiorum - University of Bologna,,63,69.6,78.7,55.5
Albert-Ludwigs-Universitaet Freiburg,,71.1,69.3,65.9,51.2
Université de Montréal,,63.3,84.3,52.6,69.1
University College Dublin,,63.1,77.3,82.1,71.9
University of Alberta,,63.7,75.1,65,63
The University of Arizona,,63.2,86.7,53.9,79
University of Bristol,,64.1,88.5,71.1,79
University of Groningen,,61.4,82.9,56.6,81.1
University of Hertfordshire,,63.8,90.5,21.3,83.1
The University of Hong Kong,,68,75.6,77.2,69.1
University of Leeds,,61.4,84.4,69,81.1
University of Minnesota,,63.2,88.5,49.5,81.1
University of Oslo,,66.1,87.3,66,74.4
University of Pennsylvania,,57.6,94.3,74.6,90.2
University of Texas at Austin,,58.2,90.1,77.8,85
University of Washington,,58.9,91,75.2,69.1
University of Wisconsin-Madison,,59.5,90.1,53.4,86.8
Washington University in St. Louis,,63.2,86.3,38.8,71.9
Aarhus University,,54.3,87.7,73.1,76.8
Arizona State University,,55.2,82.1,55.3,66.2
Beijing Normal University,,67.2,38.7,64.3,25.6
California Institute of Technology (Caltech),,61.4,58.3,67.5,51.2
Carnegie Mellon University,,55.4,92.6,65.6,85
Charles University,,59.8,59.9,59.2,59.4
Dalhousie University,,57.4,75.6,51.3,63
Deakin University,,62.4,77,58.8,55.5
Durham University,,53.6,83.7,72.7,76.8
Eberhard Karls Universität Tübingen,,57.4,82.4,49.6,63
Erasmus University Rotterdam,,59,78.8,51.6,63
Fordham University,,56,83.8,49.4,71.9
Fudan University,,65.3,45.7,83.1,40.6
The Hebrew University of Jerusalem,,60.2,78.1,42.1,66.2
Jagiellonian University,,61.5,63.2,49.8,51.2
Michigan State University,,55.8,84.1,74.2,59.4
Northwestern University,,55.7,89.5,61.8,74.4
The Ohio State University,,54.6,87.2,65.7,83.1
Osaka University,,66.6,41.4,65.4,33.8
Pontifícia Universidade Católica do Rio de Janeiro,,65.9,28.9,77.8,40.6
Queen's University at Kingston,,58.2,71.9,59.5,55.5
Ruhr-Universität Bochum,,60.9,81.3,,69.1
Saint Petersburg State University,,73.4,11.2,66.4,25.6
Sapienza University of Rome,,60,62.9,61.6,59.4
Shandong University,,67.6,52,44.2,46.3
Sungkyunkwan University (SKKU),,64.4,49.9,83.7,40.6
Tel Aviv University,,58.3,70.1,38.2,66.2
The University of Manchester,,56,84.5,74.6,81.1
The University of Melbourne,,57.4,83,80.1,74.4
