university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Massachusetts Institute of Technology (MIT),98.5,97.6,98.3,100,98.3
Stanford University,95.3,90.6,100,96.8,100
"University of California, Berkeley (UCB)",93.6,92.6,99.1,91,95.8
University of Cambridge,92.2,90.2,90.5,98.9,85.5
California Institute of Technology (Caltech),90.7,89.2,96.6,91.3,87.7
Kyoto University,90.5,90.4,87.4,92.8,89.3
University of Oxford,89.7,85,90.7,98.4,83.7
National University of Singapore (NUS),89.4,86,90.5,91.8,92.3
Imperial College London,89.2,91,86,90.2,85.5
The University of Tokyo,89,86.8,87.1,93.6,87.7
Tsinghua University,88.2,84.1,84.9,91.6,95.8
Princeton University,88,91.8,90.9,84.6,81.8
ETH Zurich - Swiss Federal Institute of Technology,87.2,88.3,90.2,81.7,92.3
University of Wisconsin-Madison,86.6,93.3,90.3,75.3,87.3
KAIST - Korea Advanced Institute of Science & Technology,86,81.7,90.6,87.7,89.7
Seoul National University,85.9,80.3,85.3,91.2,90.5
"Nanyang Technological University, Singapore (NTU)",85.7,79.7,94.6,82.6,98.8
University of Minnesota,85.7,100,85.2,69.6,80.2
"University of California, Los Angeles (UCLA)",85.3,81.8,92.9,88,81.3
Georgia Institute of Technology,85.2,82.4,90.3,84.2,89.3
Tokyo Institute of Technology,84.6,82.4,82.1,90.7,80.7
University of Texas at Austin,84.2,82.3,92.7,79.8,89.3
Yale University,83.9,80.3,89.8,88.2,79.2
Delft University of Technology,82.7,82.7,84.9,81.6,82.8
Northwestern University,82.7,77.6,97.9,75.4,95.4
The University of Manchester,82.6,86.7,85.4,76.7,80.7
Cornell University,82.4,78.7,92.9,81.5,83.7
Monash University,81.8,76.8,85.4,86.9,81.3
The Hong Kong University of Science and Technology,81.6,78.9,87.8,85.2,75.1
Purdue University,81,79.7,84.3,80.8,81.8
The University of Melbourne,81,78.5,84.5,87.5,71.2
Osaka University,80.7,73.9,86.7,83.3,87.7
The University of Queensland,80,79.6,87.6,75.4,82.8
Tohoku University,79.9,72.9,83.4,86.9,81.3
University of Toronto,79.9,72.7,89,82.7,84.6
UCL (University College London),79.7,84.2,83.6,73,77.5
The University of New South Wales (UNSW Sydney),79.6,76.8,83.6,83,76.3
Universiti Malaya (UM),79.1,79.7,77.7,82.6,71.9
Universiti Sains Malaysia (USM),79.1,78,80.8,83.4,71.9
University of Michigan,78.9,71.2,90.1,80.3,85.5
Pohang University of Science And Technology (POSTECH),78.6,71.9,87.9,83,78.6
University of Pennsylvania,78.6,74.2,92.1,77,80.2
Korea University,78.2,68.7,82.8,87.7,79.7
Ecole Polytechnique Fédérale de Lausanne (EPFL),78.1,72,96.6,73.2,85.5
National Taiwan University (NTU),78,74,83.4,80.2,78.6
Shanghai Jiao Tong University,78,67.7,82.4,85.2,86.4
McGill University,77.8,79.4,83.1,78.3,67.5
Sungkyunkwan University (SKKU),77.7,66.9,83.7,88.6,78.6
University of British Columbia,77.7,73.6,82.7,81.8,75.7
"University of California, Santa Barbara (UCSB)",77.7,81.7,96,61.3,81.3
Carnegie Mellon University,,73.2,85.7,80.8,74.5
