university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Massachusetts Institute of Technology (MIT),94.7,100,90.4,98.7,76.8
"University of California, Berkeley (UCB)",92.2,99.2,91.2,89,81.1
University of Cambridge,92.2,93.3,92.1,100,73.7
Imperial College London,91.4,95.4,91.3,90.7,82.4
National University of Singapore (NUS),89.7,89.8,91.9,92,82.4
Tsinghua University,89.7,87.1,86,92.9,93.7
Delft University of Technology,89.3,95.5,82.8,85.8,86.1
Stanford University,89.3,94.3,83.4,95.9,68.6
The University of Hong Kong,87.5,85.1,90.8,90.2,84.9
ETH Zurich - Swiss Federal Institute of Technology,86.8,92.2,89.6,81.8,79.7
The Hong Kong Polytechnic University,86.8,86,94.5,77.3,100
The University of Tokyo,86.5,93.2,74.5,93.5,66.7
University of Oxford,86.4,84,81.8,99.8,70.4
Politecnico di Milano,86.1,84.9,89.6,86.6,84.9
KAIST - Korea Advanced Institute of Science & Technology,85.6,84.5,94.5,84.3,82.4
The University of New South Wales (UNSW Sydney),85.2,85.8,84.5,87.5,79.7
Georgia Institute of Technology,85.1,88.3,87.9,77.8,88.4
Kyoto University,85,88.2,75.2,93,70.4
University of Illinois at Urbana-Champaign,84.9,97.8,85.6,67.5,84.9
University of Texas at Austin,84.2,94.2,85.3,76.4,72.1
The University of Sydney,84.1,83.2,91.1,83.9,79.7
"Nanyang Technological University, Singapore (NTU)",83.7,83.5,88.1,83,81.1
Ecole Polytechnique Fédérale de Lausanne (EPFL),83.5,84.6,93.7,75.6,86.1
Seoul National University,83.4,82.5,82.8,89.1,75.3
The University of Melbourne,82.4,80.5,86.7,87,73.7
The Hong Kong University of Science and Technology,82.3,85.7,80.8,89.3,60.5
University of Michigan,82,83,88.4,79.2,78.3
Purdue University,81.9,87.3,86.3,73.6,79.7
Monash University,81.3,78.1,86.9,87.3,72.1
University of British Columbia,81,83.3,86.9,77.2,76.8
University of Toronto,80.6,83.3,86.9,79.7,68.6
Shanghai Jiao Tong University,80.5,74.1,88.1,85.5,79.7
National Taiwan University (NTU),80.4,81.2,84.1,81.6,72.1
Universitat Politècnica de Catalunya,80.2,82.7,85,74,81.1
Politecnico di Torino,80.1,76.8,89.3,78,83.7
The University of Manchester,80,77.8,88.4,77.4,82.4
Tongji University,79.5,86.2,72.3,70.4,87.3
Texas A&M University,79.2,81.5,83.4,71.1,84.9
The University of Auckland,79.2,75.7,82.3,86.8,70.4
"University of California, Los Angeles (UCLA)",79.1,84.3,74,83,62.7
KTH Royal Institute of Technology,78.9,72.9,94.4,75.7,86.1
National Technical University of Athens,78.7,74.9,91.1,74.9,83.7
Hanyang University,78.3,71,86.7,83.7,78.3
Tokyo Institute of Technology,78.3,80.8,67,89.4,60.5
Yonsei University,78.2,70,87.2,86.1,75.3
City University of Hong Kong,78,70.6,100,72.3,87.3
Technical University of Denmark,77.9,76.8,97.6,63.6,89.5
Technical University of Munich,77.7,79.7,79.6,78.5,68.6
The University of Western Australia,77.7,78.1,83.9,74.5,76.8
The University of Sheffield,77.2,75.2,93.7,67.1,86.1
Aalborg University,,64,95.3,67.3,82.4
California Institute of Technology (Caltech),,86.6,53.5,80.2,47.4
Carnegie Mellon University,,72.7,81.2,77.5,66.7
Chalmers University of Technology,,70.6,82,69.9,72.1
Columbia University,,75.4,82,73.5,68.6
Cornell University,,84.1,70.7,76.8,53.2
Czech Technical University in Prague,,69.3,78.2,72,75.3
Indian Institute of Technology Bombay (IITB),,76.8,77.3,78.2,64.8
Indian Institute of Technology Delhi (IITD),,74.7,81.4,78,60.5
KU Leuven,,71.2,93.6,69,82.4
"KIT, Karlsruhe Institute of Technology",,77.7,74.8,70.8,66.7
Korea University,,72.5,76.2,87,64.8
Lund University,,72.4,78.8,73.2,62.7
McGill University,,74.8,82.5,74.1,66.7
Michigan State University,,68.6,84.9,72.2,76.8
National Cheng Kung University (NCKU),,68.2,88.7,72.7,73.7
Northwestern University,,81.7,77.2,72.8,58.2
Norwegian University of Science And Technology,,71.9,91.6,67.4,70.4
Peking University,,73.9,63.4,93.9,47.4
Pennsylvania State University,,70.7,82.2,66.6,81.1
Politécnica de Madrid,,75.6,80.5,70.8,76.8
Pontificia Universidad Católica de Chile (UC),,78.9,70.4,73.8,58.2
Princeton University,,78.4,82.2,77.1,68.6
Queensland University of Technology (QUT),,68.8,81.5,79.7,64.8
RWTH Aachen University,,77.7,78.1,78.6,66.7
RMIT University,,65.3,81.9,80.1,66.7
Sungkyunkwan University (SKKU),,64.3,70.6,88.9,62.7
Technische Universität Dresden,,68.1,81.6,73.3,75.3
The University of Adelaide,,64.1,83.5,76.5,73.7
The University of Queensland,,76.1,75.9,81.3,72.1
Tohoku University,,71.1,76.4,81.2,58.2
UCL (University College London),,78.3,83.5,74.2,66.7
Universidade de São Paulo,,74.8,79.9,75.2,66.7
University of Naples - Federico II,,66.6,86.9,65.3,88.4
