university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Massachusetts Institute of Technology (MIT),94,90.1,94.8,96.9,97.7
Stanford University,93.6,87.6,99.4,95.4,100
Carnegie Mellon University,91.9,100,93.2,79.2,94.3
"University of California, Berkeley (UCB)",89.9,85.4,98,89.2,95.4
University of Cambridge,88.9,82.8,90.7,98.7,83.8
Harvard University,88.4,79.4,95.2,100,82.6
University of Oxford,87.8,80.6,91.3,98.1,83
Princeton University,85.6,80.5,100,82.3,91.1
ETH Zurich - Swiss Federal Institute of Technology,85.4,79.9,94,84.5,93.2
National University of Singapore (NUS),84.2,76.7,89.6,89,89.2
University of Toronto,84.2,79.3,94.3,82.7,90.2
Imperial College London,83.7,78,90.7,87.3,84.6
"University of California, Los Angeles (UCLA)",83.1,76.7,92.5,85.4,86.4
The University of Melbourne,82.3,73.4,93.7,86.7,85.7
Tsinghua University,82.2,67.8,85.2,94.1,94
Peking University,81.8,73.8,83.3,90.7,83.8
University of Washington,81.8,81.9,98.3,68.8,91.1
The University of Tokyo,81.7,77.6,78.1,89.5,80.9
The Hong Kong University of Science and Technology,81.4,72.4,93.1,85.7,85
"Nanyang Technological University, Singapore (NTU)",81.3,72.1,93,81.6,93.2
Cornell University,81.1,76.5,96.7,76.5,86.8
The University of Edinburgh,81.1,82.2,90,76.1,79.5
University of British Columbia,80.8,69.8,94.4,83.7,90.8
Ecole Polytechnique Fédérale de Lausanne (EPFL),80.7,77.6,90.2,77.3,86.1
The University of Hong Kong,80.7,71.6,90.9,87.5,81.3
University of Texas at Austin,80.6,72.7,98.8,75.2,94.3
California Institute of Technology (Caltech),80.5,78.3,90.9,80.3,76.1
Georgia Institute of Technology,80.4,74.9,91.6,75.3,94.3
Columbia University,80.3,74.3,93.5,79.5,85
University of Illinois at Urbana-Champaign,80.2,75.7,95.9,71.2,94.8
University of Waterloo,79.9,73.8,92.6,76.7,89.8
New York University (NYU),79.7,75.2,95.5,74.9,85.7
KAIST - Korea Advanced Institute of Science & Technology,79.5,73.7,85.6,82.3,83
Yale University,79.3,72.1,88.3,87.2,73.4
The Chinese University of Hong Kong (CUHK),79.2,71.4,92.5,79.3,86.4
The Australian National University,79.1,72.3,92.2,81.7,78.6
UCL (University College London),78.9,74.1,91.9,74.3,88.2
Seoul National University,78.2,69.6,86.3,85.8,78.1
University of Pennsylvania,77.9,71.9,92.7,77,80.9
Technical University of Munich,77.2,72.3,84.2,77.2,83.4
National Taiwan University (NTU),76.7,67.2,91.5,81.4,77.7
The University of New South Wales (UNSW Sydney),76.5,67.4,86,83.1,78.1
The University of Sydney,76.4,67.3,86.6,82.8,77.7
"University of California, San Diego (UCSD)",76.3,70,97.7,66.6,90.8
Shanghai Jiao Tong University,75.7,60.6,83,87.6,84.6
University of Michigan,75.3,63.7,91.4,76.1,88.2
"University of Maryland, College Park",75,73,91.9,63.2,87.2
Lomonosov Moscow State University,74.7,69.7,76.2,88.4,59.1
Politecnico di Milano,74.6,64.6,83.2,80.3,81.3
University of Southern California,74.5,68,92.3,67.3,88.5
Aarhus University,,60.8,87.7,69.5,70.5
Boston University,,61.6,90,73.2,73.4
City University of Hong Kong,,61.2,94,68,88.9
Delft University of Technology,,60.7,84.9,70.8,85.7
Duke University,,63.9,92.3,69.3,79.5
"Ecole normale supérieure, Paris",,62.7,87.3,68.5,71.1
Fudan University,,61.2,82.6,87,72.3
Indian Institute of Technology Bombay (IITB),,64.9,79.8,75.7,61.7
Indian Institute of Technology Delhi (IITD),,63.3,83.4,72.5,69.2
Johns Hopkins University,,65.4,87.1,70.1,73.4
KU Leuven,,64.1,88.7,72,83
King's College London,,65.4,88.6,71.1,73.4
"KIT, Karlsruhe Institute of Technology",,62.4,85.3,71.3,79.5
Korea University,,57.9,84.2,81.9,72.3
KTH Royal Institute of Technology,,64.5,84.9,74.5,78.1
Kyoto University,,66,75.3,82.8,67.8
Ludwig-Maximilians-Universität München,,68.5,91,66.5,71.1
McGill University,,62.5,85.2,80.6,78.1
Monash University,,62.2,82.5,84.7,68.5
National Tsing Hua University,,64,83.1,77.1,68.5
Pennsylvania State University,,57.1,90.7,68.1,86.8
Pohang University of Science And Technology (POSTECH),,62.8,88.1,76.3,68.5
Politecnico di Torino,,57,83.5,74.6,76.1
Purdue University,,63.8,86.2,72.2,84.2
RWTH Aachen University,,62.1,81.7,74,78.1
RMIT University,,58.8,84.1,75,75.1
Sapienza University of Rome,,63.9,83.8,67,76.1
Sungkyunkwan University (SKKU),,55.7,81.5,84,69.2
Technion - Israel Institute of Technology,,71,90.2,63.5,81.7
Technische Universität Berlin (TU Berlin),,65.2,83.4,74,78.6
Vienna University of Technology,,66,84.6,65.3,82.6
The Hong Kong Polytechnic University,,58.5,95.8,73.5,87.2
The University of Auckland,,63,86.7,82.2,71.1
The University of Manchester,,69.2,87.5,73.6,73.4
The University of Queensland,,60.2,90.4,74.9,71.7
Tokyo Institute of Technology,,64.1,74.4,77.3,66.4
Universidade de São Paulo,,62.4,75.5,75.7,71.7
Universidade Estadual de Campinas (Unicamp),,61.8,79.4,74,67.2
Alma Mater Studiorum - University of Bologna,,59.8,86,72.2,77.2
Universiti Malaya (UM),,67.5,83.6,80.9,70.5
Universiti Sains Malaysia (USM),,67.7,80.3,75.4,65
Universiti Teknologi Malaysia,,64.6,75.6,71.7,71.7
University of Amsterdam,,70.8,90.3,66.6,76.7
"University of California, Irvine",,65.7,94.5,57.5,81.3
University of Chicago,,68.8,86.9,75.7,68.5
University of Massachusetts Amherst,,66.2,95.2,56.2,79.5
University of Science and Technology of China,,60.4,82,71.7,76.7
University of Technology Sydney,,61.6,86.6,77.3,77.2
University of Wisconsin-Madison,,60.4,98.4,66.1,86.8
Yonsei University,,54.6,84.6,81.4,74
Zhejiang University,,53.9,85.8,83.4,89.8
Brown University,,58.8,90,68.2,72.3
Ecole Polytechnique,,55.5,82.3,79.2,61.7
Eindhoven University of Technology,,61.3,85.7,59,83
Hanyang University,,53.3,78.2,79,63.4
Humboldt-Universität zu Berlin,,64.3,88.4,63.1,72.9
Indian Institute of Technology Madras (IITM),,61.1,79.4,70.5,59.1
Indiana University Bloomington,,54.8,93.5,66.2,76.7
Lancaster University,,59.7,95.1,56.8,76.1
London School of Economics and Political Science (LSE),,63.9,63.4,87.8,46.4
Nanjing University,,54.8,82.4,74,76.1
National Cheng Kung University (NCKU),,54.7,83.7,73.6,75.6
National Chiao Tung University,,58.8,81.6,72.6,74.6
National Taiwan University of Science and Technology (Taiwan Tech),,53,87.6,70,75.6
National Technical University of Athens,,54.7,81.6,68.3,72.9
North Carolina State University,,54.7,92.9,58.9,83.4
Northwestern University,,49.7,89.1,73.1,74
The Ohio State University,,51.2,91.8,63.4,82.6
Osaka University,,61.3,72,74,63.4
Politécnica de Madrid,,58.5,80.8,67.6,74
Queensland University of Technology (QUT),,56,86.3,70.5,73.4
Rice University,,58.6,93.2,55.9,74
Simon Fraser University,,56.2,96.1,60.6,81.7
Technische Universität Darmstadt,,57.9,83.7,70.1,76.7
Tel Aviv University,,59.1,92.7,55.9,84.2
The University of Adelaide,,52.8,89.4,73.8,70.5
The University of Warwick,,56.5,85.3,70.1,66.4
Universidad de Chile,,61.7,87,67.5,68.5
Universidad Nacional Autónoma de México (UNAM),,64.9,77.7,73.1,57.2
University of Milan,,60.9,84.7,63.4,67.8
University of Pisa,,63.5,86.6,63.1,73.4
Universität des Saarlandes,,66.7,88.6,49.1,77.7
Universitat Politècnica de Catalunya,,60.6,85.3,64.1,82.2
Université catholique de Louvain (UCL),,55.4,89.3,63.3,71.1
Université de Montréal,,55.4,88.5,69.8,77.2
Universiti Kebangsaan Malaysia (UKM),,62.4,71.7,68.7,59.1
Universiti Putra Malaysia (UPM),,58.1,80.9,69.8,65
University College Dublin,,51.7,89.9,76.2,67.2
University of Alberta,,52.8,91,69.2,85
University of Birmingham,,55.5,86.5,69.2,71.7
University of Bristol,,56.7,87.2,66.2,72.3
"University of California, Davis",,54,92.9,62.5,80.9
University of Copenhagen,,60.4,88.9,70.9,67.2
University of Glasgow,,63.8,92.9,61.9,69.8
University of Helsinki,,60.4,81.7,63.3,65.7
University of Lisbon,,55.8,79.6,69.4,77.7
University of Minnesota,,48.8,92.7,63.4,85.3
"University of North Carolina, Chapel Hill",,65.7,92.2,55.3,75.6
University of Southampton,,62.2,86.2,62.6,79.1
University of Zurich,,57.8,87.7,62.5,69.2
Uppsala University,,61.2,88.6,58.9,69.8
Vrije Universiteit Amsterdam,,66.9,86.6,57.2,69.8
Waseda University,,56.7,69,77.2,60
Aalborg University,,51.5,84.7,65.2,75.6
Aalto University,,53.6,82.8,63.6,74.6
Arizona State University,,47.9,88.2,61.3,81.7
CentraleSupélec,,40.6,84.6,88.1,64.2
Chalmers University of Technology,,55.8,83.5,64.7,71.7
Harbin Institute of Technology,,48.7,83.9,58.2,87.2
The Hebrew University of Jerusalem,,62.2,90.7,49.1,74
Indian Institute of Science (IISc) Bangalore,,57.1,80.4,58.6,67.8
Indian Institute of Technology Kanpur (IITK),,58.8,78.3,64.9,65
Indian Institute of Technology Kharagpur (IIT-KGP),,57.1,81.4,66.9,65.7
Instituto Politécnico Nacional (IPN),,54.4,79.1,66.1,73.4
Keio University CEMS MIM,,58.6,69.3,72.3,58.1
Kyushu University,,57.5,71.6,68,60.9
Lund University,,55.1,87.3,63,70.5
Michigan State University,,49.9,91.4,66.1,75.1
National Sun Yat-sen University,,52.3,85.1,62.6,69.2
Pontificia Universidad Católica de Chile (UC),,64.5,67.8,69.7,52.9
Queen Mary University of London,,51.8,85.6,64.4,69.8
Queen's University at Kingston,,47.1,87.6,71.3,73.4
Rheinische Friedrich-Wilhelms-Universität Bonn,,55.8,88.4,59,67.8
Ruprecht-Karls-Universität Heidelberg,,54.4,82.3,68.9,63.4
Saint Petersburg State University,,60.4,64.9,76.3,50.5
Technical University of Denmark,,47,82.7,67.8,76.7
Technische Universität Dresden,,50.7,79.1,68.5,70.5
Texas A&M University,,47.4,86.7,64,81.7
The University of Nottingham,,48.2,88.1,65.5,74.6
The University of Sheffield,,49.6,88,60.8,75.6
The University of Western Australia,,47.7,82.7,72.1,65
Tohoku University,,52.8,77.1,70.3,65
Universidad Carlos III de Madrid (UC3M),,57.3,82.5,62,71.1
University Complutense Madrid,,53.6,83.2,68.1,66.4
Universidade Federal de Minas Gerais,,59.4,84.6,56.3,71.7
Universitat de Barcelona,,57.5,81,66.4,65.7
Universität Stuttgart,,48.2,83.3,66.6,73.4
University of Vienna,,55.5,84.2,65.7,63.4
"University of California, Santa Barbara (UCSB)",,57.7,91.8,52.6,79.5
University of Canterbury,,52.6,75.1,70.9,60.9
University of Geneva,,54.4,91.5,57,69.2
"University of Illinois, Chicago (UIC)",,52.1,89.1,60.8,74.6
University of Oslo,,53.7,91.1,57.1,77.2
University of Otago,,58.7,63.6,73.7,51.7
University of Virginia,,49.7,96.3,55.1,82.2
University of York,,63,80.2,60,64.2
Utrecht University,,55.4,87.7,59.2,71.7
Victoria University of Wellington,,56.3,74.7,70.2,60
Virginia Polytechnic Institute and State University,,53.8,89.9,59,82.2
Wuhan University,,46.3,76,75.5,73.4
