university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Massachusetts Institute of Technology (MIT),97.6,97.3,92.2,99.4,100
Stanford University,95.6,93,98.7,95.5,99.3
University of Cambridge,93.1,89.9,89.8,99.1,92.6
Harvard University,91.4,84.3,98.2,100,86.6
"University of California, Berkeley (UCB)",91.4,91.6,94.5,89.3,91.8
University of Michigan,90.9,100,84.2,81.2,93
University of Oxford,89.8,84.8,91.5,97.9,85.5
The University of Tokyo,89.4,88,78.1,99.5,83.9
Imperial College London,89.1,88,87.8,91.6,88.6
Tsinghua University,88.4,83,79.3,97.7,93.4
"Nanyang Technological University, Singapore (NTU)",88,85.8,91.7,86.1,94.2
Georgia Institute of Technology,87.8,87.4,86.2,84.9,96.2
National University of Singapore (NUS),87.3,83.4,90,90.4,89
California Institute of Technology (Caltech),87,89.2,80.5,88.8,83.9
ETH Zurich - Swiss Federal Institute of Technology,86,85.5,87.4,86.9,84.4
KAIST - Korea Advanced Institute of Science & Technology,86,82.5,88.6,87.1,90.4
Seoul National University,85.9,79.8,86.6,90.4,92.2
Delft University of Technology,85.3,89.9,80.6,81.8,85
"University of California, Los Angeles (UCLA)",84.9,82.8,94.7,82.4,85.5
Purdue University,84.7,88.6,80.2,82.6,83.3
Peking University,84.1,72.6,90.9,92.6,90.9
Kyoto University,83.4,78.7,77.6,96,76.2
The Hong Kong University of Science and Technology,82.9,78.8,87.7,86.4,82.1
RWTH Aachen University,82.8,85.2,78.8,82.2,81.5
University of Illinois at Urbana-Champaign,82.4,82.6,83.7,79.4,86.6
Cornell University,81.9,77.6,91.1,81.5,85
Shanghai Jiao Tong University,81.6,77.1,78.6,85.3,89
University of Texas at Austin,81.6,78.9,88.3,78.3,89
Politecnico di Milano,81.5,82.2,79.5,82,80.9
Tokyo Institute of Technology,81.4,82.1,75.9,88.6,70.5
Tohoku University,80.9,79.7,79.9,82.5,82.1
University of Toronto,80.8,77.3,87,79.9,85.5
Universiti Malaya (UM),80.6,81.5,81.8,81.9,74.6
Princeton University,80.5,79.9,87.8,79.2,77.6
Technical University of Munich,80.4,81.8,77.1,81.8,76.9
Ecole Polytechnique Fédérale de Lausanne (EPFL),80,74.7,91.4,78.6,85.5
Northwestern University,79.5,76,93,74.2,86.1
National Tsing Hua University,79,73.9,88.4,80.3,80.3
KTH Royal Institute of Technology,78.9,82.1,79,76.3,75.4
McGill University,78.9,79.9,80.7,76.9,78.3
Texas A&M University,78.9,80.2,78.3,77,79.6
The University of Hong Kong,78.8,73.2,85.5,84.2,76.2
National Taiwan University (NTU),78.7,76,82.8,81.5,76.2
The University of Melbourne,78.5,75.1,81.8,86.7,67.7
Cranfield University,78.3,82.4,77.1,75.6,73.9
Carnegie Mellon University,78.1,71,84.3,86.1,74.6
Fudan University,78.1,56.8,100,89.3,90.4
The University of New South Wales (UNSW Sydney),78.1,69.7,82.6,82.4,87.1
Pohang University of Science And Technology (POSTECH),78,72.4,87,81.4,76.9
Sungkyunkwan University (SKKU),77.8,63.9,89.4,87.1,84.4
The Australian National University,,71.9,74,79.6,58.6
Brown University,,77.9,78.5,67.1,70.5
Columbia University,,69.3,88.4,74.3,79
Duke University,,70.4,85.9,69.5,80.9
Eindhoven University of Technology,,70.3,85.2,69.8,79
Hanyang University,,68.6,82.5,84.8,80.9
Indian Institute of Technology Bombay (IITB),,77.1,75.1,79.5,62.3
