university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Harvard University,97.8,98.8,93,100,100
Massachusetts Institute of Technology (MIT),95,93.5,100,96.2,92
University of Cambridge,93.7,97.4,89.3,98.7,90.2
University of Oxford,92.9,96.4,86.5,97.8,91.9
Stanford University,92.2,93.7,90.6,92.9,91.2
"University of California, Berkeley (UCB)",89.7,94,90.7,90.1,81.8
Yale University,87.3,89.1,87.3,87.6,84.2
California Institute of Technology (Caltech),86.4,97.9,90.5,75.1,68.6
"University of California, Los Angeles (UCLA)",86.3,88.5,86.2,81.2,84.8
ETH Zurich - Swiss Federal Institute of Technology,86.1,100,81.7,77.9,71.5
"University of California, San Diego (UCSD)",85.8,86,88.3,74.3,87.7
The University of Tokyo,84.7,89.8,79.7,89.5,79.5
University of Toronto,84,82.2,83.4,88.1,85.8
Cornell University,83.9,85,85.8,78.4,82.5
Kyoto University,83.6,91.8,79.3,86.6,73.6
Columbia University,83.5,81.6,87.7,80.5,83.6
Princeton University,83.4,91.9,87.9,82.3,65.8
"University of California, San Francisco",83.2,78.3,92.9,61.3,89.9
Imperial College London,83,87.4,80,83,79.1
National University of Singapore (NUS),83,86.4,81.2,87.2,77.7
University of Pennsylvania,82.4,77.9,86.9,76.7,87.2
Johns Hopkins University,82.2,78.1,85.3,76.3,87.9
The University of Melbourne,82.1,84.1,80.2,84.7,79.8
University of Washington,82.1,79.5,85.2,74.2,86.3
UCL (University College London),81.7,79.1,81.5,81.5,86.1
The University of Edinburgh,81.4,83.3,83.9,70.2,80.5
The Rockefeller University,81.2,80.1,97.2,53.5,78
"University of California, Davis",81.2,89.3,80.3,69.2,74.1
University of Chicago,81.1,80.3,87.1,73,79.8
University of Michigan,81,76.4,84.6,72.7,87.9
Ecole Polytechnique Fédérale de Lausanne (EPFL),80.1,78.3,95.3,79,68.1
McGill University,79.8,79.3,79.2,90.8,76.9
Duke University,79.6,77.1,84,77.6,79.8
University of British Columbia,79.5,81.9,80.2,78.8,75.2
Washington University in St. Louis,79.4,74.4,88.7,59.2,86.1
Ludwig-Maximilians-Universität München,79.3,78.3,81.1,73.7,81.3
