university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Harvard University,96.3,97.1,93.3,100,96.4
Monash University,94.7,100,91.7,88.7,91.5
University of Cambridge,93.9,93.6,94.8,95.2,93
University of Oxford,93.6,92.6,93.6,97.3,93.7
"University of California, San Francisco",92.4,97.8,93.9,58.1,96.1
The University of Nottingham,91.1,91,100,68.6,91.5
King's College London,90.5,88.9,94.4,77.2,94.4
UCL (University College London),90.3,87.8,93.1,73.8,97.9
The University of Tokyo,89.8,88.6,90.2,87.5,92.3
Karolinska Institutet,89.6,85,94.5,81.6,95.4
National University of Singapore (NUS),89,84.9,96.6,74.8,93.7
Yale University,88.8,85.2,93.1,85.6,91.5
"University of California, San Diego (UCSD)",88.5,83.7,95.3,69.7,96.7
The University of Manchester,87.7,86.5,94.7,65.1,91.5
Johns Hopkins University,87.6,85.5,92.6,62.1,96.1
"University of North Carolina, Chapel Hill",87.3,81.5,93.2,75.2,95.7
Leiden University,86.6,85.8,94.5,60.9,90.4
Seoul National University,86.3,81.2,90,83.8,91.9
Purdue University,86,83.5,95.2,69.7,87.5
The University of Sydney,85.6,80.1,91.5,80.5,90.4
University of Michigan,85.3,78.3,93.9,67.6,95.1
University of Toronto,85.3,74.7,91.5,87.4,95.4
Uppsala University,85,80.7,93.2,72.7,88.4
Peking University,84.7,81.7,86.9,77,90.4
Kyoto University,84.4,82.2,89.5,82.6,83.4
ETH Zurich - Swiss Federal Institute of Technology,84,80.3,92.2,72.8,86.2
Imperial College London,84,74.8,95.6,70.8,92.3
University of British Columbia,83.9,78,93.4,79.4,85.8
KU Leuven,83.8,78.3,90.9,74.2,89.2
University of Copenhagen,83.7,75.8,93.3,63.7,94.7
Ludwig-Maximilians-Universität München,83.4,76.6,90.8,78,89.2
McGill University,83.4,77.4,91.3,79.1,86.7
The University of Queensland,83.4,74,93.2,71.6,93.4
The Chinese University of Hong Kong (CUHK),82.8,76.7,92.8,73.7,86.2
Freie Universitaet Berlin,82.6,72.2,92.6,86.1,87.9
National Taiwan University (NTU),82.5,80.7,90.7,65.2,83.9
Columbia University,82.2,71.5,92.4,82.5,88.8
Utrecht University,82.2,71.4,97.6,42.3,100
University of Geneva,82,74.8,93.2,65.8,88.8
The University of Hong Kong,81.9,78.3,90.1,71.7,83.4
Duke University,81.6,69.9,92.8,81,89.2
"University of Illinois, Chicago (UIC)",81.5,79.3,91.1,58.6,84.4
University of Washington,81.5,67.9,93.9,70.6,95.1
New York University (NYU),81.4,71.7,93.8,80.3,84.8
University of Alberta,81.4,70.3,93.9,71.9,90.4
University of Milan,81.3,72.5,91.5,70.2,89.6
University of Minnesota,81.2,73.1,91.9,63.3,90.8
Université de Montréal,81,74.5,90.5,72.5,85.3
The University of Melbourne,80.7,71.1,90.9,77,87.5
University of Southern California,80.7,74.7,91.9,66,84.8
Boston University,,58.6,92.2,65.5,82.4
Cardiff University,,75.2,85,43.5,80.3
Cornell University,,67.2,88.7,65.6,79.2
Eberhard Karls Universität Tübingen,,61.1,92.8,65.4,85.3
Fudan University,,64.4,88.1,46.5,90.4
Kyushu University,,64.5,87,73.5,76.9
Michigan State University,,65.8,84.3,63.9,78
Northeastern University,,61.8,93.3,56.6,88.8
The Ohio State University,,63.6,91.4,59.6,87.5
Osaka University,,74.6,87.9,77,79.8
Queen's University Belfast,,75,83.2,48.6,75.6
Ruprecht-Karls-Universität Heidelberg,,70.8,90.7,75.9,84.8
Sapienza University of Rome,,71.2,86.5,65.3,82.9
Sungkyunkwan University (SKKU),,68.1,89.4,86.7,84.4
The University of Auckland,,73.6,87.4,71.2,78.6
The University of New South Wales (UNSW Sydney),,60.2,88.9,80.7,78
Tohoku University,,68.1,87.9,74.8,76.9
University Complutense Madrid,,66.4,88.2,63.8,81.4
Universidad Nacional Autónoma de México (UNAM),,64.6,86.8,73.5,81.4
Universidade de São Paulo,,70.5,86.2,66,87.5
Universidade Estadual de Campinas (Unicamp),,74,83.9,59.5,72.3
Universidade Federal do Rio de Janeiro,,75.6,84,48.8,72.3
University of Florence,,63.2,88.7,51.6,82.4
Università di Padova,,66,89.7,44.6,81.4
Alma Mater Studiorum - University of Bologna,,65.8,90.5,70.1,82.4
Universitat de Barcelona,,70,90.6,55,87.1
Universität Frankfurt am Main,,65.7,92,61,83.4
Université catholique de Louvain (UCL),,64.7,93.1,73.3,86.2
Université Paris Descartes,,62.2,93,59.5,90.4
Université Paris-Sud,,61.9,91.9,49.9,83.4
Université Pierre et Marie Curie (UPMC),,63.6,91.9,67,82.4
Universiti Malaya (UM),,80.2,78.9,76.2,66.9
Universiti Sains Malaysia (USM),,82.7,79.7,77.5,66.9
University at Buffalo SUNY,,64.1,89.5,64.9,82.4
University College Cork,,71.5,87.9,78.6,85.3
University of Basel,,67.6,91.7,60.7,84.8
University of Bath,,74.7,78.3,58.6,72.3
University of Bristol,,71.6,87.5,64.5,79.8
University of Dundee,,68.9,94.7,30.8,83.9
Ghent University,,54.9,92.7,66.8,89.2
University of Glasgow,,73,89.1,44.6,80.3
University of Helsinki,,69,92.9,74.2,87.5
University of Liverpool,,65.2,91.2,63.8,81.4
University of Pennsylvania,,64.9,92.6,77.4,91.2
University of Pittsburgh,,61.6,93.7,55.6,94.1
University of Strathclyde,,82.2,80.3,53.8,71.5
University of Texas at Austin,,72.4,92.1,59.2,84.4
University of Utah,,64.9,95.3,53.3,90.8
University of Wisconsin-Madison,,68.2,91.9,56.2,87.9
Yonsei University,,69.6,87.2,82.4,76.9
Baylor College of Medicine,,58,91.1,53.6,84.4
China Medical University,,60.6,90.2,51,83.9
Chulalongkorn University,,65.4,79.2,62.9,71.5
Georgetown University,,58.5,83.9,59.4,79.8
Hanyang University,,57.5,86.6,76.1,80.8
Hokkaido University,,56.2,87.8,76.8,78
King Saud University,,66.1,85,20.6,83.9
Korea University,,60,86.3,82.2,75.6
Kyung Hee University,,48.9,90.1,68.1,83.9
Mahidol University,,73.6,85.1,38.4,71.5
Nagoya University,,67.6,79.2,72.4,64.2
Nanjing University,,63.5,87.3,39.6,79.2
Newcastle University,,56.4,89.6,63.3,81.4
Philipps-Universität Marburg,,62.2,86.1,30.5,81.4
Rheinische Friedrich-Wilhelms-Universität Bonn,,54.4,89.7,72.1,78
Rutgers University - New Brunswick,,60,87.4,61.1,79.2
Semmelweis University,,62.1,84.3,76.5,76.9
Taipei Medical University,,57.7,85.7,66,78
Technical University of Munich,,59.6,88.2,69.2,79.2
Texas A&M University,,64.3,85.8,49.9,78.6
Tsinghua University,,65,83.5,75.1,73
Universidad Autónoma de Madrid,,60.8,84.1,69.2,75.6
Universidad de Buenos Aires (UBA),,59.8,82.5,68.2,72.3
UNESP,,67.9,82.7,52.5,71.5
Universidade Federal de Minas Gerais,,67.4,85.6,58.1,73.6
Universidade Federal de São Paulo,,68.1,83.7,44.4,72.3
Universidade Federal do Rio Grande Do Sul,,68.3,82.9,53.6,71.5
University of Naples - Federico II,,50.5,89.9,53.9,88.4
Albert-Ludwigs-Universitaet Freiburg,,60.9,87.4,59.8,78.6
Université Claude Bernard Lyon 1,,58.2,86.4,65.6,76.2
Université de Montpellier,,54.1,85.2,70.1,78
Université de Strasbourg,,63.4,84.8,65.6,76.2
Universiti Kebangsaan Malaysia (UKM),,77.3,73.1,71.3,65.1
Universiti Putra Malaysia (UPM),,70,80.6,68.2,70.1
University of Aberdeen,,69.6,82.9,45.6,73.6
The University of Arizona,,57.4,91.5,51.5,81.9
University of Birmingham,,57.2,89.1,62.4,81.4
University of Bradford,,63.8,76.6,62.9,73.6
University of Connecticut,,56,91.7,40.9,85.8
University of Florida,,51.4,91.1,53.1,88.4
University of Iowa,,67.1,91.3,20.8,84.4
University of Kansas,,56.8,85.2,49.5,88.4
University of Lausanne,,62.8,88.2,67.4,75.6
University of Leeds,,62.8,86.2,56.6,80.8
University of Lisbon,,53.8,90.7,64,79.2
"The University of Newcastle, Australia (UON)",,66.7,77,55.9,72.3
University of Oslo,,71.5,89.1,,79.8
University of Otago,,64.9,87,32.7,82.4
University of South Australia,,57.5,83,72.2,75
University of Zurich,,59.9,92.6,43.9,85.8
The University of Western Ontario,,55.3,83.8,70.6,77.5
Alexandria University,,56.2,82.1,54,69.3
Cairo University,,59.6,82,56.5,75.6
Charles University,,51.9,88.4,62.7,79.2
Chiba University,,61.6,81.5,50.6,68.5
China Pharmaceutical University,,65.5,80.3,,84.4
Curtin University,,67.4,72,58.1,64.2
Ewha Womans University,,50.9,83.8,68.4,73.6
The Hebrew University of Jerusalem,,52.2,92.1,,85.8
Icahn School of Medicine at Mount Sinai,,58,91.7,,81.9
Johannes Gutenberg Universität Mainz,,44.4,90.9,63.7,82.9
Julius-Maximilians-Universität Würzburg,,46.6,90.7,56.3,80.8
Keio University CEMS MIM,,60.4,78.6,72.7,68.5
Kumamoto University,,56.4,78.3,59.1,71.5
National and Kapodistrian University of Athens,,46.2,88.1,50.3,81.9
National Cheng Kung University (NCKU),,55.4,87.7,52.8,78.6
Pusan National University,,53.9,85.7,57.3,78.6
Shanghai Jiao Tong University,,49.2,87.9,55.4,87.9
Sun Yat-sen University,,58.5,88.4,17.6,87.9
Tel Aviv University,,58.3,90.2,,85.8
The Hong Kong Polytechnic University,,62.2,72.9,62.5,67.7
The University of Texas M. D. Anderson Cancer Center,,53,94.7,,89.2
The University of Texas Southwestern Medical Center at Dallas,,60.2,90.6,17.6,82.4
Tokyo University of Pharmacy and Life Sciences,,68,69.6,60.6,59.2
Tokyo University of Science,,61.2,74.3,64.7,63.3
"Trinity College Dublin, The University of Dublin",,41.5,87.7,82,80.3
Tufts University,,45.9,91.1,35.3,82.9
Universidad de Chile,,62.3,75.9,66.4,69.3
University of Granada,,55.6,82,55.5,77.5
University of Navarra,,51.6,81.1,65.3,75
University of Salamanca,,58.4,79.8,58.9,74.3
Universidade Federal de Santa Catarina,,61.5,82.4,43.4,72.3
Universidade Federal do Paraná - UFPR,,65.8,74.6,53.7,66
Università degli Studi di Pavia,,51,83.3,60.4,75
Universitat Autònoma de Barcelona,,54,86.8,42.1,79.8
University Duesseldorf,,48.3,88,68.6,82.4
Friedrich-Alexander-Universität Erlangen-Nürnberg,,54,85.9,40.3,76.2
Universität Hamburg,,57.8,83.8,43.2,76.2
Universite libre de Bruxelles,,56.1,82.6,75.6,74.3
Université Paris Diderot - Paris 7,,51.6,87.4,47.9,76.9
Universiti Teknologi MARA - UiTM,,71.3,67.8,70.2,58.1
University College Dublin,,54.7,80.9,76.1,75.6
University of Bern,,48.7,88,68,82.9
"University of California, Irvine",,58.9,88.5,39.3,74.3
University of Cape Town,,62.8,82.8,65,66.9
University of Debrecen,,63.1,72.3,65,63.3
University of Kentucky,,49.5,91.8,44.1,86.2
University of Porto,,60.2,89.1,16.4,83.4
University of Southampton,,52.2,84.4,50.3,77.5
University of Virginia,,56.2,83.1,48,75.6
