university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Massachusetts Institute of Technology (MIT),98,100,95.9,98.4,95.7
"University of California, Berkeley (UCB)",96.7,97.5,99.4,90.6,98.3
University of Cambridge,96.2,98.4,91.6,100,92.7
Stanford University,95.5,94.1,97.9,94.4,96.8
Harvard University,95.2,98.3,92.9,99.5,86.8
University of Oxford,94.4,97.1,89.1,98.7,90.1
National University of Singapore (NUS),92.3,90.1,93.8,90.6,96.8
California Institute of Technology (Caltech),90.4,94.4,93,86.1,84.3
"University of California, Los Angeles (UCLA)",90.3,88.9,98.6,86.2,88.9
The University of Tokyo,90.2,92.1,85.2,92.4,89.4
ETH Zurich - Swiss Federal Institute of Technology,89.6,92.7,87.8,86,88.9
Northwestern University,89.2,92.3,99.1,67,95.5
Peking University,89.2,85.9,88.7,90.9,94.5
Imperial College London,89.1,88.8,90.4,89.6,87.9
Kyoto University,88.2,87.6,83.5,93.2,88.9
"Nanyang Technological University, Singapore (NTU)",88.1,82.8,96.1,78.8,100
Tsinghua University,87.5,82.3,86.9,90.1,96
KAIST - Korea Advanced Institute of Science & Technology,86.4,82.1,93.9,85.4,88.4
Seoul National University,86.2,84.3,86.5,88.5,87.3
University of Toronto,85.5,82.7,91.9,81.5,88.9
Yale University,85.5,83.7,91.7,88.1,80.3
Ecole Polytechnique Fédérale de Lausanne (EPFL),85.4,83.6,94.4,77.1,88.4
University of Texas at Austin,84.3,79.6,95.1,73.6,93.4
Princeton University,84.2,81.1,91.5,85,82.2
Technical University of Munich,83.6,85.4,86,78.3,82.8
Osaka University,83.5,80.3,84,86.2,86.5
The Hong Kong University of Science and Technology,83.3,81.2,92.3,81,80.6
Georgia Institute of Technology,83.2,77.7,93.1,76.4,91.3
The University of Hong Kong,83.2,82.5,88,88.6,74.2
Fudan University,83.1,72.8,91.6,81.7,96.4
University of Illinois at Urbana-Champaign,82.9,80.1,91.8,73.6,88.9
Tokyo Institute of Technology,82.5,87.3,78.1,84.9,74.9
National Taiwan University (NTU),81.6,78.9,84.5,82.9,82.8
Cornell University,81.5,79.2,89.4,81,78.9
"University of North Carolina, Chapel Hill",81.5,77.3,96.5,71.3,84.9
McGill University,81.4,78.5,86.9,87.1,76.1
University of Michigan,81.3,76.4,90.7,76.6,86.5
Purdue University,81.2,75.5,89.3,81.6,84.3
The University of Manchester,81.2,80.1,85.8,77.6,82.2
Columbia University,80.8,79.4,90.4,76.8,78.2
RWTH Aachen University,80.8,75,88,82.4,83.7
"University of California, San Diego (UCSD)",80.6,79.8,90.3,71.3,81.9
UCL (University College London),80.4,80.3,83.7,77.7,79.9
University of British Columbia,80.3,80.6,83.7,81.4,75.3
Monash University,80.2,78.2,86.5,75.8,82.2
The University of Melbourne,80.2,80.2,85,78.8,76.8
Tohoku University,80.2,77.8,80.2,82.8,82.2
University of Chicago,80.1,79.9,89.5,76.5,74.9
Shanghai Jiao Tong University,80,74.8,82.5,83.6,84.3
The University of Sydney,79.8,76.6,85.5,83.2,77.2
The Australian National University,,77.1,82.4,77,64.1
Carnegie Mellon University,,70.9,91.8,72.1,74.9
Delft University of Technology,,72,85.2,84.5,74.5
Duke University,,69.7,93.3,78.6,78.2
Durham University,,68.5,89.3,65.4,77.2
Eindhoven University of Technology,,71.9,85.4,67.6,72.5
Freie Universitaet Berlin,,74.6,84.4,70.7,73.4
Hanyang University,,63.9,82.6,80.4,78.2
Hokkaido University,,74.6,79.9,79.5,77.2
Johns Hopkins University,,77.5,85.8,75.4,72.9
KU Leuven,,67.9,85.2,76.9,83.4
"KIT, Karlsruhe Institute of Technology",,69.4,84.9,76.2,86.3
Korea University,,67.4,85.8,84.1,81.2
Kyushu University,,76,79.6,80.4,73.8
Lomonosov Moscow State University,,76.2,66.8,88,65.6
Ludwig-Maximilians-Universität München,,80.5,87.1,69.8,78.6
Lund University,,77.3,81.4,63.9,70.4
Nagoya University,,79.4,81,77.5,76.1
Nanjing University,,66.9,88,70.3,95.3
National Tsing Hua University,,70.6,87.6,73.7,82.5
Pennsylvania State University,,69.8,87.6,65.5,83.4
Pohang University of Science And Technology (POSTECH),,73.1,90,81.1,78.6
Rice University,,69.5,100,57.3,82.2
Ruprecht-Karls-Universität Heidelberg,,73.2,88,71.7,78.6
Stockholm University,,68,89.9,66.1,80.9
Sungkyunkwan University (SKKU),,68.4,82.5,85.2,76.4
Technische Universität Berlin (TU Berlin),,76.9,85.7,71.6,74.5
Texas A&M University,,75.7,92.2,66,85.4
The Chinese University of Hong Kong (CUHK),,73,87.2,74.2,72.5
The Hong Kong Polytechnic University,,67,87.6,74.5,74.2
The University of New South Wales (UNSW Sydney),,73.8,84.7,79.1,73.8
The University of Nottingham,,72.1,86.5,62.1,76.4
The University of Queensland,,72.4,85.2,72.9,78.9
Alma Mater Studiorum - University of Bologna,,69.3,81.9,76.1,75.3
Universitat de Barcelona,,70.9,84.7,67.8,79.9
Université de Strasbourg,,77.3,86.7,53.7,78.6
Université Pierre et Marie Curie (UPMC),,69.4,83.9,66.7,80.6
University of Alberta,,73.4,82,73.5,74.9
University of Amsterdam,,70.7,89.1,74.7,73.4
University of Bristol,,78.2,87.3,65.6,74.9
"University of California, Davis",,70.2,86.8,64.6,77.9
"University of California, Santa Barbara (UCSB)",,74.2,94.4,58.2,82.5
University of Copenhagen,,68.7,82.9,75.4,73.8
The University of Edinburgh,,75.6,87.3,68.5,76.4
University of Minnesota,,71,86.5,70.3,80.6
University of Pennsylvania,,77.4,90.3,74.4,78.6
University of Science and Technology of China,,71.4,88.5,68.4,95.3
University of Washington,,68.2,91,72.9,81.6
University of Wisconsin-Madison,,75.1,90.1,69.6,86.5
Uppsala University,,71.7,83.1,69.5,75.3
Yonsei University,,68.2,82.1,84.7,77.2
Zhejiang University,,66.3,86,81,96
Aarhus University,,67.7,85.3,72,72.1
Boston University,,61.4,90.2,74.8,73.8
Chalmers University of Technology,,66,82,65.2,69
Dalian University of Technology,,55.2,86.2,71.3,88.1
East China University of Science and Technology,,62.4,84.4,57.2,90.4
Ewha Womans University,,54.1,96,66.8,81.6
University of Göttingen,,65.3,91.5,58.8,79.3
Humboldt-Universität zu Berlin,,74.3,86.6,58,74.5
Indian Institute of Science (IISc) Bangalore,,71.6,82.6,61.4,81.2
Indian Institute of Technology Bombay (IITB),,73,78.9,70.9,65.1
Jilin University,,63.2,80.5,67.6,87.9
KTH Royal Institute of Technology,,69.4,80.7,64.1,72.1
Leiden University,,67.9,86,63.7,74.2
Nankai University,,54.3,89.6,63.3,92.7
National Chiao Tung University,,58.9,87,74.8,69
The Ohio State University,,66.5,80.3,65.9,68.1
Technical University of Denmark,,68.4,83.1,69.2,74.2
Technische Universität Dresden,,66.7,82.8,63.2,74.5
The University of Auckland,,70.3,78.5,73.4,61.9
The University of Warwick,,66.7,88,67.7,74.9
Universidad Autónoma de Madrid,,64.9,87.5,64.6,74.9
Universidad de Buenos Aires (UBA),,71.1,74,74.9,56.3
Universidade de São Paulo,,75,70.4,68.8,64.1
Universidade Estadual de Campinas (Unicamp),,74.4,73.9,65.2,64.6
