university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
ETH Zurich - Swiss Federal Institute of Technology,95,100,93.2,81.2,94.5
Harvard University,94.7,92.4,94.6,100,96.5
"University of California, Berkeley (UCB)",94.5,94.2,94,92,96.5
University of Oxford,94.5,93.8,94.8,96.3,94.5
Massachusetts Institute of Technology (MIT),93.7,97.1,91,95.2,90.5
University of Cambridge,93.2,94.7,90.4,96.6,92.1
California Institute of Technology (Caltech),93,92.3,92.1,80.3,100
Stanford University,92.2,91.5,92.6,94.9,91.8
Columbia University,91.8,90.1,97,79.7,94
University of Washington,91.4,91.8,95.5,65,97.4
"University of California, Los Angeles (UCLA)",89.3,88.6,93,88.1,87.3
"University of California, San Diego (UCSD)",89.1,92.8,93,59.4,91
The Australian National University,89,90.4,91,81.3,87.9
University of Toronto,88.8,83.8,95.4,86.7,91
The University of Tokyo,88.6,89.8,86.8,83.2,90.5
Princeton University,88.3,81.1,98.2,80.7,92.8
Utrecht University,88,86,94.8,74.8,89.7
University of Bristol,87.9,90.3,92.7,64.4,88.8
University of British Columbia,87.9,88,93.3,72,88.8
University of Leeds,87.9,88.3,97,66.8,86.4
Yale University,86.7,81,96.5,77.8,89.7
The University of Edinburgh,86.6,85.7,90.9,74.9,88.5
University of Texas at Austin,86.6,85.5,90.3,77.7,88.2
Durham University,86.5,84.7,92.8,71.3,89.1
University of Colorado Boulder,86.4,80.2,94.4,61.1,98.6
Imperial College London,86.3,87.6,85.7,88.9,83.8
The University of Hong Kong,86.1,80.9,94,79.9,89.1
The University of Arizona,85.4,83.9,92,53.7,93.8
"University of California, Davis",85,81.8,92.1,80.8,84.8
UCL (University College London),84.6,84.5,88,72.5,86.1
University of Southampton,84.4,90.2,86.7,63.8,80.9
Pennsylvania State University,84.3,78.7,91.6,71.8,91
Peking University,84.2,79.4,85.9,92.6,86.7
Delft University of Technology,84,85.5,80.7,94.2,80.9
McGill University,84,81.3,89.4,82.2,83.8
The University of Melbourne,83.6,82.5,88.7,76.7,83.1
University of Bergen,83.1,81.6,91.4,66.2,83.8
Texas A&M University,83,82.4,84.6,77.1,84.8
Kyoto University,82.9,81.5,83.5,91.8,80.9
"University of California, Santa Barbara (UCSB)",82.5,77.2,94.9,55.4,89.4
Oregon State University,82.3,84.8,92.4,42.9,84.1
The University of New South Wales (UNSW Sydney),82.2,76.1,87.5,87.4,84.5
National Taiwan University (NTU),82.1,80.7,85.6,79.3,82
The University of Western Australia,82.1,78.8,86.4,77.1,85.1
University of Chicago,82.1,74.3,98.4,71.6,82.4
University of Copenhagen,82.1,77.7,90.4,70,85.5
University of Wisconsin-Madison,82.1,74.2,92.3,69.1,89.9
Colorado State University,82,71.3,94.8,74.7,89.4
University of Tasmania,81.9,83,89,61,81.3
Universität Bremen,81.7,81.5,89.1,57,84.5
Arizona State University,,75.5,89.1,53.4,80.5
Brown University,,66.2,97.8,74.6,72.5
China University of Geosciences,,75.8,83.2,66.3,91.5
Colorado School of Mines,,91.9,79.1,54.4,70.9
Cornell University,,74.6,90.1,88.1,79.7
Curtin University,,75.6,87.3,77.5,84.1
Dalhousie University,,70.5,91.1,60.9,80.9
Georgia Institute of Technology,,73.5,90.2,82.8,84.8
Hokkaido University,,73.6,83.6,71.5,77.2
James Cook University,,86,86.9,52.2,72
Johns Hopkins University,,70,91.1,69,84.5
Ludwig-Maximilians-Universität München,,73.3,90,66.8,81.6
Lund University,,68.7,88.2,73.5,80.9
Macquarie University,,78.7,91.4,62.4,83.8
Monash University,,71.8,88.4,84,78.5
Nagoya University,,71.2,85.8,74.2,79.3
The Ohio State University,,67.8,91.9,56.9,86.7
Purdue University,,65.8,89.8,75.3,80.9
Seoul National University,,77.2,81.2,85.4,73
Stockholm University,,71.6,90.2,68.3,85.5
The University of Adelaide,,74.3,83.3,76.9,72.5
The University of Manchester,,72.8,89.1,85.2,83.8
The University of Queensland,,80.8,82.1,81.9,75
The University of Sydney,,75.2,88.4,83.9,79.7
