university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
University of Oxford,97.7,99.2,88.6,100,99.3
University of Cambridge,95.1,98.8,83.1,99.9,88.8
London School of Economics and Political Science (LSE),94.7,100,84.8,88.5,87.8
"University of California, Berkeley (UCB)",93.2,97.9,88.1,83.6,85.8
University of British Columbia,93.1,96.6,89.7,73.2,95.7
"University of California, Los Angeles (UCLA)",90.8,93.9,89.1,82.6,85.8
Durham University,90.5,88.2,100,75.6,100
UCL (University College London),90.2,91.1,86.9,79.4,97.2
University of Toronto,87.5,88.4,83.6,84.4,89.7
The Australian National University,87.4,88.9,83.4,82,88.8
National University of Singapore (NUS),87,91.3,79.8,82.1,80
University of Washington,85,82.6,93.3,68.3,97.2
University of Wisconsin-Madison,84.6,82.8,90.7,69.2,95.7
The University of Edinburgh,84.5,83.4,88.9,81.3,86.8
The University of Exeter,84.2,83.8,92.1,63.8,91.6
University of Amsterdam,83.9,83.2,87.4,73,90.7
The University of Sydney,83.7,84.4,82.3,87.2,80
The University of Hong Kong,83.6,88.4,78.5,76.4,74.5
King's College London,83.4,84.9,84.5,70.7,84.7
The University of Tokyo,83.4,90,73,85.8,65.9
SOAS University of London,82.9,92,73.3,65.3,67.8
The University of Manchester,82.9,78.1,90.9,79.3,96.4
The University of Melbourne,82.2,82.3,80.7,84.9,81.2
University of Leeds,82.1,79.5,87.4,76.4,90.7
Peking University,81.8,85.7,74.1,88.4,69.6
Lund University,81.4,81,85.8,66.2,88.8
McGill University,81.2,80.5,84.7,82.1,80
University of Chicago,81,86.4,70.5,74,74.5
Humboldt-Universität zu Berlin,80.7,83.1,82.8,75,72.9
University of Bristol,80.7,81,84,74.9,80
Monash University,80.5,77.2,86.2,81.8,86.8
University of Glasgow,80.5,76.8,91.3,68.5,92.4
University of Minnesota,80.3,79.5,91.9,48.4,93.3
The University of Auckland,80.2,80.5,80.6,76.2,81.2
The Ohio State University,79.9,80.1,87.1,62.4,83.6
The Chinese University of Hong Kong (CUHK),79.8,84,75.2,79.2,67.8
The University of Queensland,79.2,76.7,83.7,79.2,84.7
"University of North Carolina, Chapel Hill",79.2,76.6,86,68.6,89.7
Stockholm University,79.1,75.3,90.6,70.4,88.8
Université Paris 1 Panthéon-Sorbonne,78.6,86.2,62.3,76.3,65.9
The University of Sheffield,78.5,76.2,84.8,72.3,85.8
Utrecht University,78.3,76.3,87.2,67.7,84.7
Arizona State University,78,74.9,91,55.5,92.4
KU Leuven,77.8,74.7,83.7,78.7,83.6
Pennsylvania State University,77.6,76.1,85.9,58.6,87.8
The University of Nottingham,76,68.8,91.5,69.6,93.3
University of Cape Town,75.1,73,82.3,69.2,80
Seoul National University,74.9,83.7,52.9,86.4,54
University of Helsinki,74.6,73.2,81.6,68.4,77.4
Newcastle University,74.3,67.5,89.1,67.9,90.7
Aberystwyth University,,60.8,87.5,58.3,85.8
Beijing Normal University,,70.9,74.5,64.2,63.8
Cardiff University,,65.1,90.8,62.6,87.8
Charles University,,71.1,72.7,47.3,71.3
City University of New York,,71.5,79.6,51.9,77.4
Clark University,,80.3,84.1,,76
Freie Universitaet Berlin,,83.7,63,63.2,54
Indiana University Bloomington,,70.9,75.7,67.5,69.6
Kyoto University,,81.7,64.1,76.9,47.6
Lancaster University,,68.2,81.6,66.4,74.5
Macquarie University,,64.1,79.8,68.1,78.7
Michigan State University,,62.4,84.7,63.1,76
National Taiwan University (NTU),,79.8,62.6,74.2,59.3
Pontificia Universidad Católica de Chile (UC),,74.4,54.7,73.5,56.8
Queen Mary University of London,,68.7,79.2,67.2,78.7
Queen's University at Kingston,,70,81,60.9,72.9
Ruprecht-Karls-Universität Heidelberg,,70,72.4,75.3,69.6
Simon Fraser University,,65.1,87.2,53.3,83.6
The Hong Kong Polytechnic University,,64.9,84.4,74.5,74.5
The University of New South Wales (UNSW Sydney),,69.1,79.3,82.6,76
The University of Western Australia,,68.2,76.2,73.9,71.3
Tsinghua University,,73,76.9,88.8,65.9
Universidad Nacional Autónoma de México (UNAM),,77.4,67.4,71.3,63.8
Universidade de São Paulo,,75.9,70.4,71.9,67.8
Universitat Autònoma de Barcelona,,65.7,78.6,48.1,80
Universitat de Barcelona,,70.4,62.4,73.2,59.3
Université catholique de Louvain (UCL),,66.8,76.2,56.3,74.5
Université de Montréal,,71.5,73.4,59.3,72.9
Université Paris-Sorbonne (Paris IV),,82.5,33.8,65.1,43.9
University College Dublin,,67.1,66.6,75.4,65.9
University of Birmingham,,68.1,84.7,73,82.4
"University of California, Davis",,67.3,81.3,63.4,77.4
"University of California, Santa Barbara (UCSB)",,73.3,82.2,50.6,74.5
University of Colorado Boulder,,68.5,88.9,54.4,87.8
University of East Anglia (UEA),,68.6,97.8,35,84.7
Ghent University,,64.3,83.5,66.4,81.2
University of Illinois at Urbana-Champaign,,66.9,86.3,58.6,83.6
University of Lisbon,,63.1,79.5,70.9,74.5
University of Oslo,,69.2,89.3,63.7,83.6
University of Otago,,72.9,78.3,72.8,72.9
University of Ottawa,,62.7,82.2,65.1,76
University of Reading,,62.9,85.7,74.9,78.7
University of Southampton,,66.4,89.3,70.1,88.8
University of St Andrews,,68,77.6,64.7,72.9
University of Sussex,,72.4,88.9,38.4,83.6
University of Waterloo,,68.2,85.5,75.4,77.4
University of Zurich,,66.6,78.2,62.5,76
Victoria University of Wellington,,69.2,71.2,72.1,67.8
Waseda University,,80.8,36.8,78,43.9
York University,,72.4,78.8,35.7,74.5
Boston University,,64.5,72.2,66.5,71.3
Chulalongkorn University,,71.4,43.6,68,47.6
Dartmouth College,,61,66.7,55.8,69.6
