university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Massachusetts Institute of Technology (MIT),97.4,100,94.8,100,94.7
Stanford University,95.3,93.3,97.3,98.9,95
"University of California, Berkeley (UCB)",91.8,94.7,93,91.1,86.1
University of Cambridge,91.6,96.5,88.9,96.6,84.6
Harvard University,91.3,90.4,95.8,99.9,84.8
University of Oxford,91.2,92.4,93.4,97.3,84.6
"Nanyang Technological University, Singapore (NTU)",90.5,84.8,96.7,74.4,100
National University of Singapore (NUS),89.8,85.4,93.9,90,92.6
Tsinghua University,89.6,90.7,84.6,91.3,92.1
Northwestern University,89.1,94.4,94.4,59,87.5
Ecole Polytechnique Fédérale de Lausanne (EPFL),88.7,88.8,91.4,87.7,86.3
Imperial College London,88.5,90.3,89.1,86.7,85.6
KAIST - Korea Advanced Institute of Science & Technology,88,86.4,89.9,90,87.8
Georgia Institute of Technology,87.6,89.6,90.7,69.7,88.5
The University of Tokyo,87.4,91,82.2,94.1,84.3
Peking University,87.3,80.5,90.5,95.2,91.7
Seoul National University,86.6,85,88.1,89.5,86.6
"University of California, Los Angeles (UCLA)",86.6,81.6,95.9,89,84.3
University of Illinois at Urbana-Champaign,86.3,87.3,88.4,84.6,83.2
California Institute of Technology (Caltech),85.9,90.7,87.6,84.4,77
ETH Zurich - Swiss Federal Institute of Technology,85.4,88.8,88.7,73,81.5
Tohoku University,84.8,92,79,85.7,78.7
The Hong Kong University of Science and Technology,84.7,83,89.9,86.9,81.2
Fudan University,84.3,70.3,94.7,93.1,92.6
Kyoto University,84.2,86.1,81.4,96.4,79
University of Texas at Austin,84.1,76.6,94.8,73.2,89.8
Shanghai Jiao Tong University,83.7,80.7,83.8,87.3,87.1
Tokyo Institute of Technology,83.3,91.6,78,88.5,73.2
"University of California, Santa Barbara (UCSB)",82.8,83.2,95.5,51.8,81.8
Cornell University,82.7,79.5,90.5,82.2,80.3
Carnegie Mellon University,82.6,86.6,88.5,68.8,75.9
Pohang University of Science And Technology (POSTECH),82.2,77.9,88.5,78.3,84.3
Delft University of Technology,82.1,88.4,82.8,67.4,77
RWTH Aachen University,82.1,90.8,80,77.9,72
The University of Manchester,82,84.8,85.7,77,75.9
University of Michigan,82,81.4,87,76.7,80
Pennsylvania State University,81.7,80.3,87.1,74.9,81.2
The University of New South Wales (UNSW Sydney),81.7,81.4,86.8,79.5,78
KTH Royal Institute of Technology,81.2,84.3,81.9,75.4,78
Sungkyunkwan University (SKKU),80.7,72.2,90.3,81.1,84.6
National Taiwan University (NTU),80.5,75.5,86.3,81.8,82.1
Purdue University,80.4,76.4,85.8,84.4,79.7
Osaka University,80.3,81.9,76.8,87,78.4
University of Pennsylvania,80.2,73.2,93.3,76.8,79.7
McGill University,79.8,82.2,82.7,77.7,74
University of Science and Technology of China,79.6,66.5,91,77.1,90.2
Rice University,79.2,68.3,100,55.3,85.3
National Tsing Hua University,79,72.4,87.4,78.4,81.5
"KIT, Karlsruhe Institute of Technology",78.8,76.6,83.4,74.4,79.3
University of Toronto,78.8,75.2,86.8,74,78.4
The Australian National University,,67.8,82.8,79.6,69.3
Beijing Institute of Technology,,65.7,80.4,81.1,78.4
Brown University,,69.7,89.4,59.8,75.9
Case Western Reserve University,,63.2,94.5,45.7,77.3
Chalmers University of Technology,,70.9,82,63.5,71.1
City University of Hong Kong,,65.5,90.3,62,81.5
Columbia University,,69.8,91,76.3,76.3
Duke University,,60.3,90.6,72.3,73.6
Institut polytechnique de Grenoble - Grenoble Institute of Technology,,77.8,81.5,65.2,65.8
Hanyang University,,66.4,83.7,88.4,78.4
Harbin Institute of Technology,,69.4,78.3,50,82.9
Hokkaido University,,68,80.9,70,74.4
Indian Institute of Science (IISc) Bangalore,,72.5,84.8,79.8,80.6
Indian Institute of Technology Bombay (IITB),,72.8,79.7,77.8,66.4
Indian Institute of Technology Madras (IITM),,73.1,82.1,53.1,71.6
Johns Hopkins University,,70.3,84.1,68.6,67.9
KU Leuven,,79.6,84,65.3,75.9
Korea University,,68.8,85.4,88,79
Kyushu University,,76.4,78.8,76.5,73.2
McMaster University,,79.8,81,66.8,63.6
Monash University,,74.5,87.5,72.3,78
Nagoya University,,75.8,75.9,70.4,67.4
Nanjing University,,63.6,88.9,77.5,85.3
National Chiao Tung University,,60.3,84.6,78.5,77.3
North Carolina State University,,64.2,86.6,67.3,78
The Ohio State University,,76.2,83.1,65.1,70.7
Politecnico di Milano,,74.2,78.7,84.1,72.4
Princeton University,,74.4,87,83,75.6
Rensselaer Polytechnic Institute,,64.6,89.8,62.6,74
