university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Massachusetts Institute of Technology (MIT),98.9,100,94.7,100,100
Harvard University,97.4,97.6,96.4,99.1,96.3
Stanford University,97,95.3,98,97.6,98.9
University of Cambridge,95.9,98.2,91.6,98.9,92.6
"University of California, Berkeley (UCB)",95.4,96.6,95.6,92.9,95.3
University of Oxford,95.2,95.8,93.5,97.8,93
California Institute of Technology (Caltech),93.2,95.1,92.5,88.5,94.7
Princeton University,92.2,93.2,93.6,88.5,92.4
The University of Tokyo,91.6,92.1,87.3,92.8,93.9
ETH Zurich - Swiss Federal Institute of Technology,91.4,91.4,90.7,93.3,90.4
Imperial College London,89.8,90.7,89.1,89.6,89.1
"University of California, Los Angeles (UCLA)",88.4,85.7,93.4,87.4,89.7
University of Chicago,87.3,86.7,98.1,74.9,90
Ecole Polytechnique Fédérale de Lausanne (EPFL),86.9,84.9,91.8,84.8,88.3
Yale University,86.9,83.1,95.3,83.9,88.9
Kyoto University,86.1,85.5,84.6,87.6,87.3
Ludwig-Maximilians-Universität München,86.1,87.4,93.8,74.8,87.1
Peking University,85.6,83.3,84.7,89.9,86.8
Columbia University,85.5,79.6,96.4,81.7,90.4
Technical University of Munich,85.5,84.5,89.7,86.5,82.4
Lomonosov Moscow State University,85.4,84.2,75.2,95.8,87.5
"University of California, Santa Barbara (UCSB)",85.3,88.2,100,56.6,93.4
Cornell University,84.8,84,92.8,74.3,89.1
Tsinghua University,84.7,82.4,83.1,89.3,86.3
National University of Singapore (NUS),84.3,82.3,91.5,81.8,83.4
University of Illinois at Urbana-Champaign,84.3,83.9,90.6,72.9,90
University of Toronto,84.3,78.3,91.7,84.2,88.8
Ecole Polytechnique,84.2,79.9,92.5,84.1,84.7
Tokyo Institute of Technology,84.1,85.9,82.1,82.6,84
Seoul National University,83.2,81.5,87.1,83.2,82.6
"KIT, Karlsruhe Institute of Technology",82.9,78.3,87,83.1,87.6
Tohoku University,82.9,84.7,82.3,77.5,85.1
Osaka University,82.5,83,79.3,82.9,84.1
University of British Columbia,82.1,75.8,91.7,82.1,85.2
Ruprecht-Karls-Universität Heidelberg,81.9,79.9,90.5,73.6,85.8
RWTH Aachen University,81.8,75.4,89.6,81.2,87.5
National Taiwan University (NTU),81.4,79.5,82.8,83.4,82
University of Michigan,81.3,74.7,89.3,77.5,90.3
McGill University,81.2,75.6,87.7,82.6,84.7
The University of Manchester,81.1,79.3,87.3,72.6,87.1
"University of Maryland, College Park",81.1,77.2,93.2,64.8,93.1
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),80.9,75.1,92.2,94.5,67.5
University of Texas at Austin,80.9,75.5,91.9,74.7,87
KAIST - Korea Advanced Institute of Science & Technology,80.8,79.8,84.5,86.3,73.6
Sapienza University of Rome,80.8,79.9,85.8,67.4,91
UCL (University College London),80.8,79.4,86,74,85.4
"Nanyang Technological University, Singapore (NTU)",80.7,76.7,87.1,82.7,80.1
The University of Melbourne,80.6,74.2,89.4,81.7,83.6
Nagoya University,80.3,79.5,83.5,75.6,83.2
Novosibirsk State University,80,73,81.3,95.9,76.7
The Australian National University,,79.8,87.6,70.4,78.4
Boston University,,70.9,93.9,67.9,89.1
Carnegie Mellon University,,71.7,88.1,81,83.4
Delft University of Technology,,78.6,83.2,80.8,73.9
Durham University,,72.3,92.6,68.5,80.6
"Ecole normale supérieure, Paris",,86.2,84.5,70.7,63.9
Fudan University,,71.5,85.1,74.8,74.7
Georgia Institute of Technology,,71.5,88,80.1,80.6
Humboldt-Universität zu Berlin,,74.2,90.8,63.9,81.6
Johns Hopkins University,,73.3,88.9,72.3,87
Korea University,,66.8,84.4,80.2,84.1
KTH Royal Institute of Technology,,72.2,79.8,80.4,78.6
Leiden University,,78.8,90.2,63.4,77.7
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),,75.5,69.2,89.3,81.2
National Tsing Hua University,,71.6,83,78.5,73.3
New York University (NYU),,65.9,95.1,71.3,84.7
Northwestern University,,69.6,91.1,72,87.8
The Ohio State University,,60.5,91.9,71.6,93
