University,Score,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Massachusetts Institute of Technology (MIT),97.4,98.8,94.9,94.6,100
University of Cambridge,96.3,98.3,91.9,100,93.1
Harvard University,96,98,97.3,94.5,92.1
Stanford University,96,96.5,97.9,90.7,98.4
University of Oxford,95.9,97.4,93.1,98.3,93.1
ETH Zurich - Swiss Federal Institute of Technology,95,98.9,91,95.4,90.6
"University of California, Berkeley (UCB)",93.9,97.6,97,82.5,94.9
California Institute of Technology (Caltech),92.6,100,93.8,75.7,93.5
The University of Tokyo,92.4,96.1,85.4,90,94.5
Imperial College London,91.8,96,88.6,89.4,88.9
Ecole Polytechnique Fédérale de Lausanne (EPFL),91,90.9,92.9,94.3,86.1
National University of Singapore (NUS),90.6,93,91.8,88.3,86.7
Princeton University,89.8,93.8,94.2,76.6,90.6
Peking University,89.2,91.7,86.1,88.2,88.4
Kyoto University,89.1,92.8,83.2,88.4,88.4
Tsinghua University,88,92.6,81.8,85.1,87.8
"Nanyang Technological University, Singapore (NTU)",87.8,88.6,92.1,86.8,83
Technical University of Munich,87.5,90.7,86.8,86.3,83
"University of California, Los Angeles (UCLA)",87.3,88.5,94.3,76.9,88.4
University of Chicago,87.3,87.9,97.1,74.9,88.9
The University of Hong Kong,87,88.8,89.9,86.7,80.9
University of Toronto,86.9,87.1,91.1,79.3,90
Seoul National University,86.8,93.7,85.5,78.8,82.3
Tokyo Institute of Technology,86.6,92.9,78.9,85.5,83
Yale University,86.6,86.7,95.7,76.8,87.3
RWTH Aachen University,86.4,83.6,86.6,89.6,88.4
National Taiwan University (NTU),86.2,89.4,82.9,86.1,83
Cornell University,86,89.7,90.6,71.5,88.4
Columbia University,85.6,84.1,94.6,74.4,90.6
"KIT, Karlsruhe Institute of Technology",85.6,83.6,86.1,86.1,88.4
The University of Melbourne,85.6,87.1,86.4,84,83.6
KAIST - Korea Advanced Institute of Science & Technology,85,93.3,86.9,80.1,71.2
Ludwig-Maximilians-Universität München,85,86.7,92.4,73.8,85.5
Ecole Polytechnique,84.9,86,83.5,87.6,81.6
University of British Columbia,84.6,88.5,87.8,73.5,84.9
The University of Sydney,84.5,87.4,83.9,82,81.6
Tohoku University,84.5,89.7,79.4,80.1,83.6
The Australian National University,84.4,89.9,87.2,77.2,78
Osaka University,84.4,89,79.1,81.2,83.6
Lomonosov Moscow State University,84,90.5,66.4,85.1,87.3
University of Washington,84,84.8,93,67.3,90
The Hong Kong University of Science and Technology,83.9,90.4,87.4,83.2,68.3
Fudan University,83.7,84.4,89.6,79.8,80.2
"University of California, Santa Barbara (UCSB)",83.4,88.4,100,46,94
Northwestern University,83.3,83,96.7,65.5,88.4
McGill University,83.1,84.8,86,75.9,84.2
The University of Manchester,83.1,84.6,86.4,74.6,85.5
Ruprecht-Karls-Universität Heidelberg,83,84.1,90.5,72.3,84.2
University of Copenhagen,83,81.1,88.1,81.9,83
"University of California, San Diego (UCSD)",82.9,84.8,90.2,66.4,88.4
University of Illinois at Urbana-Champaign,82.9,86.6,88.9,62.2,90
Nagoya University,82.8,88.1,81.7,73.2,83
University of Science and Technology of China,82.8,85.5,86.7,65,91.1
The University of Edinburgh,82.7,83.7,89.8,71.9,84.2
Université Pierre et Marie Curie (UPMC),82.6,85.8,87.6,65.9,87.8
Georgia Institute of Technology,82.5,84.4,88.1,74.9,80.9
University of Wisconsin-Madison,82.5,83.5,91.5,61.6,92.6
University of Michigan,82.4,83.3,88,67.9,89.5
University of Zurich,82.2,75.2,93.6,80.2,86.7
Purdue University,82,80.9,86.1,68.9,93.1
University of Texas at Austin,82,84.1,91.7,64.4,85.5
UCL (University College London),81.9,82.7,85.1,74.8,84.2
University of Bristol,81.6,83.5,89.1,66.8,84.9
Sapienza University of Rome,81.5,82.2,80.3,72.8,90
Korea University,81.3,82,84.8,73.3,84.2
Sungkyunkwan University (SKKU),81.2,81.5,85,76.4,81.6
Nanjing University,81.1,81.7,86,67.9,88.4
National Tsing Hua University,81.1,83.6,84.4,82.7,71.2
Stockholm University,81,78.2,91.6,72.2,84.9
University of Colorado Boulder,80.9,83.2,92.1,58,87.8
University of Pennsylvania,80.8,80.4,91.1,70.5,81.6
Durham University,80.6,80.9,93.6,67.2,80.2
Universidad Autónoma de Madrid,80.6,77.5,89.3,69.4,89.5
Alma Mater Studiorum - University of Bologna,80.6,77.3,81,80.7,86.7
Technische Universität Berlin (TU Berlin),80.5,85.4,81.8,81.4,68.3
The University of Queensland,80.5,85.6,86.7,74.1,70.3
Universitat de Barcelona,80.4,81.2,88.2,71.8,79.5
Johns Hopkins University,80.2,81.4,87.1,67.1,84.2
Shanghai Jiao Tong University,80.2,82.3,78.3,81.5,76.4
"University of Maryland, College Park",80.2,79.3,92.1,57.1,93.1
Duke University,80.1,78.8,90.8,68.4,83.6
University of Geneva,80,77.6,93.1,67,84.9
Monash University,79.9,81.7,85.3,81.7,69.3
Pennsylvania State University,79.8,81.3,87.3,68.2,80.9
Carnegie Mellon University,79.7,81.1,87.6,66.9,81.6
Delft University of Technology,79.7,84.1,79.4,80.7,70.3
Aarhus University,79.4,77.6,86.8,81.8,73.1
Humboldt-Universität zu Berlin,79.3,83.4,85.2,65.8,78.8
The University of New South Wales (UNSW Sydney),79.3,84.7,82.4,77.3,67.3
KTH Royal Institute of Technology,79.1,81.7,78.2,78.5,75.6
Lund University,79.1,82.1,84.5,67.3,79.5
Pohang University of Science And Technology (POSTECH),78.9,88,86.3,66.1,66.2
University of Helsinki,78.9,77.1,86.2,68.6,85.5
Boston University,78.8,74.5,92.1,64.2,88.9
University of Göttingen,78.8,79.9,88.4,62.9,83
Kyushu University,78.8,84.4,74.8,77.4,73.1
