university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Harvard University,98.6,100,93.8,100,92.3
Massachusetts Institute of Technology (MIT),93.7,94.5,98.4,94,83.6
Stanford University,92.1,94.8,88.7,92.3,81
University of Oxford,90.5,88.9,87.3,97.7,79.6
London School of Economics and Political Science (LSE),90.3,91.9,88.5,89.6,86
University of Pennsylvania,89.8,91,100,81,100
University of Chicago,89,92.4,99.1,77.6,96
"University of California, Berkeley (UCB)",88.4,90,94.6,85.8,82.3
University of Cambridge,88,89.8,74.1,97.8,63.4
New York University (NYU),87,88.9,96.1,78.6,93.3
The University of New South Wales (UNSW Sydney),85.5,84.4,86.8,85,91.4
London Business School,85.3,87.6,85.5,84.4,76.6
Columbia University,85.1,85.3,92.3,82.1,86
The University of Melbourne,85,84.3,86.3,86.9,81
Yale University,85,85.3,85.3,87.1,76.6
"University of California, Los Angeles (UCLA)",83.5,86.1,83.6,83.7,69.8
The Hong Kong University of Science and Technology,83,86.6,83.5,80.5,71.6
National University of Singapore (NUS),82.7,83.5,77.3,87.4,69.8
The University of Manchester,82.6,82.7,86.2,79.2,88.3
The University of Sydney,81.6,80.2,85.2,83.8,78.2
"Nanyang Technological University, Singapore (NTU)",80.1,80.5,82.8,80.6,73.4
Princeton University,80,79.5,86.2,80.3,75.1
The Australian National University,79.9,78.6,85.2,79.1,83.6
The Chinese University of Hong Kong (CUHK),79.9,79.1,90.5,78.2,78.2
Cornell University,79.7,77.9,91.4,75.5,89.3
Monash University,79.6,78.3,79.8,83.2,75.1
University of Michigan,79.6,80.6,90.8,73.4,82.3
The University of Hong Kong,79.5,79.9,79,83.5,65.7
University of Toronto,79.5,78.5,88.6,78.2,79.6
Peking University,79.4,77.7,72.8,89,65.7
University of Texas at Austin,79.3,81.2,91,70.8,83.6
The University of Warwick,78.6,77.9,84.8,77,81
Bocconi University,78.5,76.1,82.6,82.7,73.4
Northwestern University,78.3,82.1,88.5,70.1,73.4
University of British Columbia,78.3,79,82.2,78.5,69.8
Duke University,77.9,78.3,93.4,69.3,86
The University of Auckland,77.3,75.1,79.7,79.9,78.2
Imperial College London,77.2,74.8,73.6,86.3,65.7
HEC Paris School of Management,76.9,77,73.7,80.7,67.8
The University of Queensland,76.9,75.1,86.7,75.3,81
Tsinghua University,76.9,73.3,75.2,87.3,65.7
INSEAD,76.6,80.5,64.7,83.3,49
Seoul National University,76.1,75,72.1,84.2,61
The University of Tokyo,75.9,77.3,62.2,87,49
Copenhagen Business School,75.6,76.4,87.2,68.9,79.6
University of Illinois at Urbana-Champaign,75.6,77.2,87.4,66,84.8
Korea University,74.7,70.9,76.6,80.9,73.4
The University of Edinburgh,74.3,72.2,76,75.5,79.6
City University of Hong Kong,74.1,73.2,84.3,71.8,75.1
University of Navarra,73.9,71.6,86.1,75,69.8
Boston University,,68.7,73.1,74.1,61
Cardiff University,,66.4,77.4,64.1,73.4
Carnegie Mellon University,,70,70.1,69.3,63.4
"City, University of London",,68.6,87.3,66.2,79.6
Erasmus University Rotterdam,,73.4,83.7,70.4,75.1
ESSEC Business School,,66.7,65.4,73.8,58.4
ETH Zurich - Swiss Federal Institute of Technology,,65.5,78.7,79.1,67.8
Fudan University,,70.3,68.8,82.7,58.4
Georgia Institute of Technology,,58.7,78.5,70.5,73.4
Indiana University Bloomington,,62.2,92.6,62.3,86
KAIST - Korea Advanced Institute of Science & Technology,,70.7,57.3,78.5,52.5
KU Leuven,,64.4,77.5,66.6,73.4
Lancaster University,,75.3,79,56.4,71.6
Macquarie University,,64.3,77.4,68.8,69.8
McGill University,,72.1,67.9,77,63.4
Michigan State University,,67.5,90,65.5,78.2
National Taiwan University (NTU),,71.6,74.7,76.4,73.4
The Ohio State University,,66.3,96.7,62.1,84.8
Pennsylvania State University,,62.3,80.1,69.6,65.7
Purdue University,,58.9,84.8,67.7,75.1
Shanghai Jiao Tong University,,70.5,69.4,83.6,65.7
Singapore Management University,,68.8,79.4,64.9,69.8
Stockholm School of Economics,,70.4,76.1,68,65.7
Sungkyunkwan University (SKKU),,66.8,59.1,84.5,52.5
Texas A&M University,,58.7,93.1,63.1,84.8
The Hong Kong Polytechnic University,,71.6,82.7,71.3,79.6
The University of Adelaide,,65.9,69.9,71.1,69.8
The University of Western Australia,,70.6,75.6,70.1,69.8
Tilburg University,,74.2,91.2,48.1,92.3
UCL (University College London),,68.2,66.7,77.6,52.5
Universidad Carlos III de Madrid (UC3M),,63.4,73.4,67.2,63.4
Universidad de Chile,,70,48.1,73.4,49
Universidade de São Paulo,,72.8,54.1,77.8,52.5
Alma Mater Studiorum - University of Bologna,,63.1,67.4,69.7,63.4
Universität Mannheim,,66.4,84.7,64.8,79.6
Université de Montréal,,65.4,66.1,68.5,67.8
University of Alberta,,64.4,80.9,65.8,73.4
University of Amsterdam,,70.4,83.4,67.9,75.1
University of Birmingham,,60.8,75.4,70,67.8
"University of California, San Diego (UCSD)",,63.2,80.6,65,63.4
University of Glasgow,,66.8,79.1,65.2,78.2
"University of North Carolina, Chapel Hill",,70.9,87.9,55.1,76.6
University of Rochester,,70.6,79.3,48.7,73.4
University of Southern California,,70.2,90.8,61.7,83.6
University of St.Gallen (HSG),,64.5,77.8,71.6,65.7
University of Technology Sydney,,67.3,78.8,76.9,75.1
University of Washington,,70.7,89.3,65.8,76.6
University of Wisconsin-Madison,,63.6,84.6,64.3,71.6
Victoria University of Wellington,,64.1,67.8,69.2,55.6
The University of Western Ontario,,64.5,69,67.5,61
Yonsei University,,67.7,66.7,80.2,63.4
Aalto University,,62.8,72.2,61.3,69.8
Aarhus University,,60.4,71.9,67.4,55.6
Auckland University of Technology (AUT),,61.9,74.9,64.9,71.6
Boston College,,61.4,84.4,58.7,73.4
Chulalongkorn University,,63,56.9,67.4,52.5
Deakin University,,55.6,75.4,66.9,69.8
Durham University,,58.3,62.7,69.8,61
Emory University,,61.1,81.5,50.1,73.4
Hitotsubashi University,,56.8,72.5,68.7,67.8
Humboldt-Universität zu Berlin,,62.5,71.5,64.9,63.4
Lund University,,58.3,66.4,64.7,61
Maastricht University,,55.9,84.7,61.1,81
Massey University,,59.6,74.4,65.7,71.6
National Chengchi University,,59.7,77.1,62.5,65.7
"National Research University Higher School of Economics (HSE, Moscow)",,62.7,49.7,68.7,49
Oxford Brookes University,,63.6,44.2,73.4,35.8
Queen's University at Kingston,,61.4,69.2,68.9,58.4
Queensland University of Technology (QUT),,56.6,74.7,70.7,73.4
RMIT University,,56,75.1,75.3,69.8
Technical University of Munich,,54.6,62.2,76.1,55.6
Instituto Tecnológico y de Estudios Superiores de Monterrey,,68.5,31,75.6,22.6
The University of Nottingham,,57.2,85.9,68.3,71.6
Universidade Nova de Lisboa,,56.9,73.4,68.5,61
Universitat de Barcelona,,61.5,61.8,68,63.4
Universität Frankfurt am Main,,61,78,63.2,71.6
Université Paris 1 Panthéon-Sorbonne,,64.6,59.3,74.9,35.8
"Université Paris-Dauphine, PSL Research University",,60.3,70.1,65.5,67.8
