university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Harvard University,98.3,98.6,91.2,100,98.7
London Business School,95,100,89.4,92.5,82.9
INSEAD,93.7,97.9,92.6,90.3,83.8
Massachusetts Institute of Technology (MIT),93.4,93.2,92.2,93.9,94.3
University of Pennsylvania,93,96.2,93.3,85.1,100
Stanford University,92.3,94,85.5,92.7,88.9
University of Oxford,90.4,87.4,86.5,95.4,94.3
University of Cambridge,90.3,88.1,83.6,95.7,91.5
London School of Economics and Political Science (LSE),89.9,92.4,86.5,86.2,92.1
"University of California, Berkeley (UCB)",88.1,89.8,86.5,85,90.8
Bocconi University,86.7,88.9,86.6,82.8,87.6
HEC Paris School of Management,85.8,86,91,85,82.1
Copenhagen Business School,85.5,91,86.7,72,96.8
Northwestern University,85.4,87.9,90.2,77.9,90.8
National University of Singapore (NUS),84.8,84.7,80.4,85.6,87.6
"University of California, Los Angeles (UCLA)",84.5,84.3,89.5,83,85.4
New York University (NYU),84.2,85.2,87.7,79.1,90.8
University of Chicago,84.2,85.1,91,79.5,86.8
Columbia University,84,83.3,85.7,83.1,88.9
The Hong Kong University of Science and Technology,83.5,85.3,89.9,78,84.6
ESADE Ramon Llull University,83.4,,,,
The University of Melbourne,83.3,81.4,84,83.5,91.5
The University of New South Wales (UNSW Sydney),82.9,81.3,84.3,81.1,95.3
Yale University,82.9,80.1,87.6,85.9,82.9
University of Michigan,82,81.7,88.1,76.3,94.3
The University of Warwick,81.7,82.1,87.5,74.2,96.8
University of Navarra,81,79.9,89.7,79.4,82.1
The University of Hong Kong,80.3,77.7,84.3,81.1,86.8
Erasmus University Rotterdam,80.2,83.6,86.6,68.2,93.2
The University of Manchester,80,77.7,85.4,76.3,97.3
Monash University,79.7,74.6,84.4,81,96.8
Imperial College London,79.6,73.1,91.6,82.2,92.6
Seoul National University,79.5,75.3,83.6,83,86.1
Cornell University,79.4,78.3,85.3,76.1,88.9
University of Toronto,79.1,75.6,85.2,79.1,90.2
"Nanyang Technological University, Singapore (NTU)",78.9,78.3,79.5,78.5,82.1
Peking University,78.9,74.1,78.8,86.2,81.2
University of British Columbia,78.5,76,89.3,77,84.6
The Chinese University of Hong Kong (CUHK),78.2,77.2,85.4,75.2,85.4
The Hong Kong Polytechnic University,77.6,75.3,89.3,70.4,99.1
The University of Sydney,77.6,72.6,82.8,79.4,91.5
Tsinghua University,77.6,71.9,78.7,84.2,85.4
Duke University,77.5,76.1,89.6,72.2,88.3
IE Business School,77.1,,,,
Korea University,77,73.6,79.8,80,82.1
Shanghai Jiao Tong University,76.9,,,,
University of Texas at Austin,76.8,76.9,87.5,69.1,88.3
McGill University,76.6,72.3,88.9,77.1,84.6
Instituto Tecnológico y de Estudios Superiores de Monterrey,76.5,76.8,78.3,75.9,75
University of St.Gallen (HSG),76.4,74.3,92.7,70.2,88.9
Aalto University,,74.4,85.5,59.3,92.1
The Australian National University,,72.7,80.4,75.6,86.1
BI Norwegian Business School,,74.9,91.7,58.3,85.4
Boston University,,68.3,86,72.2,84.6
Cardiff University,,66.5,88.1,59.3,93.2
Carnegie Mellon University,,74.4,88.5,71,86.1
"City, University of London",,68.9,86.8,66.6,87.6
City University of Hong Kong,,72.8,87,67.9,93.7
Cranfield University,,68.6,90,64,93.2
Dartmouth College,,68.5,93.2,65.8,82.9
ESSEC Business School,,72.8,84.8,77,75
Fudan University,,71.8,79.4,80.7,80.2
Georgia Institute of Technology,,71.7,85.5,68.9,84.6
IMD,,75.2,82.3,74.6,78.3
Indiana University Bloomington,,68.2,89.2,65.9,94.8
KAIST - Korea Advanced Institute of Science & Technology,,72.5,80.3,78,76.1
King's College London,,64.5,84.1,67.7,82.1
Lancaster University,,74.9,88.2,57.6,94.3
Lund University,,63.8,85.2,64.6,95.3
Michigan State University,,70.9,90.6,67.7,95.3
National Taiwan University (NTU),,68.3,82.9,74.4,90.2
Pennsylvania State University,,67.2,86.9,65.4,96.8
Politecnico di Milano,,62.4,81.5,76.4,85.4
Pontificia Universidad Católica de Chile (UC),,71.7,74.6,76,68.3
Princeton University,,69.1,84.6,76.6,81.2
Purdue University,,66.2,83.9,66.9,90.8
Queen's University at Kingston,,64.2,88.5,71.3,79.3
RMIT University,,64.7,76.8,71.4,86.8
Singapore Management University,,74.7,85.1,64.1,81.2
Stockholm School of Economics,,75.4,81.9,67.7,82.1
Sungkyunkwan University (SKKU),,67.4,77.3,80.9,71.2
Texas A&M University,,68.1,87.5,62.2,93.7
The University of Auckland,,70.7,86.9,75.8,90.2
The University of Nottingham,,62.4,87.6,65.8,95.3
The University of Queensland,,69.9,85.9,71.9,95.8
The University of Tokyo,,73.7,67.4,84,69.8
The University of Western Australia,,66.2,81.6,67.4,84.6
Universität Mannheim,,73.5,87.7,64,81.2
Université de Montréal,,65.2,84.7,69.8,87.6
Universiti Malaya (UM),,70.3,72.6,72.1,79.3
University of Amsterdam,,66.5,86.5,67.7,88.3
University of Bath,,69.1,88,62.9,90.8
The University of Edinburgh,,63.8,78.3,72.2,81.2
