university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
University of Southern California,96,100,99.1,70.8,95.4
University of Amsterdam,94.6,96.6,96.8,74.1,97.8
London School of Economics and Political Science (LSE),93.3,94.3,95.3,94.6,87.9
Stanford University,92.1,94,91.1,97.6,85.6
University of Wisconsin-Madison,91.3,91,94.5,69.4,100
"University of California, Berkeley (UCB)",91.2,95.4,92,93,78.9
University of Texas at Austin,91.2,90.9,95.9,74.7,95.4
"Goldsmiths, University of London",89.7,95.3,91.9,65.3,85.6
"University of California, Los Angeles (UCLA)",88.4,89.9,90.6,90.1,81.8
University of Pennsylvania,87.9,89.5,87.5,83.4,86.7
Columbia University,87.5,92.4,83.8,87.9,78.9
Michigan State University,87.1,84.9,97.9,64.7,92.8
National University of Singapore (NUS),87.1,91.2,83.3,90.1,78.9
"Nanyang Technological University, Singapore (NTU)",87,90.3,87.3,82.9,80.4
Yale University,86.9,84.2,89.9,92.8,87.9
New York University (NYU),86.2,89.3,88.6,83.3,77.3
Northwestern University,85.9,81.5,95.1,73.8,93.7
"University of California, Santa Barbara (UCSB)",84.3,85.5,91.8,60.5,85.6
University of Michigan,84.3,80.9,91.3,77.9,88.9
The Chinese University of Hong Kong (CUHK),84.1,84.8,89.6,80,78.9
The Ohio State University,84,76.4,96.1,68.4,98.6
Massachusetts Institute of Technology (MIT),83.9,84,87.7,100,72
Cornell University,83.8,77.7,98.2,79.9,86.7
Queensland University of Technology (QUT),83.2,83.6,90.6,74.7,78.9
University of Illinois at Urbana-Champaign,83.2,85.7,87.3,62.4,83.1
The University of Tokyo,82.9,87.2,76.6,91.9,73.9
City University of Hong Kong,81.8,82.1,89.4,71.3,78.9
The University of Queensland,81.8,82.2,85.2,78.6,78.9
Pennsylvania State University,81.3,75.7,89.6,73.2,91
"University of North Carolina, Chapel Hill",81.1,78.2,95.4,58.2,85.6
The University of Melbourne,80.9,82.4,79.4,90.8,73.9
The University of Hong Kong,80.6,87.1,79.8,85.5,62.9
University of Washington,80.6,69.6,100,69,94.6
Cardiff University,80.5,79.8,90.1,67.8,78.9
King's College London,80.3,79.5,85.5,80.2,77.3
The University of Sydney,80.3,78.9,81.8,86.8,78.9
Seoul National University,79.8,82.9,80.6,87.1,67.8
Aarhus University,79.7,79.6,87,73.9,75.7
Loughborough University,79,72.4,97.5,59.9,86.7
