university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
University of Sussex,92.6,100,91,52.8,91.3
Harvard University,91.3,90.1,93.7,100,87.9
University of Oxford,91.1,88.4,89.7,98,98.7
University of Cambridge,90.4,85.6,96.1,96.3,100
London School of Economics and Political Science (LSE),89.3,86.3,92.6,88.1,98.7
"University of California, Berkeley (UCB)",89.3,86.9,96.6,85.1,94.4
SOAS University of London,87.9,89.4,89.6,68.6,92.9
Stanford University,86.9,83.6,100,91,84.2
The University of Manchester,85.5,82.6,94.1,68,100
University of Cape Town,85.2,85.5,90.1,77.3,84.2
The Australian National University,84,81.3,85.9,88.3,89.7
University of East Anglia (UEA),82.3,87.2,92,30.2,87.9
Wageningen University,82.1,81.3,89.7,61.8,91.3
University of Copenhagen,82,80,87.1,77.7,87.9
University of Toronto,80,74.4,96.8,60.3,98.7
University of Delhi,79,77.4,80.9,91.5,75.3
The University of Melbourne,78.4,76.6,89.3,73.6,77.8
The University of Sydney,78.2,75.4,89.6,74.7,80
University of the Witwatersrand,78.2,80,75.1,93.9,63.7
"University of California, Los Angeles (UCLA)",78,79.1,84.2,83.3,63.7
The University of Edinburgh,77.9,72.8,91.4,73.2,87.9
The University of Queensland,76.8,72.2,92.5,58.6,91.3
University of Chicago,76,80.8,82.7,73.6,51.8
The University of Tokyo,75.9,80,68.3,86,60.2
Brown University,75.6,77.3,81.7,60,72.8
Universiti Malaya (UM),75.5,80.7,69.4,76.7,60.2
Princeton University,75.4,78,77.4,85.7,56.2
The University of Hong Kong,74.5,74.4,83.8,72.1,67
Monash University,74.1,69.3,87.4,77.1,77.8
Erasmus University Rotterdam,74,68.9,89,56.6,91.3
University of Leeds,73.8,65.5,96.9,57.6,94.4
Lund University,73.5,69.5,91.1,61.1,80
University of Birmingham,73.5,62,94.1,73.9,98.7
King's College London,73.3,73.3,81.1,58.1,75.3
University of Amsterdam,73.3,67.4,86.5,78.7,80
Makerere University,72.7,75.3,70,79.8,60.2
Universidad Nacional Autónoma de México (UNAM),72.5,80.3,59.8,83.6,46.8
University of Bristol,72.4,67.3,86.8,73.2,77.8
Michigan State University,72.2,67.4,84.7,64.5,84.2
KU Leuven,72.1,69.1,91.1,46.3,82.2
Arizona State University,72,69.1,88.5,56.1,77.8
Griffith University,71.9,65.2,95.7,58,84.2
Stellenbosch University,71.9,68.6,82.1,75.2,72.8
University of Otago,71.8,67.3,84.6,70.5,77.8
University of Bath,71.6,66.2,87.5,61,84.2
University of Reading,71.4,67.8,87.6,49,84.2
The University of Sheffield,70.5,62.5,95.3,57.8,86.1
"University of California, Davis",70.5,66.6,84.8,57.7,80
McGill University,70.4,73,78.5,52.5,63.7
Duke University,69.8,61.3,91.6,69.6,82.2
Johns Hopkins University,69.8,67.1,83.9,69.5,67
Aarhus University,,55.1,81.3,65.6,72.8
American University,,52.7,82.8,70.9,77.8
The American University in Cairo,,66.7,58.5,67.7,34.3
Beijing Normal University,,57.3,71,73.3,60.2
City University of Hong Kong,,62.3,84.1,60.7,70
Clark University,,78.3,66.6,,51.8
Fudan University,,64.2,66.7,87.2,51.8
University of Göttingen,,62,89.4,73.2,75.3
George Washington University,,56.8,78.7,65.7,67
Georgetown University,,71.2,67.2,64.8,51.8
Imperial College London,,64,68,67.6,51.8
Korea University,,67.9,74.5,78.5,46.8
London Metropolitan University,,60.7,85.1,38.9,60.2
