university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
UCL (University College London),97.1,100,94.8,87.3,97
Harvard University,93.8,88.2,98.7,100,100
Stanford University,91.7,84.7,100,93.4,100
University of Cambridge,89.4,85.3,93.9,97.8,90.9
The University of Melbourne,89,88,90.7,85.9,91.5
University of Oxford,88.9,84.5,94,97.6,90.3
The University of Hong Kong,87.8,84.8,93.6,81.9,92.6
"University of California, Berkeley (UCB)",87.4,82.9,94.7,87.8,90.9
"University of California, Los Angeles (UCLA)",85.9,78.3,96.7,86.1,94.2
University of Toronto,85.4,80.9,91.8,79.2,93.1
The University of Sydney,85.2,81.2,90.8,87.7,88.5
Columbia University,84.8,79.5,94,79.6,91.5
The Education University of Hong Kong,84.4,80.2,92.2,76.3,90.9
The University of Queensland,84.3,77.8,93,76.7,95.6
University of Wisconsin-Madison,83.7,79.1,93,67.4,94.2
University of Michigan,83.2,74.2,96.3,73.3,97.5
Monash University,83.1,75.3,91.7,86.3,92.6
"Nanyang Technological University, Singapore (NTU)",82.9,77,93,77.1,90.3
University of British Columbia,82.3,74.5,93.8,78.7,92.1
The University of Auckland,81.9,75.9,89.2,85.5,87.8
Michigan State University,80.9,74,95.2,57.8,95.6
The University of Nottingham,80,73.6,92.6,71.9,87.2
University of Amsterdam,79.8,69.9,96.4,76.6,89.7
Johns Hopkins University,79.6,72.6,95.3,63.8,89.1
University of Birmingham,79.4,73.1,90.6,75.5,85.8
The University of Edinburgh,79.4,73.8,89.4,77.7,84.3
Vanderbilt University,79.4,74.5,93.8,53.7,90.3
Deakin University,79.3,73.9,89,69.4,87.8
Pontificia Universidad Católica de Chile (UC),79,80.8,80.1,80,72.9
Beijing Normal University,78.9,80,83.7,69.1,76.3
Boston College,78.6,71.6,95.4,63.1,87.2
University of Illinois at Urbana-Champaign,78.6,71.9,91.3,64.6,89.7
McGill University,78.4,69.5,92,79,86.5
King's College London,78,67.9,94.4,75.7,87.8
Pennsylvania State University,77.9,69.5,92.5,61.5,92.6
University of Twente,77.9,72.9,97.2,43.3,88.5
The Chinese University of Hong Kong (CUHK),77.7,72.4,89.5,70.9,82.7
Universidad Nacional Autónoma de México (UNAM),77.4,85.8,67.4,81.7,64.2
The Australian National University,77.3,69.1,88.3,88.9,81.1
National Taiwan Normal University,77.1,71.9,87.9,67,84.3
Universiti Malaya (UM),76.9,76.7,80.7,83.4,70.3
University of Texas at Austin,76.9,64.8,93.5,68,95.2
University of Bristol,76.6,67.8,94.3,67.9,85.1
University of Washington,76.5,63.6,95.5,65.3,95.2
Queensland University of Technology (QUT),76.3,68.6,91.5,59.5,88.5
New York University (NYU),76.1,62.6,95.2,76,90.9
Universidad de Chile,76.1,73.2,85.7,78,72.9
University of Chicago,76,65.7,94.7,73.3,84.3
The University of New South Wales (UNSW Sydney),75.9,67.1,87.7,79,84.3
University of Alberta,75.9,67.8,90.4,67.2,85.8
Arizona State University,,61.6,91.2,69.6,93.1
Boston University,,66.2,87.9,71.4,72.9
Cornell University,,60.6,92,72.4,81.9
Curtin University,,61.6,88.4,72.4,84.3
Florida State University,,60.9,93.1,45.6,90.3
Griffith University,,58.6,89,66,87.2
Humboldt-Universität zu Berlin,,68.1,87.5,69.5,81.1
Indiana University Bloomington,,62.2,92.4,69.5,88.5
KU Leuven,,64.2,91.4,66.7,88.5
Korea University,,62.8,84,76.5,78.3
Maastricht University,,56.8,95.4,67,88.5
Macquarie University,,65.1,88.5,64.7,85.8
National Taiwan University of Science and Technology (Taiwan Tech),,55.4,99.9,64,93.1
The Ohio State University,,64.6,88.8,52.1,91.5
Oxford Brookes University,,61.7,90.7,75.2,83.5
Peking University,,73.4,71.2,87.7,64.2
Purdue University,,59.3,88.6,63.8,90.3
RMIT University,,61.9,89.4,73.3,81.1
Seoul National University,,72.8,77.7,82.8,67.4
The Open University,,60.3,97.4,58.5,91.5
The University of Adelaide,,68.2,84.4,79.1,74.1
The University of Georgia,,63.7,92.2,51.1,92.1
The University of Manchester,,65.7,89.5,83.6,81.9
The University of Tokyo,,76.8,71.7,77.9,68.9
The University of Warwick,,60.8,91.8,68.9,83.5
The University of Western Australia,,66.2,91,64.3,81.9
Universidad de Buenos Aires (UBA),,78.8,67.7,82.6,64.2
Universidade de São Paulo,,74.6,72,79.6,67.4
Universitat de Barcelona,,68.4,87,64.4,81.9
Universiti Kebangsaan Malaysia (UKM),,76.4,74.2,75.6,68.9
Universiti Sains Malaysia (USM),,74.8,76.3,71.1,70.3
"University of California, San Diego (UCSD)",,56.5,95.4,66.7,88.5
University of Canterbury,,63.3,88.6,73,78.3
University of Cape Town,,64.6,89.2,58.3,78.3
University of Colorado Boulder,,54.7,96,64.1,91.5
University of Glasgow,,68.3,89.6,63.8,76.3
University of Helsinki,,69,87.4,72.9,81.9
"University of Illinois, Chicago (UIC)",,62.3,94.2,63.6,85.8
University of Iowa,,61.6,90.5,56.5,83.5
University of Leeds,,65.5,94.3,70.4,84.3
University of Minnesota,,61.5,91.7,66.9,92.6
"The University of Newcastle, Australia (UON)",,61.7,90.1,57,83.5
University of Oslo,,64.7,91.4,63.8,84.3
University of Otago,,66.4,88.4,62.7,78.3
University of Pennsylvania,,60.5,96.3,74.3,93.7
University of Pittsburgh,,62.3,93.6,37.7,89.1
University of Virginia,,53.7,96.8,67.5,96.6
University of Waikato,,63.6,87.1,71.7,76.3
Utrecht University,,62.1,98.2,59.8,94.7
Victoria University of Wellington,,60,89.5,75.7,81.1
Aarhus University,,60.3,88,75.4,76.3
Brown University,,55.2,86.8,69.9,79.3
Cardiff University,,55.2,88.8,63.3,78.3
City University of New York,,56.9,90.8,56.1,87.8
Delft University of Technology,,69,80.6,50.9,70.3
Durham University,,59,90.7,61.2,81.9
East China Normal University,,68.4,73.1,73.4,68.9
Freie Universitaet Berlin,,62.7,79.4,73.6,71.6
Leiden University,,58.4,94.4,54.2,87.2
Lomonosov Moscow State University,,85.9,47.9,95.4,43.6
Ludwig-Maximilians-Universität München,,58.4,92,56.1,80.2
Massey University,,53.2,88.9,64,82.7
National Cheng Kung University (NCKU),,59.2,89.1,58.4,78.3
National Sun Yat-sen University,,51.9,92.4,64.1,84.3
Northwestern University,,54,97.1,66.3,89.7
RWTH Aachen University,,64.8,75.7,70.8,64.2
Ruprecht-Karls-Universität Heidelberg,,62,79.9,62.4,74.1
Rutgers University - New Brunswick,,57.1,92.7,59.6,87.8
Stockholm University,,59.4,87.9,63.1,80.2
Texas A&M University,,56.9,86.7,63.1,85.8
The University of Sheffield,,60.7,89.6,65.7,76.3
Universidad Autónoma de Madrid,,61.7,82.8,61.5,74.1
University Complutense Madrid,,62.3,80.9,70.9,71.6
Universidade Estadual de Campinas (Unicamp),,72.9,70.6,70.5,64.2
Universitat Autònoma de Barcelona,,62.9,85.5,69,77.3
Universität Hamburg,,59.6,84.1,56.8,75.2
Université de Montréal,,56.8,89.2,69.4,76.3
Universiti Putra Malaysia (UPM),,66.7,73.6,75.3,65.9
University College Dublin,,55,85.1,81.6,75.2
University of Aberdeen,,64.4,85,55.9,72.9
The University of Arizona,,55.9,92.7,67.1,86.5
University of Bath,,52.1,90.3,73.5,84.3
"University of California, Davis",,57.1,90.4,69.6,81.1
"University of California, Santa Barbara (UCSB)",,59.7,87.6,43.8,80.2
University of Copenhagen,,59.2,82.6,73.5,72.9
University of Dundee,,61.1,87.9,66.9,77.3
The University of Exeter,,58.6,89.9,64.7,80.2
Ghent University,,58.2,93.4,50.8,89.1
University of Gothenburg,,61.2,85,47.6,76.3
University of Groningen,,53.1,91.1,62.9,85.1
University of Jyväskylä,,58.9,89.4,65.3,85.1
"University of Maryland, College Park",,58.6,92.6,45.4,91.5
"University of North Carolina, Chapel Hill",,58,90.9,54.8,87.2
University of South Australia,,54.9,89.5,76.3,87.8
University of Southampton,,57.2,91.3,68.3,84.3
University of Southern California,,54.4,94.7,62.4,87.8
University of Strathclyde,,55.4,89.3,61.7,80.2
University of Technology Sydney,,58.4,91.3,68.2,83.5
University of Wollongong,,53.9,92.6,62.7,83.5
University of York,,52.9,91.6,59.9,83.5
Western Sydney University,,53.8,89.9,56.3,85.1
Concordia University,,49.3,90.7,68.8,78.3
Duke University,,51.4,93.7,63.6,81.1
Flinders University,,53.1,88,69.9,75.2
George Washington University,,52.3,89.6,49.2,80.2
Georgetown University,,56.4,84.3,57,71.6
The Hebrew University of Jerusalem,,56.3,85.6,44,74.1
Iowa State University,,53.7,89,52.7,82.7
King Saud University,,52.8,81.4,70.8,72.9
"Kingston University, London",,62.3,74.6,60.9,65.9
Kyoto University,,65.2,68.1,74.2,56
La Trobe University,,56.7,87,54.4,79.3
Lancaster University,,53.4,90.8,54.8,81.9
Middle East Technical University,,51,92.3,61,80.2
National Chengchi University,,53.2,79.4,67.8,74.1
North Carolina State University,,51.6,90.8,47.9,87.8
Queen's University Belfast,,54.7,83.5,66.4,76.3
Radboud University,,49.3,91.1,50.5,82.7
San Diego State University,,54.2,88.9,59.7,81.9
Simon Fraser University,,54.4,90.2,44.6,81.1
Tsinghua University,,62,73.6,79.2,67.4
University of Granada,,61.1,80.3,52.5,72.9
Universidad Nacional de Colombia,,69.7,57.2,70.4,56
Alma Mater Studiorum - University of Bologna,,60.8,72.7,69.8,67.4
University of Vienna,,58.2,76,66.5,68.9
Universiti Teknologi Malaysia,,67.5,68.7,61.3,60.4
University of Antwerp,,50.6,87.7,65,81.9
University of Bergen,,56.7,84.6,52,79.3
University of Calgary,,51.7,91.1,60.5,83.5
University of Connecticut,,47.1,92.5,46.8,87.8
University of Cyprus (UCY),,51.8,93.7,54.7,85.1
University of Florida,,48.4,88.1,57.7,86.5
University of Kansas,,51.5,87.9,56.3,83.5
University of Leicester,,49.6,91.5,58.1,81.1
University of Lisbon,,57.8,77.3,57,70.3
University of Massachusetts - Boston,,57.1,86.7,56.6,74.1
University of Miami,,51.2,91.9,48.8,78.3
"University of Missouri, Columbia",,48.2,91.8,45.7,85.1
University of New England Australia,,51.7,89.1,55.5,79.3
University of Oregon,,54.1,92.7,39.7,81.1
University of Ottawa,,53.8,89.3,61.4,78.3
University of Porto,,61.8,72.6,61.7,67.4
University of Reading,,52.6,90.5,63.2,75.2
University of Stirling,,51.2,89.3,53,81.9
University of Sussex,,52.8,87.7,50.8,78.3
University of Turku,,50.5,89.9,53.7,77.3
Uppsala University,,59.8,76.7,56.5,68.9
Virginia Polytechnic Institute and State University,,55.7,90.3,37.4,82.7
Washington State University,,55.9,86.3,39.6,78.3
The University of Western Ontario,,49.4,89,55.6,80.2
