university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Harvard University,99.9,100,98.5,100,100
University of Oxford,96.6,98.4,91.7,97.4,90.3
University of Cambridge,96.2,96.9,94.8,97.3,92.3
Yale University,93.4,95.8,100,87.5,95.3
Stanford University,92.2,90.8,98.3,91.9,95.3
New York University (NYU),91.3,98.1,98.6,75.7,97.5
London School of Economics and Political Science (LSE),89.9,91.4,91.3,88.8,86.5
"University of California, Berkeley (UCB)",89.1,90.4,95.1,85,90.9
Columbia University,86.6,89.5,92.8,80.8,86.5
University of Chicago,85.5,87.3,99.5,75.7,94.1
The University of Melbourne,85.4,86.7,87.1,85.2,81.1
UCL (University College London),84.7,89.1,88.4,76.2,85.7
The University of Sydney,83.9,85.8,81.3,85.2,75.5
The University of New South Wales (UNSW Sydney),82.9,84.7,86,81.8,77.9
National University of Singapore (NUS),82.2,85.2,78.8,83.9,69.8
The Australian National University,81.3,83.9,86,76.8,80
University of Toronto,80.9,81.9,85.9,78.4,81.1
King's College London,80.4,86.5,81.2,72.6,75.5
The University of Hong Kong,80.4,82.3,78,82,71.4
Peking University,80.1,81.7,80.7,87.1,60.4
Georgetown University,79.9,83.9,99.1,62.7,94.7
The University of Tokyo,79.2,84.6,60.3,86.6,52.4
"University of California, Los Angeles (UCLA)",79.2,74.6,91.5,83.5,82.1
The University of Edinburgh,79.1,84.9,83.6,69.4,77.9
McGill University,78.7,80.2,84.9,78.1,72.8
Université Paris 1 Panthéon-Sorbonne,78.5,85.3,70.4,78.9,58
Monash University,78.1,74.1,84.3,81.8,82.1
University of British Columbia,77.2,74.9,90,77.9,79
University of Michigan,77,75.7,93.2,71.4,87.3
University of Pennsylvania,76.9,69.7,94.1,78.3,92.3
Universidad Nacional Autónoma de México (UNAM),76.5,80.1,69.3,79.8,60.4
Leiden University,76.4,82.9,88.1,61.4,81.1
Tsinghua University,76,76.1,76.8,84.7,58
Cornell University,75.8,72.9,92.8,73.3,84.8
Seoul National University,75.8,77.8,75.7,82.7,55.3
The University of Auckland,75.3,74.3,82.2,79.3,68.2
Queen Mary University of London,75.1,80.6,82.3,66.7,71.4
National Taiwan University (NTU),74.4,75,83.6,75,68.2
Ruprecht-Karls-Universität Heidelberg,73.8,83.4,74.2,66.9,55.3
Durham University,73.6,73.8,85.6,71.7,72.8
KU Leuven,73.6,75.2,85.6,66.8,77.9
Ludwig-Maximilians-Universität München,73.6,82.7,73.6,67.6,55.3
University of Technology Sydney,73.3,72.2,81.8,77.9,64.6
Duke University,73.1,70.5,96,65.5,89.5
Pontificia Universidad Católica de Chile (UC),73.1,74.6,62,81.3,55.3
Victoria University of Wellington,73,77.9,74.5,69.7,62.6
Alma Mater Studiorum - University of Bologna,72.9,75.8,78.9,70.3,66.5
Korea University,72.5,71.3,81.4,80.4,58
The University of Queensland,72.5,66.6,88.6,76.3,79
Kyoto University,72.4,76.4,69.8,77.9,49
Universidade de São Paulo,72.4,73.7,78.4,76.5,58
American University,,68.7,89.5,66.2,79
Boston University,,65.8,90.3,71.6,83.9
City University of Hong Kong,,70,78.9,65.1,62.6
Erasmus University Rotterdam,,62.4,84.2,66.8,72.8
European University Institute,,74.9,83.2,49.4,74.2
Fudan University,,61.2,72.5,81.4,58
George Washington University,,65.2,92.7,60.9,81.1
Griffith University,,61.4,85.1,65.7,79
Humboldt-Universität zu Berlin,,77.5,71.2,65.5,60.4
Lomonosov Moscow State University,,71,21,86.5,27.7
Maastricht University,,66.2,84.5,61.9,74.2
Northwestern University,,63.6,91.1,64.9,83
Queensland University of Technology (QUT),,60.2,87.7,72,76.7
Renmin (People's) University of China,,72.6,61.1,65.2,49
Sapienza University of Rome,,73.7,74.6,70.8,62.6
Sciences Po,,71.3,76.2,64.3,60.4
Shanghai Jiao Tong University,,64.1,81.6,80.3,62.6
Sungkyunkwan University (SKKU),,65.2,68.2,81.8,55.3
The Chinese University of Hong Kong - Faculty of Law,,72.7,78.6,73.9,62.6
The University of Adelaide,,64.2,79.3,72.5,64.6
The University of Manchester,,63.2,83.7,71.7,76.7
The University of Nottingham,,73.1,84.8,66.9,69.8
The University of Warwick,,65,83.4,74.5,72.8
Universidad Autónoma de Madrid,,71.3,66.1,66.2,55.3
University Complutense Madrid,,75.3,74.8,68.8,58
Universidad de Buenos Aires (UBA),,76.1,58.8,79.8,45.1
Universidad de Chile,,70.7,63.8,75.5,52.4
Universidad de los Andes,,73.5,59.5,68.8,58
University of Navarra,,63.6,75.9,75,58
Università Cattolica del Sacro Cuore,,58.2,72.6,81.1,60.4
University of Milan,,70.1,77.4,63.4,60.4
Universität Frankfurt am Main,,76.3,80.3,63,64.6
Universität Hamburg,,72.2,76.2,56.6,66.5
Université catholique de Louvain (UCL),,68.7,74.5,67.9,58
University College Dublin,,68,84.8,73.2,69.8
University of Amsterdam,,73,84.6,63.8,81.1
University of Antwerp,,62.7,88,62.6,76.7
University of Birmingham,,65.2,83.3,68.8,68.2
University of Bristol,,69.4,82.4,71.7,71.4
University of Cape Town,,70,73.8,74.2,60.4
Ghent University,,68.5,85.4,57.8,76.7
University of Kent,,65.6,82.7,59.8,74.2
University of Oslo,,71.9,88.5,49.2,74.2
University of Otago,,65.8,90.6,75,68.2
University of Texas at Austin,,62.9,93.1,69.6,82.1
University of Virginia,,67,96.6,54.5,90.9
Utrecht University,,70.6,87.2,54.4,80
Yonsei University,,65.8,67.4,79.2,52.4
