university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Harvard University,94.7,92.1,90.8,100,96.1
University of Oxford,93.1,90.1,87.1,98,99.1
London School of Economics and Political Science (LSE),91.6,88.9,90.2,93.7,100
Sciences Po,89.8,100,78.7,82.5,71.3
University of Cambridge,89.5,87,81.3,98.2,83.7
The Australian National University,87.5,89.1,81.5,86.4,89.2
Yale University,87.3,85.9,89.7,89.1,86.6
Princeton University,86.9,85.6,100,81.6,96.1
"University of California, Berkeley (UCB)",86.7,86.4,87.8,86.7,86.6
Columbia University,83.4,83.7,82.4,83.7,82.2
Georgetown University,82.8,87,86.6,73.4,86.6
University of Toronto,82.3,82.5,86.1,79.1,86.6
University of Chicago,81.7,81.8,89.1,77.5,86.6
"University of California, Los Angeles (UCLA)",81.1,78.2,87.7,83.8,80.6
National University of Singapore (NUS),80.6,79.1,79.5,85.8,73.3
Johns Hopkins University,80.3,85.2,79,74.8,73.3
Freie Universitaet Berlin,79.8,86,82.2,68.9,78.9
The University of Tokyo,79.8,78.4,70.1,90.6,64.2
Cornell University,79.7,80.9,83.6,76.7,78.9
Stanford University,79.7,67.3,88.3,93.4,91.7
New York University (NYU),79.2,75.7,87.5,80.3,85.2
Massachusetts Institute of Technology (MIT),78.7,70.5,80,93.6,73.3
The University of Sydney,78,73.8,84.4,81.4,82.2
"University of California, San Diego (UCSD)",77.8,84,96.8,59.5,82.2
University of Copenhagen,77.7,75.7,84.9,78.7,77.2
Leiden University,77.5,84.3,82.2,63.4,80.6
University of Michigan,77.2,77.5,88,69.8,86.6
Peking University,76.7,75.2,68.3,89.1,55.2
Seoul National University,76.4,74.3,69.7,87.1,61.4
George Washington University,76.2,74.2,92.1,71.2,85.2
The University of Hong Kong,75.9,75.4,69.9,86.7,51.5
King's College London,75.8,76,79.6,71.7,83.7
University of Amsterdam,75.5,71.5,91.1,69.5,98.1
University of British Columbia,75.4,73.5,87.8,73.8,77.2
Tsinghua University,75.3,71,70.9,86,69.1
University of Essex,75.2,78,86.2,63.2,86.6
McGill University,74.3,71.5,79.7,76.8,75.3
The University of Melbourne,74.2,68.8,76.3,83.4,71.3
SOAS University of London,74.1,85.1,74.6,62,55.2
UCL (University College London),73.9,70.3,82.1,74,83.7
Fudan University,73.4,70.3,63.5,85.8,61.4
Central European University,73.3,78.5,73.9,66.6,66.7
Korea University,73.3,70.4,68.7,82.8,64.2
The University of Warwick,73,66.5,87.6,73.7,89.2
The University of Edinburgh,73,68.9,82.5,73.6,82.2
The University of Manchester,72.6,64.3,86.7,75.4,91.7
Aarhus University,72.3,65.4,84.5,76.9,80.6
ETH Zurich - Swiss Federal Institute of Technology,71.9,65.6,87.2,73.3,83.7
National Taiwan University (NTU),71.7,68.8,59,87.4,51.5
Humboldt-Universität zu Berlin,71.5,75.1,65.2,72.1,58.4
American University,,66.2,85.7,70.1,85.2
Brown University,,66.2,79.8,67.3,75.3
City University of Hong Kong,,62.2,79.2,76.1,64.2
Duke University,,71.1,84.4,65.2,78.9
Durham University,,57.8,87,67.9,77.2
European University Institute,,80.7,84.9,43.3,82.2
Griffith University,,64.4,81.8,56.2,73.3
Indiana University Bloomington,,58.7,88,66.7,80.6
KU Leuven,,63.2,82,67.5,82.2
Keio University CEMS MIM,,68,66.1,74.7,42.9
Kyoto University,,72.3,43,82.1,31.4
Lomonosov Moscow State University,,73,26.6,90.3,
Ludwig-Maximilians-Universität München,,60.8,67.3,72.9,64.2
Lund University,,67.1,85.9,53.5,85.2
Monash University,,57.7,73.3,77.9,61.4
"Nanyang Technological University, Singapore (NTU)",,63.5,69.9,79.6,66.7
National Chengchi University,,69.3,52.2,70.5,51.5
"National Research University Higher School of Economics (HSE, Moscow)",,63,54.3,76.7,47.5
Northwestern University,,56.1,88.4,68.1,80.6
Ruprecht-Karls-Universität Heidelberg,,71.3,68.2,67.1,64.2
Sungkyunkwan University (SKKU),,60.4,51.8,84.8,42.9
The Chinese University of Hong Kong (CUHK),,65.9,68,79.2,51.5
The University of Auckland,,60.9,65.8,75.9,47.5
The University of New South Wales (UNSW Sydney),,52.8,74,82,69.1
The University of Nottingham,,60.1,85.7,67.6,85.2
The University of Queensland,,64.1,78.1,72.1,75.3
The University of Sheffield,,69.3,83.6,51.2,80.6
Universidade de São Paulo,,67.8,58.6,76,51.5
Alma Mater Studiorum - University of Bologna,,62.5,68.2,73.2,64.2
Universität Mannheim,,67.3,83.1,60.2,83.7
University of Vienna,,62.3,75.1,68.9,77.2
Université de Montréal,,61.3,79.6,67,73.3
Universite libre de Bruxelles,,65.5,66.1,66.7,55.2
Université Paris 1 Panthéon-Sorbonne,,66.9,58.5,79.2,51.5
University College Dublin,,61.3,73.8,74.5,66.7
University of Birmingham,,62.7,86.2,66.5,85.2
University of Bristol,,55.5,87,67.6,82.2
The University of Exeter,,65.5,85.9,65.8,78.9
University of Notre Dame,,69.8,74.8,55.6,75.3
University of Oslo,,69,86.1,54,86.6
University of Ottawa,,61.8,81.8,63.7,77.2
University of Pennsylvania,,53.1,79.9,80.7,73.3
University of St Andrews,,68.5,77,58.9,73.3
University of Sussex,,65.5,88,52.8,85.2
University of Texas at Austin,,65.1,80.1,71.9,77.2
University of Washington,,61.1,79.7,70.2,64.2
University of Wisconsin-Madison,,61,89.7,62.1,80.6
Uppsala University,,73.1,90.3,44.7,86.6
Waseda University,,72.5,55.2,81.1,42.9
Yonsei University,,69.3,64.9,81.4,55.2
Aberystwyth University,,75.1,80.5,30,78.9
Boston University,,56.9,77.9,65.7,77.2
Copenhagen Business School,,52.9,80.5,74.5,73.3
Dublin City University,,53.4,74.4,66.7,66.7
Hanyang University,,55.2,43.4,79.3,42.9
Hitotsubashi University,,55.2,59,72.7,47.5
Jawaharlal Nehru University,,70.7,70.3,50.6,61.4
Kyung Hee University,,51.1,62.6,80.2,51.5
Luiss Guido Carli University,,57.6,52.4,71.3,55.2
Maastricht University,,53.5,79.5,61.7,77.2
The Ohio State University,,52.4,84.2,64.2,75.3
Oxford Brookes University,,53.3,67.1,76.5,69.1
Pontificia Universidad Católica de Chile (UC),,62.3,53.3,73.6,55.2
Queen Mary University of London,,57.5,73.6,68.4,64.2
Queen's University at Kingston,,58.2,69.3,65,58.4
Queen's University Belfast,,54.8,80.2,64.4,66.7
Renmin (People's) University of China,,60.5,59.6,70.7,47.5
Sapienza University of Rome,,58.2,57.6,69,51.5
Syracuse University,,66.7,85.9,49.8,73.3
"Trinity College Dublin, The University of Dublin",,45.8,81.1,77,73.3
Tufts University,,67.5,70.6,49.5,61.4
Universidad de Buenos Aires (UBA),,59,44.9,75.5,47.5
Universidad de los Andes,,60.5,56.6,68.8,58.4
Universidad Nacional Autónoma de México (UNAM),,65.8,30.9,75.9,31.4
Universität Frankfurt am Main,,64.3,73.4,57.1,69.1
Universität Hamburg,,53.7,67.4,71.3,66.7
Universität Konstanz,,70.6,77.7,43,78.9
Université catholique de Louvain (UCL),,58.9,60,76.6,55.2
Université Paris-Sorbonne (Paris IV),,65.8,32.7,71.8,23.8
"University of California, Davis",,52.1,80.2,63.4,75.3
"University of California, Irvine",,62.3,75.7,58.6,71.3
University of Cape Town,,56.3,73.4,68.3,75.3
University of Geneva,,61.8,81.7,45.4,75.3
University of Gothenburg,,65.9,83.9,38.5,82.2
University of Helsinki,,61.2,75.6,57.5,75.3
University of Leeds,,53,82.2,66.6,77.2
"University of Maryland, College Park",,58.5,89.2,56.4,77.2
University of Minnesota,,56.7,81,54.1,73.3
"University of North Carolina, Chapel Hill",,62.1,85.5,52.2,82.2
University of Otago,,56.8,62.4,72.4,61.4
University of Pittsburgh,,61.9,75.5,60.6,69.1
University of Southern California,,53.2,83.2,60.3,77.2
University of the Witwatersrand,,50.2,74.2,68.1,69.1
University of Virginia,,50.8,82.3,60.2,82.2
University of Waterloo,,54.5,73.4,66.8,58.4
University of Zurich,,56.8,82.7,59.6,80.6
Utrecht University,,57,84.1,51.5,78.9
Victoria University of Wellington,,60.9,66.4,67.6,58.4
Vrije Universiteit Amsterdam,,62,85.9,55,78.9
Vrije Universiteit Brussel (VUB),,56.8,78.5,55.2,80.6
York University,,61.5,76.5,53.8,71.3
Bilkent University,,50.7,67.6,65.1,58.4
Cardiff University,,49.8,87.9,57.7,82.2
Carleton University,,63.5,78.8,41.8,71.3
Charles University,,62.8,63,47.9,58.4
Dartmouth College,,54.8,70.5,60.7,66.7
Ewha Womans University,,52.2,63.2,67.3,37.7
Fundação Getulio Vargas (FGV),,55,58.9,67.2,55.2
University of Göttingen,,57.5,65.3,60.9,58.4
George Mason University,,49.3,82.6,53.9,78.9
"Goldsmiths, University of London",,57.7,62.2,55.4,64.2
HUFS - Hankuk (Korea) University of Foreign Studies,,56.8,43,75.3,31.4
Koc University,,48,71.9,66.1,66.7
McMaster University,,52.2,65.2,69.5,58.4
Middle East Technical University,,50.8,56.8,69,51.5
Norwegian University of Science And Technology,,51.8,81.1,51.9,71.3
Osaka University,,58.1,43.8,70.1,37.7
