university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Harvard University,98.1,99,95.7,100,97.4
Massachusetts Institute of Technology (MIT),98,98.5,95.8,96.3,100
Stanford University,97.4,100,93.2,94.4,96.5
"University of California, Berkeley (UCB)",96.6,98,94.5,88.3,99.2
University of Cambridge,95.2,95.4,92.4,97.3,96.5
University of Oxford,94.5,94.6,92.7,97.5,94.6
Georgia Institute of Technology,91.8,97.2,87.7,71,92.6
National University of Singapore (NUS),91.1,91.5,87.3,89.5,94.6
Carnegie Mellon University,90.1,91.2,91.3,75.1,93.6
ETH Zurich - Swiss Federal Institute of Technology,89.9,90.1,90.5,76.2,95.5
Imperial College London,89.5,91.2,88.2,81.7,90.4
University of Washington,88.1,88.1,88.8,75.4,93.6
University of Michigan,88,86.4,89.9,71.6,98.3
"University of California, Los Angeles (UCLA)",87.8,87.6,90.6,82.8,88.1
Columbia University,87.7,86.1,88.2,79.1,95.5
Cornell University,87.5,88.7,86,76.6,91.5
Princeton University,87.4,87.9,93,82.9,82.9
University of Toronto,87.4,82,93.9,86.6,94.6
The University of Tokyo,86,87.4,82.1,90.5,84.3
University of Chicago,85.5,87,86.7,77.8,84.3
The University of Hong Kong,85.5,81.4,89.1,93.1,88.1
Tsinghua University,84.8,80.9,88.6,87.7,89.3
University of Pennsylvania,84.8,80.9,90.7,76.4,92.6
The University of Warwick,84.1,84,85.1,76.5,86.9
University of Wisconsin-Madison,83.7,85,87.3,71.5,82.9
The Hong Kong University of Science and Technology,83.6,79.8,88.9,88,85.6
UCL (University College London),83.3,78.5,96,70.2,89.3
Duke University,82.7,81.5,85.4,69.8,89.3
Yale University,82.5,79.7,87.1,89.2,81.5
The University of Melbourne,82.2,79.1,86.1,86.1,84.3
"University of North Carolina, Chapel Hill",82.1,79.9,88.1,57.9,93.6
Johns Hopkins University,81.9,79.6,90.8,65.6,86.9
"Nanyang Technological University, Singapore (NTU)",81.9,77,88.6,82.8,86.9
Université de Montréal,81.4,76.5,90.3,74.2,88.1
Purdue University,80.7,80.9,83.4,72.3,81.5
The Australian National University,80.4,77.7,91,79.4,76.9
McGill University,80.2,76.5,84.1,79.9,85.6
London School of Economics and Political Science (LSE),80.1,81.4,77.3,89.2,75.1
