University,Score,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Harvard University,96.5,96.8,96.3,94.9,100
London School of Economics and Political Science (LSE),96.2,100,90.9,94.2,88.5
University of Oxford,93.9,92.1,89.1,99,92.7
University of Cambridge,93,91.7,86.3,100,85.2
Stanford University,92.2,92.7,97.5,88.9,94.6
Massachusetts Institute of Technology (MIT),91.7,90,100,91.5,92.1
"University of California, Berkeley (UCB)",88.4,91.5,99,77.3,95.2
National University of Singapore (NUS),87.6,88.9,84.3,91.4,73.2
Yale University,86.2,88.2,96,77.7,91.4
The University of Tokyo,85.7,87.3,78.6,93,62.9
The University of Hong Kong,85.4,88,82.9,86.1,73.2
University of Pennsylvania,85.1,87.9,93.5,75.6,90.7
Columbia University,84.9,87.1,91.6,76.1,94
The University of Melbourne,84.5,85.8,82.6,84.9,78.2
London Business School,84.4,87,78.3,88,66.8
University of Chicago,84.2,88,95.9,71.8,90.7
Bocconi University,84,82.6,86.1,89.6,71.7
Princeton University,83.5,85.4,97.6,73.6,90
"University of California, Los Angeles (UCLA)",83.5,86.7,92.6,73.1,90
The Australian National University,83.2,87,82.4,79.5,75.8
Peking University,83.1,84.3,82.7,88.6,60.7
"Nanyang Technological University, Singapore (NTU)",82.7,83.2,87.9,83.7,71.7
New York University (NYU),82.7,86.9,91.8,69.2,93.4
The University of New South Wales (UNSW Sydney),82.7,83.5,83.1,82,80.4
The University of Sydney,82.1,82.8,82.3,81.6,79.4
The Chinese University of Hong Kong (CUHK),81.8,84.9,83.3,80.4,68.5
The Hong Kong University of Science and Technology,81.6,84.5,88.5,82.2,58.3
Seoul National University,81.4,84.4,82.2,82.2,62.9
Monash University,81.1,80.5,82.1,83.2,77.1
UCL (University College London),80.9,79.7,87.8,77.7,89.2
University of Toronto,80.9,81.1,86.8,76.5,86.9
INSEAD,80.4,82.9,69.5,88.1,55.6
University of Michigan,80.1,84,91,65.9,92.7
Tsinghua University,79.9,78.3,84.1,86.1,64.9
University of British Columbia,79.4,82,89.4,69.7,85.2
The University of Warwick,79.3,80.8,85.1,75.1,78.2
National Taiwan University (NTU),79,79.2,81.7,82.6,64.9
Northwestern University,78.6,82.3,96.8,61.7,92.1
Korea University,78.5,82.5,81.2,76.7,60.7
The University of Queensland,78.5,79.7,85.8,74.2,78.2
Copenhagen Business School,78.4,80.1,85.9,76.2,68.5
Erasmus University Rotterdam,78.2,79.2,86.7,74.9,74.5
The University of Manchester,78.2,77.5,86.2,75.8,80.4
The University of Auckland,78,78.7,82,77.5,71.7
Cornell University,77.5,78.7,90.1,69.5,82.5
Kyoto University,77.4,77.1,77.5,84.2,58.3
Imperial College London,76.9,68.6,91,88.3,70.2
Fudan University,76.8,76.7,85.6,81.1,55.6
McGill University,76.5,76.8,84.8,74.4,73.2
Shanghai Jiao Tong University,76.5,73.5,82.9,83.3,64.9
