id,university,overall,chemical,civil-structural,computer-information,electrical-electronic,mechanical-aeronautical-manufacturing,mineral-mining
100,"Trinity College Dublin, The University of Dublin",71.6,,,,,,
50,Brown University,72.6,,,,,,
139,Chalmers University of Technology,76,,,,,,
90,Rice University,70.9,,,,,,
112,Yonsei University,78.9,,78.2,,,,
175,University of Reading,,,,,,,
161,Texas A&M University,75.6,,79.2,,,78.9,
70,University of Copenhagen,73,,,,,,61.6
178,École Normale Supérieure de Lyon,,,,,,,
152,University of Waterloo,79.8,,,79.9,,,
43,Fudan University,81.4,,,,,78.1,
38,London School of Economics and Political Science (LSE),,,,,,,
123,Freie Universitaet Berlin,,,,,,,
60,Technical University of Munich,85.2,,77.7,77.2,81,80.4,
125,The University of Adelaide,73.3,,,,,,67.6
118,"University of California, Santa Barbara (UCSB)",72.7,77.7,,,,,
155,University of Vienna,,,,,,,
196,Stockholm University,69.9,,,,,,
13,"Nanyang Technological University, Singapore (NTU)",93.1,85.7,83.7,81.3,90.3,88,
46,The University of Sydney,82.1,,84.1,76.4,,,
84,The University of Sheffield,73.2,,77.2,,,,
98,Uppsala University,70.4,,,,,,
66,University of Illinois at Urbana-Champaign,82.2,,84.9,80.2,84.9,82.4,62.8
193,University of Cape Town,,,,,,,
185,University of Florida,70.7,,,,,,
145,University of Pittsburgh,,,,,,,
23,University of Michigan,81.3,78.9,82,75.3,83.6,90.9,
59,University of Washington,77.3,,,81.8,,,
171,Hanyang University,77.2,,78.3,,,,
187,University of Rochester,,,,,,,
179,University of Bergen,,,,,,,
34,The University of Tokyo,90.9,89,86.5,81.7,88.1,89.4,
131,Ghent University,72.8,,,,,,
146,RWTH Aachen University,83.4,,,,,82.8,70.4
45,University of British Columbia,80.6,77.7,81,80.8,78.8,,73.1
120,Universidade de São Paulo,70.6,,,,,,66.2
14,Ecole Polytechnique Fédérale de Lausanne (EPFL),90.3,78.1,83.5,80.7,87.8,80,
19,The University of Edinburgh,79.5,,,81.1,,,
89,Boston University,70.9,,,,,,
150,Emory University,,,,,,,
104,Utrecht University,,,,,,,
49,The University of New South Wales (UNSW Sydney),83.5,79.6,85.2,76.5,78.6,78.1,73.4
28,"University of California, Berkeley (UCB)",91.5,93.6,92.2,89.9,93.1,91.4,
86,"University of California, Davis",72.6,,,,,,
69,National Taiwan University (NTU),85.4,78,80.4,76.7,83.1,78.7,
133,Universiti Malaya (UM),82.8,79.1,,,83.7,80.6,
154,Université catholique de Louvain (UCL),73.3,,,,,,
