id,university,overall,agriculture-forestry,anatomy-physiology,biological,dentistry,medicine,nursing,pharmacy-pharmacology,psychology,veterinary
100,"Trinity College Dublin, The University of Dublin",71.9,,,,,,82.1,,,
50,Brown University,76.5,,,,,,,,,
139,Chalmers University of Technology,,,,,,,,,,
90,Rice University,,,,,,,,,,
112,Yonsei University,76.7,,,,76.4,,,,,
175,University of Reading,,81.6,,,,,,,,
161,Texas A&M University,69.8,79.1,,,,,,,,86.6
70,University of Copenhagen,85.5,79.7,84.8,79.1,81.8,82,,83.7,,85.6
178,École Normale Supérieure de Lyon,,,,,,,,,,
152,University of Waterloo,,,,,,,,,,
43,Fudan University,76.6,,,,,,,,,
38,London School of Economics and Political Science (LSE),,,,,,,,,79.3,
123,Freie Universitaet Berlin,,,,,,,,82.6,,77.8
60,Technical University of Munich,77.3,,,,,,,,,
125,The University of Adelaide,77.5,,78.7,,79.1,,82.4,,,
118,"University of California, Santa Barbara (UCSB)",,,,,,,,,,
155,University of Vienna,,,,,,,,,,
196,Stockholm University,,,,,,,,,,
13,"Nanyang Technological University, Singapore (NTU)",74.5,,,76.9,,,,,,
46,The University of Sydney,87.6,74.6,87.6,,77.7,87.7,88.8,85.6,81.5,86.4
84,The University of Sheffield,75.3,,,,,,,,,
98,Uppsala University,80.8,,,,,,,85,,
66,University of Illinois at Urbana-Champaign,71,80.4,,,,,,,80.3,80.1
193,University of Cape Town,75.5,,,,,,,,,
185,University of Florida,76,78.2,,,76.7,,,,,79.1
145,University of Pittsburgh,78.7,,,,,81.5,86.1,,,
23,University of Michigan,83.9,,86.3,81,90.1,84.4,88,85.3,86.7,
59,University of Washington,86,,79,82.1,83.7,85.5,89.8,81.5,,
171,Hanyang University,,,,,,,,,,
187,University of Rochester,69.2,,,,,,,,,
179,University of Bergen,,,,,,,,,,
34,The University of Tokyo,86.1,80.8,87.7,84.7,,84,,89.8,,77.8
131,Ghent University,76.7,73.4,,,,,,,78.1,83.9
146,RWTH Aachen University,73,,,,,,,,,
45,University of British Columbia,84.2,79.9,84.2,79.5,81.4,83.5,84.4,83.9,86.4,
120,Universidade de São Paulo,73.9,75.1,,,83.1,,,,,77
14,Ecole Polytechnique Fédérale de Lausanne (EPFL),76.2,,,80.1,,,,,,
19,The University of Edinburgh,86.2,,83.2,81.4,,85,82.9,,79.2,87.6
89,Boston University,81.4,,,,78,79.8,,,78.1,
150,Emory University,78.5,,,,,,,,,
104,Utrecht University,79.5,,,,,,,82.2,,87.5
49,The University of New South Wales (UNSW Sydney),81,,83.2,,,79.7,,,84.6,
28,"University of California, Berkeley (UCB)",88,85.4,,89.7,,,,,90.5,
86,"University of California, Davis",79.7,93.6,81.9,81.2,,,,,,94.5
69,National Taiwan University (NTU),81,,,,76.3,79.9,84.4,82.5,,
133,Universiti Malaya (UM),71.5,,,,,,,,,
154,Université catholique de Louvain (UCL),75.5,,,,,,,,,
101,"KIT, Karlsruhe Institute of Technology",,,,,,,,,,
169,University of Otago,79.1,,83,,79.8,,,,,
56,Tokyo Institute of Technology,,,,,,,,,,
122,Eindhoven University of Technology,,,,,,,,,,
79,KU Leuven,79.1,,78.9,,85.7,,,83.8,76.4,
75,Tohoku University,74.3,,,,,,,,,
177,University of Göttingen,74,,,,,,,,,
7,UCL (University College London),88.8,,92.3,81.7,86.6,89.8,,90.3,89.3,
3,Harvard University,97.8,,,97.8,87.7,99,,96.3,97.3,
103,The University of Western Australia,79.9,75.6,86.1,,,,,,77.3,
172,University of Virginia,69.4,,,,,,,,75.7,
143,University of Aberdeen,71.9,,,,,,,,,
99,Korea University,72.7,,,,,,,,,
10,University of Chicago,82.3,,,81.1,,83.4,,,83.3,
102,Leiden University,78.7,,,,,,,86.6,,
176,University College Dublin,72.6,,,,,,,,,79.3
41,University of Bristol,79.4,,85.4,,77.8,,,,,80.8
91,University of Helsinki,79,,,,77.3,,,,,
36,The Hong Kong University of Science and Technology,,,,,,,,,,
135,Kyushu University,73.6,,,,,,,,,
183,Politecnico di Milano,,,,,,,,,,
163,Albert-Ludwigs-Universitaet Freiburg,75.7,,,,,,,,,
71,Georgia Institute of Technology,,,,,,,,,,
174,National Chiao Tung University,,,,,,,,,,
39,Peking University,80.5,,82.6,77.7,83.9,,,84.7,,
137,University of Minnesota,78.1,75,,,78.4,,83.2,81.2,78.1,85.5
65,Monash University,84.2,,82.5,76.9,,83.3,87.9,94.7,77,
126,Université de Montréal,77.7,,81.8,,,,,81,,74.5
55,City University of Hong Kong,,,,,,,,,,
173,Maastricht University,75.5,,,,,,,,,
95,Pennsylvania State University,74.4,80.1,79.4,,,,82.2,,77.4,
61,Shanghai Jiao Tong University,75.4,,,,,,,,,
116,Nagoya University,72.7,,,,,,,,,
141,Université Pierre et Marie Curie (UPMC),76.2,,,,,,,,,
188,"University of Illinois, Chicago (UIC)",72.9,,,,,,82.8,81.5,,
107,Washington University in St. Louis,83.4,,79.1,79.4,,82.9,,,,
30,McGill University,84.2,73,92.7,79.8,,85.1,81.3,83.4,82.8,
157,University of Liverpool,74.9,,,,,,,,,88.9
85,Universidad de Buenos Aires (UBA),,,,,,,,,,
170,University of Colorado Boulder,,,,,,,,,,
138,University of Lausanne,76.5,,79.4,,,,,,,
63,Osaka University,79,,,76.3,80.5,,,,,
17,Johns Hopkins University,92.2,,91.2,82.2,,93,93.5,87.6,,
165,The University of Exeter,,,,,,,,,76.3,
147,Pontificia Universidad Católica de Chile (UC),,73.3,,,,,,,,
159,University of Bath,,,,,,,,,,
106,Sungkyunkwan University (SKKU),73.3,,,,,,,,,
42,The University of Melbourne,88.3,75.6,87.4,82.1,79.9,86.4,86,80.7,83.5,85.3
153,Indian Institute of Science (IISc) Bangalore,,,,,,,,,,
6,University of Oxford,95.1,,97,92.9,,95.8,,93.6,92.3,
64,University of Glasgow,80.9,,78.7,,,81.4,,,,85.1
195,Queen's University Belfast,,,,,,,,,,
77,University of St Andrews,,,,,,,,,,
166,CentraleSupélec,,,,,,,,,,
2,Stanford University,92.6,,92.3,92.2,,93,,,94.6,
27,The University of Hong Kong,83.2,,,,91.4,82.7,,81.9,76.8,
24,Tsinghua University,73.8,,,,,,,,,
184,Vienna University of Technology,,,,,,,,,,
78,"University of North Carolina, Chapel Hill",81.9,,,76.1,84.5,,87.7,87.3,,
8,ETH Zurich - Swiss Federal Institute of Technology,80.5,79.9,,86.1,,,,84,,
68,Ludwig-Maximilians-Universität München,81,,80.5,79.3,,80.1,,83.4,,80.8
199,Vrije Universiteit Amsterdam,70.6,,,,,,,,,
186,Indian Institute of Technology Delhi (IITD),,,,,,,,,,
124,Queen Mary University of London,76.1,,,,,,,,,
