id,university,overall,chemistry,earth-marine,environmental,geography,materials,mathematics,physics-astronomy
100,"Trinity College Dublin, The University of Dublin",,,,,,,,
50,Brown University,77.2,,,,,,81.4,
139,Chalmers University of Technology,73.1,,,,,,,
90,Rice University,77.6,,,,,79.2,,
112,Yonsei University,78.4,,,,,,,
175,University of Reading,,,,,,,,
161,Texas A&M University,78.8,,83,83.5,,,,
70,University of Copenhagen,83,,82.1,,,,,
178,École Normale Supérieure de Lyon,,,,,,,,
152,University of Waterloo,78,,,,,,82.2,
43,Fudan University,83.7,83.1,,,,84.3,,
38,London School of Economics and Political Science (LSE),,,,,94.7,,,
123,Freie Universitaet Berlin,77.4,,,,,,,
60,Technical University of Munich,87.5,83.6,,,,,,85.5
125,The University of Adelaide,76.4,,,,,,,
118,"University of California, Santa Barbara (UCSB)",83.4,,82.5,85,,82.8,,85.3
155,University of Vienna,74.8,,,,,,,
196,Stockholm University,81,,,84.4,79.1,,,
13,"Nanyang Technological University, Singapore (NTU)",87.8,88.1,,88,,90.5,80.6,80.7
46,The University of Sydney,84.5,79.8,,,83.7,,80.1,
84,The University of Sheffield,73.5,,,,78.5,,,
98,Uppsala University,76.4,,,,,,,
66,University of Illinois at Urbana-Champaign,82.9,82.9,,83.8,,86.3,,84.3
193,University of Cape Town,,,,,75.1,,,
185,University of Florida,77,,,,,,,
145,University of Pittsburgh,,,,,,,,
23,University of Michigan,82.4,81.3,,86.6,,82,85.5,81.3
59,University of Washington,84,,91.4,88.9,85,,,
171,Hanyang University,,,,,,,,
187,University of Rochester,,,,,,,,
179,University of Bergen,,,83.1,,,,,
34,The University of Tokyo,92.4,90.2,88.6,87.4,83.4,87.4,86.1,91.6
131,Ghent University,75.3,,,,,,,
146,RWTH Aachen University,86.4,80.8,,,,82.1,,81.8
45,University of British Columbia,84.6,80.3,87.9,91.6,93.1,,84.1,82.1
120,Universidade de São Paulo,75.3,,,,,,,
14,Ecole Polytechnique Fédérale de Lausanne (EPFL),91,85.4,,84.9,,88.7,84.7,86.9
19,The University of Edinburgh,82.7,,86.6,,84.5,,,
89,Boston University,78.8,,,,,,,
150,Emory University,,,,,,,,
104,Utrecht University,76.7,,88,,78.3,,,
49,The University of New South Wales (UNSW Sydney),79.3,,82.2,89.4,,81.7,,
28,"University of California, Berkeley (UCB)",93.9,96.7,94.5,95.9,93.2,91.8,94.8,95.4
86,"University of California, Davis",78.6,,85,89.7,,,,
69,National Taiwan University (NTU),86.2,81.6,82.1,84.1,,80.5,,81.4
133,Universiti Malaya (UM),73.3,,,,,,,
154,Université catholique de Louvain (UCL),75.8,,,,,,,
101,"KIT, Karlsruhe Institute of Technology",85.6,,,,,78.8,,82.9
169,University of Otago,,,,,,,,
56,Tokyo Institute of Technology,86.6,82.5,,,,83.3,,84.1
122,Eindhoven University of Technology,73.4,,,,,,,
79,KU Leuven,77.4,,,,77.8,,,
75,Tohoku University,84.5,80.2,,,,84.8,,82.9
177,University of Göttingen,78.8,,,,,,,
7,UCL (University College London),81.9,80.4,84.6,83.4,90.2,,,80.8
3,Harvard University,96,95.2,94.7,94.3,,91.3,98,97.4
103,The University of Western Australia,76.1,,82.1,,,,,
172,University of Virginia,,,,,,,,
143,University of Aberdeen,,,,,,,,
99,Korea University,81.3,,,,,,,
10,University of Chicago,87.3,80.1,82.1,,81,,87.3,87.3
102,Leiden University,75.3,,,,,,,
176,University College Dublin,76.3,,,,,,,
41,University of Bristol,81.6,,87.9,,80.7,,,
91,University of Helsinki,78.9,,,,74.6,,,
36,The Hong Kong University of Science and Technology,83.9,83.3,,,,84.7,80.6,
135,Kyushu University,78.8,,,,,,,
183,Politecnico di Milano,77.4,,,,,,,
163,Albert-Ludwigs-Universitaet Freiburg,75,,,,,,,
71,Georgia Institute of Technology,82.5,83.2,,84.5,,87.6,83.4,
174,National Chiao Tung University,74.6,,,,,,,
39,Peking University,89.2,89.2,84.2,86.7,81.8,87.3,85.2,85.6
137,University of Minnesota,78.7,,,83.4,80.3,,,
65,Monash University,79.9,80.2,,83.4,80.5,,,
126,Université de Montréal,74.9,,,,,,,
55,City University of Hong Kong,74.6,,,,,,80,
173,Maastricht University,,,,,,,,
95,Pennsylvania State University,79.8,,84.3,83.5,77.6,81.7,,
61,Shanghai Jiao Tong University,80.2,80,,,,83.7,,
116,Nagoya University,82.8,,,,,,,80.3
141,Université Pierre et Marie Curie (UPMC),82.6,,,,,,,
188,"University of Illinois, Chicago (UIC)",,,,,,,,
107,Washington University in St. Louis,,,,,,,,
30,McGill University,83.1,81.4,84,86.9,81.2,79.8,,81.2
157,University of Liverpool,76,,,,,,,
85,Universidad de Buenos Aires (UBA),73,,,,,,,
170,University of Colorado Boulder,80.9,,86.4,,,,,
