id,university,overall,accounting-finance,anthropology,business-management,communication-media,development,economics-econometrics,education,hospitality-leisure,law,policy-admin,politics-international,sociology,sports,statistics-operation
100,"Trinity College Dublin, The University of Dublin",,,,,,,,,,,,,,,
50,Brown University,71.8,,,,,75.6,78.3,,,,,,77.3,,
139,Chalmers University of Technology,,,,,,,,,,,,,,,
90,Rice University,,,,,,,,,,,,,,,
112,Yonsei University,76.4,,,,,,,,59.2,,79.2,,,77.6,
175,University of Reading,,,,,,71.4,,,,,,,,,
161,Texas A&M University,,,,,,,,,70.4,,,,,,79.9
70,University of Copenhagen,74.3,,84.6,,,82,,,,,,77.7,76.8,81.5,
178,École Normale Supérieure de Lyon,,,,,,,,,,,,,,,
152,University of Waterloo,,,,,,,,,70.4,,,,,,
43,Fudan University,76.8,,,,,,,,,,,73.4,,,
38,London School of Economics and Political Science (LSE),96.2,90.3,97.2,89.9,93.3,89.3,90.3,,,89.9,93.4,91.6,94.5,,80.1
123,Freie Universitaet Berlin,72.6,,77.5,,,,,,,,78.1,79.8,81.3,,
60,Technical University of Munich,67.1,,,,,,,,,,,,,,
125,The University of Adelaide,70,,,,,,,,,,,,,,
118,"University of California, Santa Barbara (UCSB)",,,,,84.3,,,,,,,,,,
155,University of Vienna,65.1,,,,,,,,,,,,,,
196,Stockholm University,70.3,,,,,,,,,,75.3,,75.6,,
13,"Nanyang Technological University, Singapore (NTU)",82.7,80.1,,78.9,87,,,82.9,63.3,,,,,,81.9
46,The University of Sydney,82.1,81.6,77.2,77.6,80.3,78.2,74.2,85.2,,83.9,80.6,78,82.3,91.9,
84,The University of Sheffield,66.1,,,,,70.5,,,,,,,,,
98,Uppsala University,65.9,,,,,,,,,,,,,,
66,University of Illinois at Urbana-Champaign,69.5,75.6,,,83.2,,,78.6,57.3,,,,,82,
193,University of Cape Town,66.2,,,,,85.2,,,,,,,,,
185,University of Florida,,,,,,,,,66.6,,,,,84.6,
145,University of Pittsburgh,,,,,,,,,,,,,,77.5,
23,University of Michigan,80.1,79.6,92.4,82,84.3,,80.8,83.2,,77,79.9,77.2,87.9,84.3,88
59,University of Washington,71.4,,73.7,,80.6,,,76.5,,,,,,,88.1
171,Hanyang University,68.4,,,,,,,,,,,,,,
187,University of Rochester,,,,,,,,,,,,,,,
179,University of Bergen,,,,,,,,,,,,,,,
34,The University of Tokyo,85.7,75.9,83.5,,82.9,75.9,78.3,,,79.2,87.1,79.8,82.6,,86
131,Ghent University,66.2,,,,,,,,,,,,,77.4,
146,RWTH Aachen University,66.4,,,,,,,,,,,,,,
45,University of British Columbia,79.4,78.3,82,78.5,,,78.6,82.3,,77.2,78.6,75.4,77.3,89.3,80.1
120,Universidade de São Paulo,67.6,,75.2,,,,,,,72.4,,,,79.4,
14,Ecole Polytechnique Fédérale de Lausanne (EPFL),,,,,,,,,,,,,,,
19,The University of Edinburgh,76.4,74.3,81.9,,,77.9,,79.4,,79.1,80.9,73,82.9,84.1,
89,Boston University,70.7,,,,,,76.4,,,,,,,79.1,
150,Emory University,,,,,,,,,,,,,,,
104,Utrecht University,66.8,,,,,,,,,,,,,,
49,The University of New South Wales (UNSW Sydney),82.7,85.5,,82.9,78.4,,77.1,75.9,,82.9,77,,,80.5,
28,"University of California, Berkeley (UCB)",88.4,88.4,97.6,88.1,91.2,89.3,90.7,87.4,,89.1,92.8,86.7,96.6,,96.6
86,"University of California, Davis",,,,,,70.5,,,,,,,,,
69,National Taiwan University (NTU),79,,,,,,,,,74.4,78.8,71.7,,83.3,
133,Universiti Malaya (UM),73.2,,,,,75.5,,76.9,,,,,,,
154,Université catholique de Louvain (UCL),71.9,,,,,,,,,,,,,,
101,"KIT, Karlsruhe Institute of Technology",,,,,,,,,,,,,,,
169,University of Otago,71.2,,,,,71.8,,,,,,,,85.1,
56,Tokyo Institute of Technology,,,,,,,,,,,,,,,
122,Eindhoven University of Technology,,,,,,,,,,,,,,,
79,KU Leuven,74.9,,,,,72.1,,,,73.6,,,,,78.8
75,Tohoku University,65.3,,,,,,,,,,,,,,
177,University of Göttingen,,,,,,,,,,,,,,,
7,UCL (University College London),80.9,,88.8,,,,81.9,97.1,,84.7,79.3,73.9,,79.8,83.3
3,Harvard University,96.5,98.6,98.1,98.3,,91.3,96.8,93.8,,99.9,98.6,94.7,99.7,,98.1
103,The University of Western Australia,72.4,,,,,,,,,,,,,81.4,
172,University of Virginia,66.1,,,,,,,,,,,,,,
143,University of Aberdeen,,,,,,,,,,,,,,,
99,Korea University,78.5,74.7,,77,,,,,57.3,72.5,79.3,73.3,,,
10,University of Chicago,84.2,89,92.5,84.2,78.5,76,89.8,76,,85.5,84.8,81.7,92,,85.5
102,Leiden University,67.6,,74.5,,,,,,,76.4,,77.5,,,
176,University College Dublin,69.8,,,,,,,,,,,,,,
41,University of Bristol,70.5,,,,,72.4,,76.6,,,79.4,,,,
91,University of Helsinki,66.1,,74.7,,78.6,,,,,,,,,,
36,The Hong Kong University of Science and Technology,81.6,83,,83.5,,,78.7,,,,,,,,83.6
135,Kyushu University,,,,,,,,,,,,,,,
183,Politecnico di Milano,68.9,,,,,,,,,,,,,,
163,Albert-Ludwigs-Universitaet Freiburg,,,,,,,,,,,,,,,
71,Georgia Institute of Technology,66.9,,,,,,,,,,,,,,91.8
174,National Chiao Tung University,65.8,,,,,,,,,,,,,,
39,Peking University,83.1,79.4,,78.9,,,77.1,,,80.1,82.3,76.7,79.9,,79.9
137,University of Minnesota,69.1,,,,78.8,,75,,,,,,,,
65,Monash University,81.1,79.6,,79.7,,74.1,75.3,83.1,65.3,78.1,,,79.5,,
126,Université de Montréal,69.3,,,,,,,,,,,,,,81.4
55,City University of Hong Kong,75.9,74.1,,,81.8,,,,,,75.1,,,,
173,Maastricht University,68.5,,,,,,,,,,,,,,
95,Pennsylvania State University,71.6,,,,81.3,,,77.9,72.1,,,,,84.6,79.8
61,Shanghai Jiao Tong University,76.5,,,76.9,,,,,,,,,,,
116,Nagoya University,,,,,,,,,,,,,,,
141,Université Pierre et Marie Curie (UPMC),,,,,,,,,,,,,,,
188,"University of Illinois, Chicago (UIC)",,,,,,,,,,,,,,,
107,Washington University in St. Louis,,,,,,,,,,,,,,,
30,McGill University,76.5,,76.9,76.6,,70.4,,78.4,,78.7,,74.3,78.3,82.1,80.2
157,University of Liverpool,,,,,,,,,,,,,,,
85,Universidad de Buenos Aires (UBA),67.4,,76.1,,,,,,,,,,75.8,,
170,University of Colorado Boulder,,,,,,,,,,,,,,76.3,
138,University of Lausanne,65.2,,,,,,,,,,,,,,
63,Osaka University,68.2,,,,,,,,,,,,,,
17,Johns Hopkins University,68.6,,,,,69.8,,79.6,,,83,80.3,,,81.9
165,The University of Exeter,67.8,,,,,,,,62,,,,,80.2,
147,Pontificia Universidad Católica de Chile (UC),71.1,,,,77.5,,,79,,73.1,79.4,,75.8,,
159,University of Bath,67.8,,,,,71.6,,,,,,,,80.7,
106,Sungkyunkwan University (SKKU),73.9,,,,77.6,,,,,,,,,,
42,The University of Melbourne,84.5,85,78.9,83.3,80.9,78.4,78.6,89,,85.4,83,74.2,79.7,,82.2
153,Indian Institute of Science (IISc) Bangalore,,,,,,,,,,,,,,,
6,University of Oxford,93.9,90.5,97.1,90.4,,91.1,88.9,88.9,,96.6,94.3,93.1,95,,94.5
64,University of Glasgow,69.6,,,,,,,,,,,,,,
195,Queen's University Belfast,,,,,,,,,,,,,,,
77,University of St Andrews,65.1,,,,,,,,,,,,,,
166,CentraleSupélec,,,,,,,,,,,,,,,
2,Stanford University,92.2,92.1,91.6,92.3,92.1,86.9,91.8,91.7,,92.2,91.5,79.7,94.1,,97.4
27,The University of Hong Kong,85.4,79.5,,80.3,80.6,74.5,76.5,87.8,,80.4,85.4,75.9,79.3,84.3,85.5
24,Tsinghua University,79.9,76.9,,77.6,,,76.5,,,76,75,75.3,,,84.8
184,Vienna University of Technology,,,,,,,,,,,,,,,
78,"University of North Carolina, Chapel Hill",69.8,,,,81.1,,,,,,,,82.3,,82.1
8,ETH Zurich - Swiss Federal Institute of Technology,75.6,,,,,,76.7,,,,,71.9,,,89.9
68,Ludwig-Maximilians-Universität München,72.5,,,,,,,,,73.6,,,,,
199,Vrije Universiteit Amsterdam,65.8,,,,,,,,,,,,,80,
186,Indian Institute of Technology Delhi (IITD),,,,,,,,,,,,,,,
124,Queen Mary University of London,65.6,,,,,,,,,75.1,,,,,
111,The Hong Kong Polytechnic University,76.3,,,77.6,,,,,82.1,,,,,,79.5
198,The University of Western Ontario,71,,,,,,,,,,,,,79.5,
88,The Ohio State University,68.1,,,,84,,,,,,,,,80.5,
51,The University of Queensland,78.5,76.9,,,81.8,76.8,,84.3,70.5,72.5,,,77.6,91,
108,Lomonosov Moscow State University,69.9,,,,,,,,56.5,,,,,,
47,New York University (NYU),82.7,87,83,84.2,86.2,,85.4,76.1,,91.3,79.8,79.2,85.8,,80
94,University of Alberta,65.6,,,,,,,75.9,55.8,,,,,84.5,
144,Erasmus University Rotterdam,78.2,,,80.2,,74,75.5,,,,,,,75.8,
142,University of Basel,,,,,,,,,,,,,,,
149,McMaster University,,,,,,,,,,,,,,83.8,
119,Wageningen University,,,,,,82.1,,,,,,,,,
182,Vrije Universiteit Brussel (VUB),,,,,,,,,,,,,,,
194,University of Technology Sydney,72,,,,,,,,,73.3,,,,77.4,
136,University of Southern California,70,,,,96,,,,,,,,,,
115,Nanjing University,66,,,,,,,,,,,,,,
20,Columbia University,84.9,85.1,85.8,84,87.5,,87.6,84.8,,86.6,84.6,83.4,89.6,,87.7
191,Radboud University,,,,,,,,,,,,,,,
113,University of Oslo,68.5,,76.7,,78.1,,,,,,,,,,
53,University of Wisconsin-Madison,73.6,,77.7,,91.3,,75.8,83.7,,,,,92.7,,83.7
127,University of York,,,,,,,,,,,79.8,,,,
167,Eberhard Karls Universität Tübingen,,,,,,,,,,,,,,,
110,Zhejiang University,69.3,,,,,,,,,,,,,,
160,Universitat de Barcelona,68.1,,,,,,,,,,,,,,
134,Aalto University,,,,,,,,,,,,,,,
52,The University of Warwick,79.3,78.6,,81.7,,,78.6,,,,,73,76.4,,84.1
96,University of Geneva,,,,,,,,,,,,,,,
11,Princeton University,83.5,80,81.4,,,75.4,90.1,,,,77.4,86.9,91.5,,87.4
190,King Fahd University of Petroleum & Minerals,,,,,,,,,,,,,,,
114,University of Groningen,67.3,,,,,,,,,,,,,,
162,Michigan State University,70.2,,,,87.1,72.2,,80.9,65.6,,,,,81,
81,The University of Auckland,78,77.3,74.6,,,,,81.9,,75.3,75.4,,74.9,,78
97,KTH Royal Institute of Technology,,,,,,,,,,,,,,,
15,Yale University,86.2,85,87.8,82.9,86.9,,88.1,,,93.4,,87.3,91.6,,82.5
58,Carnegie Mellon University,70.3,,,,,,,,,,,,,,90.1
12,National University of Singapore (NUS),87.6,82.7,80.6,84.8,87.1,,80.3,,,82.2,84.7,80.6,85.8,76.4,91.1
31,"University of California, Los Angeles (UCLA)",83.5,83.5,90.8,84.5,88.4,78,85.7,85.9,,79.2,84.3,81.1,91,,87.8
156,"University of California, Irvine",,,,,,,,,,,,,,,
189,University of Sussex,,,,,,92.6,,,,,,,,,
180,University of Twente,,,,,,,,77.9,,,,,,,
105,University of Science and Technology of China,,,,,,,,,,,,,,,
29,The University of Manchester,78.2,82.6,83.1,80,,85.5,,,,,,72.6,82.7,77.1,
92,Purdue University,65.9,,,,,,,,71,,,,,,80.7
148,The Hebrew University of Jerusalem,,,,,,,,,,,,,,,
44,The Chinese University of Hong Kong (CUHK),81.8,79.9,,78.2,84.1,,75.2,77.7,57.8,,77,,78.5,80,
128,Universidad Nacional Autónoma de México (UNAM),69.2,,79.2,,,72.5,,77.4,,76.5,76.1,,77.8,,
18,University of Pennsylvania,85.1,89.8,80.3,93,87.9,,85.6,,,76.9,,,,,84.8
192,Universidade Estadual de Campinas (Unicamp),,,,,,,,,,,,,,,
74,Durham University,70.5,,77,,,,,,,73.6,,,,,
129,Lancaster University,68.9,,,,,,,,,,,,76.2,,
57,University of Amsterdam,76.5,,86.5,,94.6,73.3,76.1,79.8,,,78.6,75.5,86.5,,78.3
67,University of Texas at Austin,74.3,79.3,78.3,76.8,91.2,,,76.9,,,,,76.6,,
26,Northwestern University,78.6,78.3,,85.4,85.9,,85.1,,,,,,,77.7,77.9
40,"University of California, San Diego (UCSD)",70.2,,,,,,80.6,,,,,77.8,,,78.2
22,The Australian National University,83.2,79.9,86.8,,,84,78.4,77.3,,81.3,87.4,87.5,85,,80.4
117,Aarhus University,73.7,,75.8,,79.7,,,,,,,72.3,,,
132,"University of Maryland, College Park",67.1,,,,,,,,,,75,,,79.4,
80,University of Zurich,71,,,,78.8,,73.9,,,,,,,,
54,Ecole Polytechnique,,,,,,,,,,,,,,,
83,Pohang University of Science And Technology (POSTECH),,,,,,,,,,,,,,,
48,KAIST - Korea Advanced Institute of Science & Technology,72.8,,,,,,,,,,,,,,
33,"Ecole normale supérieure, Paris",,,,,,,,,,,,,,,
140,Cardiff University,68.6,,,,80.5,,,,,,,,,,
37,Kyoto University,77.4,,75.7,,,,,,,72.4,74.9,,,79.2,
151,National Tsing Hua University,66.7,,,,,,,,,,,,,,
82,University of Birmingham,71,,,,,73.5,,79.4,,,76,,,88.4,
197,University of Calgary,,,,,,,,,,,,,,78.6,
62,Delft University of Technology,65.9,,,,,,,,,,,,,,
35,Seoul National University,81.4,76.1,,79.5,79.8,,76.3,,,75.8,83.1,76.4,78.6,86.1,79.5
9,Imperial College London,76.9,77.2,,79.6,,,,,,,,,,,89.5
200,Universidad de Chile,67.4,,,,,,,76.1,,,,,,,
16,Cornell University,77.5,79.7,81.9,79.4,83.8,,79.4,,70.7,75.8,75.8,79.7,82.8,76.8,87.5
168,Newcastle University,,,,,,,,,,,,,,,
76,The University of Nottingham,70.8,,,,,,,80,,,,,,,
73,Lund University,70.4,,,,,73.5,,,,,,,,,
25,Duke University,75.8,77.9,79.6,77.5,,69.8,79.4,,,73.1,,,78.4,,82.7
130,Hokkaido University,,,,,,,,,,,,,,,
93,University of Leeds,68.8,,,,,73.8,,,,,,,,75.8,
164,Technische Universität Berlin (TU Berlin),,,,,,,,,,,,,,,
1,Massachusetts Institute of Technology (MIT),91.7,93.7,72.6,93.4,83.9,,98.2,,,,88.2,78.7,81.3,81.2,98
87,University of Southampton,,,,,,,,,55.7,,,,,,
181,University of Bern,,,,,,,,,,,,,,,
5,California Institute of Technology (Caltech),69.3,,,,,,76.4,,,,,,,,
32,University of Toronto,80.9,79.5,88.5,79.1,,80,80.2,85.4,,80.9,82.6,82.3,85.4,88.2,87.4
158,Dartmouth College,66.3,,,,,,,,,,,,,,
121,Humboldt-Universität zu Berlin,73.4,,75.5,,,,,,,,,71.5,79.7,,
72,Ruprecht-Karls-Universität Heidelberg,68.4,,,,,,,,,73.8,,,,,
109,Technical University of Denmark,,,,,,,,,,,,,,,
4,University of Cambridge,93,88,97.6,90.3,,90.4,87.2,89.4,,96.2,92.6,89.5,91.6,,95.2
21,King's College London,75.2,,,,80.3,73.3,,78,,80.4,,75.8,,,
