id,University,Score,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
6,University of Oxford,98.3,98.3,95,98.9,100
4,University of Cambridge,97.6,98.5,93.6,100,91.4
3,Harvard University,97.5,100,100,93.9,86.7
28,"University of California, Berkeley (UCB)",91,96.3,94.4,79.1,79.2
2,Stanford University,90.6,94.5,95.8,87.2,69.1
15,Yale University,89.8,94.8,94,79.3,77
11,Princeton University,88.9,92.9,93.6,75.4,86.7
20,Columbia University,87.9,92.4,94.6,74.1,81.3
31,"University of California, Los Angeles (UCLA)",87.6,92.7,95.2,76.2,72
22,The Australian National University,87.4,92,88.9,79.1,74.6
34,The University of Tokyo,87.3,93.6,82.6,93.6,41.6
47,New York University (NYU),86.9,91.6,93,72.3,81.3
27,The University of Hong Kong,86.7,94.4,84.7,80.8,53.8
38,London School of Economics and Political Science (LSE),86.5,88.7,85.9,94.2,58.4
46,The University of Sydney,86.4,91.5,87.3,80.9,65.9
1,Massachusetts Institute of Technology (MIT),86.1,86.2,97.5,90.4,65.9
42,The University of Melbourne,85.9,89.7,89.1,82.9,65.9
7,UCL (University College London),85.8,88,92.9,78.8,79.2
10,University of Chicago,85.8,91.1,91,75.5,69.1
32,University of Toronto,85.8,88.7,92.1,78.3,77
12,National University of Singapore (NUS),85.7,92,83.8,86.6,48.3
19,The University of Edinburgh,85,87.2,89.1,80.2,77
39,Peking University,83.5,89.9,84.3,89.3,33
21,King's College London,82.7,84.2,91.8,81.8,65.9
81,The University of Auckland,82.1,86.7,88.3,73.1,65.9
37,Kyoto University,81.7,87.4,79.9,89.6,33
,Université Paris-Sorbonne (Paris IV),81.7,92.3,63.6,75.6,48.3
35,Seoul National University,81.5,89.7,83.9,86.2,20.8
69,National Taiwan University (NTU),81.3,86.6,84.7,83.3,41.6
45,University of British Columbia,81.3,86.3,92.3,70,62.4
44,The Chinese University of Hong Kong (CUHK),81,89.9,81.6,78.1,33
16,Cornell University,80.8,82.6,94.7,73,72
23,University of Michigan,80.7,83.8,91.8,66.8,79.2
18,University of Pennsylvania,80.6,83.2,95.6,68.4,74.6
121,Humboldt-Universität zu Berlin,80.5,88.3,83.8,71.6,48.3
49,The University of New South Wales (UNSW Sydney),80.1,82.5,91.6,76.1,62.4
123,Freie Universitaet Berlin,80,87.9,82,71.3,48.3
52,The University of Warwick,79.6,80.8,89.3,73.4,74.6
,SOAS University of London,79.3,88.2,89,60.3,53.8
65,Monash University,79.2,81.1,86.2,80.5,58.4
50,Brown University,79.1,80.8,90.8,72.9,69.1
25,Duke University,79.1,81.7,95.5,67.9,69.1
30,McGill University,79,83.3,89.8,69,62.4
24,Tsinghua University,78.6,81.3,81.3,87.5,41.6
74,Durham University,78.3,80.1,93.3,68.3,72
,Waseda University,78.3,84.6,68.1,86.9,33
67,University of Texas at Austin,78,81,87.4,67.4,72
29,The University of Manchester,77.9,78.7,89,72.9,72
102,Leiden University,77.6,85.5,89.2,55.8,62.4
43,Fudan University,77.2,82.5,73.5,85.2,33
13,"Nanyang Technological University, Singapore (NTU)",77,81.2,81.2,84.5,33
51,The University of Queensland,77,80,86.5,72.4,58.4
57,University of Amsterdam,76.9,82.1,89,64.4,58.4
55,City University of Hong Kong,76.7,81.4,85.1,75.9,41.6
,Victoria University of Wellington,76.4,81.1,86.6,66.4,58.4
68,Ludwig-Maximilians-Universität München,76.3,80.6,88.3,68.6,53.8
79,KU Leuven,75.8,78.4,84.2,75,53.8
70,University of Copenhagen,75.6,75.6,88.7,79.8,53.8
,Alma Mater Studiorum - University of Bologna,75.5,80.3,81.8,74.7,41.6
93,University of Leeds,75.4,75.6,84.6,73.1,69.1
,Université Paris 1 Panthéon-Sorbonne,75.3,86.3,72.5,71,20.8
77,University of St Andrews,75.3,77.6,91.3,61.8,72
89,Boston University,75.2,76.3,93.6,64.1,72
,Georgetown University,75.2,78.8,90.8,58.3,72
112,Yonsei University,75,81.8,74.1,75.8,33
,Macquarie University,74.9,77.3,87.1,67.9,62.4
127,University of York,74.7,76,88.2,68.2,65.9
