id,University,Score,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
1,Massachusetts Institute of Technology (MIT),96.9,100,95.2,93.1,97.9
2,Stanford University,95.6,96.8,99.8,89.8,99.5
4,University of Cambridge,94.4,95,91,100,85.2
13,"Nanyang Technological University, Singapore (NTU)",93.1,95.3,95.8,85.2,100
8,ETH Zurich - Swiss Federal Institute of Technology,93,96.6,92.2,87.5,95.5
9,Imperial College London,92.8,97,90,89.3,91.6
12,National University of Singapore (NUS),91.6,93,92.1,88.7,93
28,"University of California, Berkeley (UCB)",91.5,96.5,97.2,80.3,94.9
6,University of Oxford,91.3,87.2,93.1,98.6,86.1
24,Tsinghua University,91.2,95.2,83,87.9,95.5
34,The University of Tokyo,90.9,94.3,80.9,93.6,86.1
14,Ecole Polytechnique Fédérale de Lausanne (EPFL),90.3,91.5,92.4,88.9,87.8
3,Harvard University,89.4,84.4,98.9,94.7,82.3
48,KAIST - Korea Advanced Institute of Science & Technology,88.6,96.4,89,78.4,87.8
36,The Hong Kong University of Science and Technology,87.7,92.5,89,82.7,83.3
71,Georgia Institute of Technology,87.6,96.5,89.6,72,93
5,California Institute of Technology (Caltech),87.4,98.4,90.6,72.6,84.2
39,Peking University,87,84,87.5,89.5,89.4
56,Tokyo Institute of Technology,87,94.8,78,84,81.2
62,Delft University of Technology,86.9,93.1,83.2,78.6,90.9
35,Seoul National University,86.8,90.3,87.6,82.2,86.1
37,Kyoto University,85.9,88.7,82.4,87.5,79
69,National Taiwan University (NTU),85.4,86.8,86.8,84,83.3
183,Politecnico di Milano,85.2,86.4,79.4,88.4,81.2
61,Shanghai Jiao Tong University,85.2,87,80.2,84.6,86.9
60,Technical University of Munich,85.2,89.1,81.6,83.3,82.3
27,The University of Hong Kong,84.8,84.3,87.5,85.2,82.3
42,The University of Melbourne,84.5,84.1,88.4,84.3,82.3
97,KTH Royal Institute of Technology,84,88.3,83.1,80.2,81.2
31,"University of California, Los Angeles (UCLA)",83.6,86.5,94.2,73.5,85.2
58,Carnegie Mellon University,83.5,93.1,86.7,66.9,87.8
49,The University of New South Wales (UNSW Sydney),83.5,85.2,86.2,79.4,84.2
146,RWTH Aachen University,83.4,86.9,82,82.8,76.6
32,University of Toronto,83.3,83.4,90.6,78.1,86.1
164,Technische Universität Berlin (TU Berlin),82.8,86.4,85.1,78.3,80.2
133,Universiti Malaya (UM),82.8,82.9,86.2,75,94.9
11,Princeton University,82.5,83.8,94.1,72.7,86.9
101,"KIT, Karlsruhe Institute of Technology",82.2,83.8,82.9,79.8,82.3
151,National Tsing Hua University,82.2,83.6,87.4,79.3,79
66,University of Illinois at Urbana-Champaign,82.2,92.1,90.9,59.2,93
46,The University of Sydney,82.1,82.9,84,81,80.2
110,Zhejiang University,81.9,79.9,83.6,78.1,93
109,Technical University of Denmark,81.8,83,88,75.1,86.1
65,Monash University,81.7,80.3,87.6,81.8,79
67,University of Texas at Austin,81.7,86.7,94.7,64.4,90.1
22,The Australian National University,81.6,81.4,87.3,78.6,82.3
16,Cornell University,81.4,84.3,94.3,70.1,83.3
43,Fudan University,81.4,73.1,93.4,83.1,87.8
23,University of Michigan,81.3,85.7,89,67.8,88.6
44,The Chinese University of Hong Kong (CUHK),81.2,80,88.3,79.7,80.2
111,The Hong Kong Polytechnic University,81.1,83.4,89.1,72.6,84.2
