id,University,Score,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
3,Harvard University,97.8,100,92.8,96,100
4,University of Cambridge,95.3,98.3,90.8,100,93.2
6,University of Oxford,95.1,97.5,89.6,99.3,95
1,Massachusetts Institute of Technology (MIT),94,93.9,100,92.8,88.5
2,Stanford University,92.6,95,90.4,88.3,92.6
17,Johns Hopkins University,92.2,96.9,89.4,67.3,97.6
,Karolinska Institutet,90.7,96.9,85.3,79.9,90.6
31,"University of California, Los Angeles (UCLA)",89.9,92,88.7,78.2,92.4
,"University of California, San Francisco",89.6,94.2,92.7,51.9,94.3
15,Yale University,89.4,91.6,88,84.6,89.2
7,UCL (University College London),88.8,89.8,86.7,77,93.9
9,Imperial College London,88.6,92.2,86.2,86.9,86.1
42,The University of Melbourne,88.3,94.9,81.5,86.3,85.4
28,"University of California, Berkeley (UCB)",88,94.3,89.2,79.6,79.9
32,University of Toronto,87.8,86.3,86,81.3,94.6
40,"University of California, San Diego (UCSD)",87.7,89.3,89.7,65.7,91.9
46,The University of Sydney,87.6,92.5,81.3,86.4,86.6
21,King's College London,87.2,88.6,86.1,81.1,88.3
25,Duke University,86.7,85,89.5,74.6,91.5
12,National University of Singapore (NUS),86.3,93.9,81.2,88.3,78.3
19,The University of Edinburgh,86.2,87,87.8,76.2,87.3
34,The University of Tokyo,86.1,95.1,77.8,89.3,78.9
18,University of Pennsylvania,86,82.2,89.1,72.1,94.5
59,University of Washington,86,85.3,87,66.4,93.9
16,Cornell University,85.7,88,85.7,72.6,87.1
20,Columbia University,85.6,81.4,89.5,75.6,92.4
70,University of Copenhagen,85.5,84.4,84.2,83.7,89.4
30,McGill University,84.2,85.4,84.1,76.2,85.4
65,Monash University,84.2,89.9,79.8,85.1,79.3
45,University of British Columbia,84.2,87,82.7,75.8,84.6
23,University of Michigan,83.9,81.8,86.9,65.5,91.7
51,The University of Queensland,83.8,90.7,78.2,78.5,80.6
107,Washington University in St. Louis,83.4,82.4,91,50.9,90.4
27,The University of Hong Kong,83.2,91.1,78.8,86.1,73.8
35,Seoul National University,82.5,90.3,76.6,79.8,76.9
57,University of Amsterdam,82.5,80.5,86.1,72.2,86.1
10,University of Chicago,82.3,79.8,88,74.2,84
,London School of Hygiene and Tropical Medicine,81.9,78.9,89.9,64.7,85.6
78,"University of North Carolina, Chapel Hill",81.9,80.4,85.9,61.7,88.5
37,Kyoto University,81.5,90.5,76,83.8,71.6
89,Boston University,81.4,77.4,87.2,65.6,88.5
72,Ruprecht-Karls-Universität Heidelberg,81.4,81.5,83.4,73.5,82.4
80,University of Zurich,81.3,78.8,84.3,79,83.2
68,Ludwig-Maximilians-Universität München,81,80.1,81.3,74.7,84.6
69,National Taiwan University (NTU),81,87.7,75,88.1,73.4
47,New York University (NYU),81,77.9,86.1,71.6,84.8
49,The University of New South Wales (UNSW Sydney),81,84.7,78.6,82.3,76.9
64,University of Glasgow,80.9,80.8,87.8,67.1,79.6
98,Uppsala University,80.8,80.7,84,66.9,83.2
29,The University of Manchester,80.7,82.1,82,73.8,79.9
144,Erasmus University Rotterdam,80.5,76.5,87.4,64.4,86.6
8,ETH Zurich - Swiss Federal Institute of Technology,80.5,85.4,80.9,84.8,70.7
39,Peking University,80.5,89.5,72,90.3,70.7
,Baylor College of Medicine,80,82.7,86.6,43.2,83.8
149,McMaster University,79.9,77.1,87.3,61,84.6
103,The University of Western Australia,79.9,84.1,78.1,69.7,78.9
86,"University of California, Davis",79.7,86.6,79.8,54.5,78.6
